cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;set/18;792.923.880;3.105.532;10.097.607;20.833.050;35.241.800;13.788.685;4.896.191;975.347;88.938.211;483.950;1.493.051;7.157.271;15.485.787;10.070.533;29.536.075;1.068.716;65.295.382;644.995;2.317.860;2.384.278;171.960;343;0;41.608;5.561.044;232.105;5.200.636;1.506.278;204.377;54.556;0;0;7.197.952;677.813;13.340.484;15.390.080;8.991.720;11.649.506;6.635.793;5.339;56.690.736;3.787.905;4.281.739;5.097.128;6.066.276;3.498.812;3.886.366;1.118.216;27.736.443;2.140.844;22.036.840;53.472.900;98.485.313;73.069.965;167.904.021;44.494.650;461.604.534;115.605;3.922.584;10.790.885;9.219.382;3.024.819;2.717.144;28;29.790.446;829.922;2.330.550;5.031.233;5.095.978;431.022;204.444;364;13.923.513;
1%;1 - Público;set/18;45,09%;50,71%;22,58%;26,17%;36,17%;49,38%;55,19%;73,51%;33,43%;52,06%;15,67%;32,12%;46,40%;69,05%;95,73%;70,92%;57,75%;29,58%;9,01%;26,54%;27,55%;0,30%;0,00%;22,64%;14,25%;28,51%;7,28%;5,71%;13,86%;12,33%;0,00%;0,00%;7,10%;47,87%;28,72%;23,19%;29,74%;63,50%;31,73%;100,00%;30,85%;48,88%;27,41%;28,03%;30,96%;40,67%;55,58%;38,88%;34,83%;80,66%;72,78%;75,62%;77,85%;84,04%;92,34%;91,57%;84,31%;80,56%;39,91%;44,93%;68,25%;71,26%;78,78%;11,46%;53,97%;64,92%;60,81%;56,85%;44,56%;23,38%;57,79%;4,80%;50,44%;
2;2 - Privado Nacional;set/18;722.719.659;2.255.831;25.234.244;45.274.951;49.106.481;10.762.351;2.940.993;7.315;135.582.165;324.247;4.065.057;8.460.290;9.544.444;1.979.247;436.956;31.346;24.841.585;1.228.582;19.029.037;4.723.541;206.487;6.116;1.140.090;6.185;26.340.037;452.502;38.927.723;10.332.456;594.174;141.390;41.086;539.744;51.029.074;464.049;17.148.077;29.706.331;13.342.595;5.038.846;10.889.943;0;76.589.842;3.123.110;8.402.703;10.221.808;8.743.070;3.466.805;2.757.951;1.539.871;38.255.318;332.499;5.646.261;11.098.053;19.509.898;9.901.993;11.534.143;2.046.196;60.069.044;15.520;3.809.961;7.937.048;2.704.666;602.256;421.855;215;15.491.519;293.817;936.174;2.685.659;5.795.009;1.402.692;143.330;6.711;11.263.392;
2%;2 - Privado Nacional;set/18;41,10%;36,84%;56,43%;56,86%;50,41%;38,54%;33,15%;0,55%;50,97%;34,88%;42,68%;37,97%;28,60%;13,57%;1,42%;2,08%;21,97%;56,35%;73,97%;52,57%;33,08%;5,28%;94,60%;3,37%;67,51%;55,59%;54,47%;39,14%;40,28%;31,97%;17,71%;98,82%;50,34%;32,77%;36,91%;44,76%;44,13%;27,47%;52,07%;0,00%;41,68%;40,30%;53,78%;56,21%;44,62%;40,29%;39,44%;53,54%;48,04%;12,53%;18,65%;15,69%;15,42%;11,39%;6,34%;4,21%;10,97%;10,82%;38,76%;33,04%;20,02%;14,19%;12,23%;88,54%;28,07%;22,98%;24,43%;30,35%;50,67%;76,09%;40,52%;88,40%;40,81%;
3;3 - Privado com Controle Estrangeiro;set/18;242.793.462;762.223;9.386.239;13.513.362;13.073.021;3.370.801;1.035.124;344.146;41.484.917;121.422;3.967.428;6.666.063;8.345.551;2.533.807;881.362;406.785;22.922.418;306.631;4.377.280;1.877.059;245.755;109.439;65.137;136.011;7.117.312;129.458;27.334.593;14.558.370;676.486;246.360;190.883;6.454;43.142.602;274.059;15.966.137;21.277.172;7.901.805;1.656.179;3.387.031;0;50.462.383;839.076;2.938.552;2.865.573;4.786.523;1.638.294;347.956;217.852;13.633.826;180.908;2.595.157;6.140.105;8.506.818;3.977.852;2.395.779;2.047.855;25.844.474;12.370;2.095.898;5.291.470;1.584.565;617.542;309.819;0;9.911.663;154.628;565.916;1.133.238;544.814;9.728;5.989;517;2.414.829;
3%;3 - Privado com Controle Estrangeiro;set/18;13,81%;12,45%;20,99%;16,97%;13,42%;12,07%;11,67%;25,94%;15,60%;13,06%;41,65%;29,91%;25,00%;17,37%;2,86%;27,00%;20,27%;14,06%;17,02%;20,89%;39,37%;94,43%;5,40%;74,00%;18,24%;15,90%;38,25%;55,15%;45,86%;55,70%;82,29%;1,18%;42,56%;19,36%;34,37%;32,06%;26,13%;9,03%;16,20%;0,00%;27,46%;10,83%;18,81%;15,76%;24,43%;19,04%;4,98%;7,57%;17,12%;6,82%;8,57%;8,68%;6,72%;4,57%;1,32%;4,21%;4,72%;8,62%;21,32%;22,03%;11,73%;14,55%;8,98%;0,00%;17,96%;12,10%;14,77%;12,80%;4,76%;0,53%;1,69%;6,81%;8,75%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/18;1.351.530.617;5.700.647;39.163.799;70.063.956;87.335.886;25.159.139;8.104.801;1.209.221;236.737.449;797.505;6.217.756;16.444.531;25.406.149;12.159.696;30.335.369;1.490.072;92.851.078;2.024.901;23.942.739;7.010.189;550.731;112.451;1.191.320;177.619;35.009.949;669.148;62.027.959;18.833.938;1.339.718;309.664;157.316;546.198;83.883.940;1.391.114;46.435.684;66.373.574;30.236.120;18.342.077;20.890.681;5.339;183.674.588;7.587.052;14.531.809;16.898.447;18.053.389;7.800.564;6.575.924;2.853.683;74.300.868;1.229.879;16.182.001;34.116.630;53.975.808;33.090.524;63.803.966;22.117.102;224.515.910;126.945;9.284.374;22.379.196;11.177.687;2.691.939;2.004.734;243;47.665.117;1.278.367;3.831.322;8.850.097;11.425.200;1.843.365;353.436;7.592;27.589.379;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/18;76,86%;93,09%;87,58%;88,00%;89,65%;90,11%;91,35%;91,14%;89,00%;85,79%;65,27%;73,80%;76,12%;83,38%;98,32%;98,89%;82,13%;92,88%;93,07%;78,02%;88,23%;97,03%;98,85%;96,63%;89,73%;82,20%;86,80%;71,35%;90,83%;70,01%;67,82%;100,00%;82,75%;98,25%;99,96%;100,00%;100,00%;99,99%;99,89%;100,00%;99,96%;97,90%;93,02%;92,93%;92,13%;90,66%;94,05%;99,23%;93,31%;46,34%;53,44%;48,25%;42,67%;38,06%;35,09%;45,52%;41,01%;88,47%;94,46%;93,17%;82,74%;63,42%;58,13%;100,00%;86,36%;100,00%;99,97%;100,00%;99,91%;100,00%;99,91%;100,00%;99,96%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/18;42.246.500;64.494;1.426.132;1.413.578;693.635;175.784;6.797;0;3.780.419;47.692;2.152.408;3.004.194;3.863.253;1.118.468;49.053;419;10.235.487;0;0;0;0;0;0;0;0;60.499;5.735.193;6.897.102;130.621;132.142;74.344;0;13.029.899;24.808;19.014;11;0;2.454;22.086;0;68.373;9.530;400.286;105.726;183.711;259.024;4.493;8.889;971.659;79.189;1.704.303;4.206.502;5.713.081;1.833.969;225.849;5.861;13.768.754;3.510;29.377;86.597;155.584;89.831;27.011;0;391.909;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/18;2,40%;1,05%;3,19%;1,78%;0,71%;0,63%;0,08%;0,00%;1,42%;5,13%;22,60%;13,48%;11,58%;7,67%;0,16%;0,03%;9,05%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;7,43%;8,03%;26,13%;8,86%;29,88%;32,05%;0,00%;12,85%;1,75%;0,04%;0,00%;0,00%;0,01%;0,11%;0,00%;0,04%;0,12%;2,56%;0,58%;0,94%;3,01%;0,06%;0,31%;1,22%;2,98%;5,63%;5,95%;4,52%;2,11%;0,12%;0,01%;2,51%;2,45%;0,30%;0,36%;1,15%;2,12%;0,78%;0,00%;0,71%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
