Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2017;330648975;19780342;5578513;43134697;262155423;0;0;
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2017;314959344;5510551;37168780;65167408;174240813;1401;32870391;
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2017;303113554;2704868;14666046;45921632;68238973;10133;171571901;
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2017;243658170;24869122;22505671;57097365;59268215;9706;79908090;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2017;186940250;26159792;24764270;56658837;79354845;2506;0;
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2017;119744965;5628879;15309191;38826779;44004006;4040;15972071;
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2017;41965501;694248;1288611;9868287;21671000;60;8443295;
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/06/2017;13234201;2763785;147827;649182;9673387;20;0;
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2017;13041548;847670;493973;758634;9395307;0;1545964;
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;12237323;167120;1180542;4794511;3738760;1;2356390;
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2017;11205730;463961;116057;398449;6219594;0;4007670;
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2017;10921276;382769;1493728;4653979;4256162;499;134139;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/06/2017;10136837;969576;574889;4198475;4393896;2;0;
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/06/2017;9360443;304738;376554;8550269;128852;30;0;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/06/2017;8225887;669128;2015260;4102554;1438941;3;0;
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/06/2017;7758608;393872;534855;5023042;1806082;758;0;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2017;7680641;671902;510300;3071281;3427151;8;0;
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/06/2017;7522802;426697;865510;5143980;1086615;0;0;
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;7404997;277788;270217;3165376;3493170;25;198421;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2017;6461802;322579;401;595434;5543388;0;0;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/06/2017;5690408;103130;332336;2800667;2454275;0;0;
CREDIT SUISSE;30771;b1;C;3;S2;199;SAO PAULO;SP;01/06/2017;4595168;9080;61933;637329;2208034;0;1678791;
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;4434759;35278;142900;1128208;1323688;0;1804684;
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;3961214;145290;231059;1268034;2316831;0;0;
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;3950826;0;143250;634020;3173556;0;0;
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;3792561;197551;154320;452619;2695805;0;292267;
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;3344158;636035;433340;1603836;670947;0;0;
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/06/2017;3253787;415694;10440;977958;1152689;0;697006;
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/06/2017;3181710;301225;43067;2015710;821707;0;0;
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/06/2017;3169191;50847;622252;2198705;297388;0;0;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/06/2017;2953375;1207026;731524;788945;225881;0;0;
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;2913489;1518429;210378;704772;408029;256;71624;
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;2842602;254119;639921;336366;1612196;0;0;
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/06/2017;2646621;116;12526;494287;1862742;1;276949;
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/06/2017;2624719;444;29822;302606;2291847;0;0;
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2017;2321971;119247;261618;1722069;219017;20;0;
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/06/2017;2283609;94852;126088;257366;1805302;2;0;
DEUTSCHE;51183;b1;I;3;S3;199;SAO PAULO;SP;01/06/2017;2242250;11212;53203;394183;1783651;0;0;
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;2214020;162;419632;424910;1369315;0;0;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/06/2017;2202100;14219;141751;206781;1839343;6;0;
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;01/06/2017;2183365;221934;319936;952596;688899;0;0;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;01/06/2017;2158396;1336;0;555129;950837;0;651094;
JOHN DEERE;50071;b1;C;3;S4;199;INDAIATUBA;SP;01/06/2017;2017385;38179;93826;1273600;611779;0;0;
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/06/2017;1758267;479832;154258;1016308;107868;0;0;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/06/2017;1737475;100098;134789;1004252;498335;0;0;
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/06/2017;1626734;129843;286434;1015577;194879;0;0;
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/06/2017;1498459;55838;253012;898978;290618;13;0;
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/06/2017;1442581;6398;31359;735618;669205;0;0;
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;1342311;0;1847;240357;1100107;0;0;
BANCO CARGILL S.A.;3609817;b1;I;3;S4;8;SAO PAULO;SP;01/06/2017;1288918;34203;0;334931;919784;0;0;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;01/06/2017;1252514;707;16189;407727;827890;1;0;
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;1235711;417934;141713;350671;325383;10;0;
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;S4;8;SAO PAULO;SP;01/06/2017;1204059;0;0;119950;1084109;0;0;
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;1171438;46030;3;537439;587966;0;0;
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;01/06/2017;1158546;78347;34266;764413;281519;1;0;
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;01/06/2017;1153484;174845;105850;658570;214219;0;0;
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/06/2017;1148379;94880;284609;713583;55297;11;0;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/06/2017;1145954;33053;156928;668590;287383;0;0;
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/06/2017;1088048;7909;133016;805943;141091;90;0;
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/06/2017;1005909;0;1657;162092;842160;0;0;
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;01/06/2017;988514;98853;299521;528058;62081;0;0;
INDUSVAL;50531;b1;C;2;S4;199;SAO PAULO;SP;01/06/2017;955317;52508;43892;399912;385039;0;73966;
BOFA MERRILL LYNCH;51255;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;944743;0;27012;633595;284135;1;0;
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;01/06/2017;862286;171020;207370;483896;0;0;0;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/06/2017;853169;17899;78183;475804;281283;0;0;
BANCO ABN AMRO S.A.;3532415;b1;I;3;S4;8;SAO PAULO;SP;01/06/2017;812247;0;0;2716;809531;0;0;
BANCO FORD S.A.;90731688;b2;I;3;S4;8;SAO PAULO;SP;01/06/2017;749802;0;1372;656283;92147;0;0;
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/06/2017;729296;20343;87606;452674;168669;3;0;
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;S4;30;FLORIANOPOLIS;SC;01/06/2017;728818;48057;59333;270451;350977;0;0;
BANCO MONEO S.A.;7441209;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/06/2017;670335;39286;130929;488138;11982;0;0;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/06/2017;627971;223286;327104;77511;32;37;0;
BMW;51420;n1;C;3;S4;197;SAO PAULO;SP;01/06/2017;624849;27036;101966;270391;225456;0;0;
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;S4;14;SAO PAULO;SP;01/06/2017;597622;8961;78655;476474;33532;0;0;
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;S4;30;SALVADOR;BA;01/06/2017;575616;21253;63399;459364;31601;0;0;
MODAL;51963;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/06/2017;568140;112701;37064;386674;27004;0;4697;
RENDIMENTO;51468;b1;C;2;S4;199;SAO PAULO;SP;01/06/2017;550284;10435;69188;358259;112398;5;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;01/06/2017;533467;60773;123955;330393;18338;8;0;
CAIXA GERAL;51815;b1;C;3;S4;199;SAO PAULO;SP;01/06/2017;503431;1305;27593;131128;343404;0;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/06/2017;493272;95030;151377;174559;72275;30;0;
BANCO GUANABARA S.A.;31880826;b1;I;2;S4;8;RIO DE JANEIRO;RJ;01/06/2017;479799;45452;25948;300034;108364;0;0;
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/06/2017;477459;127098;204101;143241;3010;8;0;
HAITONG;51482;b2;C;3;S3;198;SAO PAULO;SP;01/06/2017;468448;64307;9890;132957;253773;0;7522;
INTERMEDIUM;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/06/2017;465445;38983;74082;307829;44551;1;0;
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2398976;b3S;I;2;S4;9;LONDRINA;PR;01/06/2017;463338;8813;78038;301631;74852;3;0;
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42898825;b3S;I;2;S4;9;BELO HORIZONTE;MG;01/06/2017;454624;9673;36654;352638;55657;3;0;
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/06/2017;441360;69411;67126;225916;78904;3;0;
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;S4;8;SAO PAULO;SP;01/06/2017;434460;0;0;45387;389072;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;01/06/2017;433849;13055;127333;279712;13748;1;0;
SOCOPA;50328;b1;C;2;S4;199;SAO PAULO;SP;01/06/2017;429014;36427;15232;195960;181395;0;0;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;01/06/2017;423524;12189;63997;335869;11463;6;NI;
MIZUHO;51554;b1;I;3;S4;199;SAO PAULO;SP;01/06/2017;421496;0;4137;187710;155053;0;74596;
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55230916;b1;I;3;S4;8;SAO PAULO;SP;01/06/2017;418721;80172;0;116362;222186;0;0;
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3459850;b3S;I;2;S5;9;MARINGA;PR;01/06/2017;408210;31242;89944;208016;78985;23;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;01/06/2017;400890;60976;152728;166011;21157;17;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;01/06/2017;400679;45949;111913;215482;27327;8;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;01/06/2017;364960;69587;136492;148329;10540;12;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;01/06/2017;363843;43886;93512;186853;39534;58;0;
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17453575;b1;I;3;S4;8;SAO PAULO;SP;01/06/2017;345576;0;0;0;345576;0;0;
COOPERATIVA DE CRÉDITO UNICRED DA GRANDE FLORIANÓPOLIS LTDA - UNICRED FLORIANÓPOLIS;74064502;b3S;I;2;S5;9;FLORIANOPOLIS;SC;01/06/2017;327228;6946;54374;232405;33499;4;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;01/06/2017;320623;37924;97691;185000;0;7;0;
COOPERATIVA DE CRÉDITO SICREDI JOÃO PESSOA;35571249;b3S;I;2;S5;9;JOAO PESSOA;PB;01/06/2017;317864;20701;69134;204820;23204;5;0;
BANCO RANDON S.A.;11476673;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/06/2017;301058;4764;15525;229436;51333;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31815293;b3S;I;2;S5;9;SAO GABRIEL DA PALHA;ES;01/06/2017;282857;72526;64415;118114;27799;3;0;
BANCO RIBEIRAO PRETO S.A.;517645;b1;I;2;S4;8;RIBEIRAO PRETO;SP;01/06/2017;274750;2672;50795;129854;91429;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ - SICOOB NORTE DO PARANÁ;5582619;b3S;I;2;S5;9;LONDRINA;PR;01/06/2017;267166;24801;78047;139911;24396;11;0;
MÁXIMA;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/06/2017;263636;105989;42707;107022;7918;0;NI;
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/06/2017;260762;146016;89185;24577;985;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;I;2;S5;9;SAO MIGUEL D'OESTE;SC;01/06/2017;257855;35878;74085;132162;15726;4;0;
BANCO TOPÁZIO S.A.;7679404;b1;I;2;S4;8;PORTO ALEGRE;RS;01/06/2017;255235;205;21214;216367;17450;0;0;
BANCO BONSUCESSO S.A.;71027866;b1;I;2;S4;8;BELO HORIZONTE;MG;01/06/2017;253806;14623;29723;121139;88320;0;0;
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;I;2;S3;9;PORTO ALEGRE;RS;01/06/2017;250500;8742;1528;240230;0;0;0;
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;S4;5;VITORIA;ES;01/06/2017;247814;43388;63376;86968;54082;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;I;2;S4;9;ERECHIM;RS;01/06/2017;243722;42091;94136;98214;9270;12;0;
COOPERATIVA DE CRÉDITO SUL - SICOOB SUL;5888589;b3S;I;2;S5;9;CURITIBA;PR;01/06/2017;243062;15503;91761;135635;160;3;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO LESTE DE SANTA CATARINA E DO PARANÁ LTDA - UNICRED UNIÃO;74114042;b3S;I;2;S5;9;ITAJAI;SC;01/06/2017;237711;13785;65311;138604;20006;5;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;01/06/2017;232004;51109;84657;75595;20623;21;0;
COOPERATIVA DE CREDITO CENTRO-SERRANA DO ESPIRITO SANTO - SICOOB CENTRO-SERRANO;31804966;b3S;I;2;S5;9;SANTA MARIA DE JETIBA;ES;01/06/2017;228117;29549;75985;110726;11853;5;0;
BRICKELL S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;12865507;n1;I;2;S4;14;SAO PAULO;SP;01/06/2017;225610;5301;11806;120613;87890;0;0;
BANCO SEMEAR S.A.;795423;b1;I;2;S4;8;BELO HORIZONTE;MG;01/06/2017;213019;4431;7051;143795;57738;4;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87733770;b3S;I;2;S4;9;RODEIO BONITO;RS;01/06/2017;208512;46783;58105;103619;0;5;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;S5;9;VILHENA;RO;01/06/2017;208164;21605;66743;115266;4549;1;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;01/06/2017;205308;32333;57155;105486;10322;11;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;S4;9;SANTA MARIA;RS;01/06/2017;204531;19199;37242;121797;26286;7;0;
BANCO TRICURY S.A.;57839805;b2;I;2;S4;8;SAO PAULO;SP;01/06/2017;202566;22304;13609;121628;45025;0;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;01/06/2017;202112;26285;79244;94825;1743;15;0;
