Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2017;702705822;365976056;84383784;109190820;67241496;41256003;8345151;3877407;3952881;18482223;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2017;629921968;264285745;83733965;127382982;62591320;11809485;12590285;5909980;7278610;18525534;35814062
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2017;528753741;122956330;120137456;17410019;13951774;8185512;6178445;5271457;3652671;12349656;218660421
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2017;413067235;98374263;116411775;40390598;34814692;9729760;6180152;3771409;2878185;20072304;80444096
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2017;330650455;52167770;87328962;125589053;42929579;5141931;10809129;482358;112465;6089207;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2017;255636269;83607231;89827661;18250804;13002080;10909618;4645981;2854029;1987873;7764365;22786627
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2017;51842822;28922808;9647395;1831681;875390;543306;111102;56518;27781;1373413;8453428
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2017;46306829;3078741;19896173;8278450;8536929;1708475;611996;516910;448061;1685131;1545964
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2017;29940345;2802558;17449006;4201312;1640612;935907;285003;404686;401177;1685946;134139
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/06/2017;19426351;6004958;8555974;2198362;270448;1053602;211759;248014;126255;756980;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;19208637;0;14649048;1530583;847169;761733;308509;194364;146711;770520;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/06/2017;15860763;15564903;253020;32537;2197;246;130;174;101;7455;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2017;15713311;1836976;4108761;7377813;702352;1086197;327050;21783;1896;250484;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/06/2017;13822621;5987564;6168029;581601;465222;149164;65239;81720;72772;251310;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/06/2017;13471873;417397;7983974;1989416;1428857;598450;356805;91869;103452;501652;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;13209654;180;6015672;4721280;1115296;201914;123826;102048;134294;593364;201777
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;13047881;2040397;9071830;609733;673845;97443;57593;76881;63995;356164;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;12450309;520133;4069301;3221621;1555642;325012;172201;75059;114966;39284;2357090
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2017;12282363;1051585;2701073;1032312;624062;1301577;118353;458687;0;604629;4390084
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/06/2017;11973295;6006348;5387516;343388;210905;8297;3386;3389;1009;9057;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2017;11955370;4894666;3827174;1049003;141190;506690;114206;253041;156001;1013400;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/06/2017;9139309;5265949;1296407;1296755;466254;253047;110736;57792;42455;349818;97
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/06/2017;8359114;27273;6515623;737173;776508;104508;34211;26353;21789;115676;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;8060980;0;6953334;258154;109970;119758;103604;100176;134268;281716;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/06/2017;7827353;152719;3677081;2451328;603330;310304;347924;51003;113603;120060;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;7124918;162683;2959881;599348;556499;156987;346784;124645;91554;321854;1804684
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;6781397;1093428;4100226;1029120;359087;83570;39372;16055;5286;55252;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/06/2017;6614991;823018;2006764;1619786;1076431;806363;24933;37497;39835;180364;0
JOHN DEERE;50071;b1;C;3;S4;199;INDAIATUBA;SP;01/06/2017;6493942;338793;2556219;2006218;1038706;211806;106477;54350;24189;157185;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2017;6075166;456052;3355260;463781;347244;619938;226908;102276;74338;429370;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/06/2017;5904449;2029723;570785;1406026;928252;332712;283148;239834;15926;98043;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/06/2017;5445663;0;4159468;120468;93468;163030;150420;154905;104812;499091;0
CREDIT SUISSE;30771;b1;C;3;S2;199;SAO PAULO;SP;01/06/2017;5175389;0;2730027;0;361452;17734;146528;105516;0;135340;1678791
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/06/2017;5065626;28181;4461059;106481;94594;62938;62166;46124;34617;169464;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/06/2017;4695782;0;3044535;984312;465815;27361;32746;16207;26132;98675;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;4088334;555075;534525;814547;1343731;174021;61690;158988;126548;26942;292267
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/06/2017;4081192;285512;2764947;525464;406444;51855;15648;6198;5297;19828;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S4;8;BELEM;PA;01/06/2017;3833919;0;3576606;19041;87120;16340;10334;21933;9486;93060;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/06/2017;3770513;1847415;756546;422944;199731;202481;92728;37729;45946;164993;0
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/06/2017;3738055;608877;703180;1075666;208316;175176;107558;101999;43075;11856;702351
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/06/2017;3698244;0;3145872;135837;178704;38697;24787;50767;35906;87673;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;3675062;698268;1718276;479622;363827;118630;47999;58032;79465;39318;71624
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/06/2017;3465141;0;1518118;514517;888108;269033;69006;50349;42373;113638;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/06/2017;3364672;534401;1400244;828790;140851;44429;165524;44982;30045;175407;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/06/2017;3257262;439786;1075920;922449;415477;128075;38269;128276;21880;87131;0
