Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;01/06/2017;40992618;955889;24444989;3414628;936453;3855372;74599948;-35847887;-3489174;-695561;0;-10071185;-50103808;24496141;8849574;5528649;-8577973;-9452734;-2614310;3504435;16297385;-20650655;-7115628;17380513;-84571;17295942;-2522641;-3830475;10942826;-5047693
BB;49906;b1;S1;C;1;BRASILIA;DF;01/06/2017;42541007;137711;29309426;-195274;449958;2324506;74567334;-47185100;-5311912;-78005;0;-13381991;-65957007;8610327;6308383;4573795;-10015892;-7791093;-2167979;2750127;13523197;-8649443;-1468904;7141422;4456;7145878;-1344867;-648550;5152461;-1489082
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;01/06/2017;45733989;0;20368474;-1675026;232206;6293588;70953231;-37395657;-8690621;0;0;-9733314;-55819592;15133639;9476596;2752935;-11260542;-5069944;-1846993;511113;2822647;-8601718;-11215907;3917733;-207155;3710577;778917;-415696;4073798;-1018869
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;01/06/2017;38213894;995021;25406126;819987;1326302;2683448;69444777;-36969579;-2498557;-850335;0;-14848141;-55166612;14278165;5736082;4736454;-8285637;-10455253;-2001831;5017384;6540946;-7551755;-6263611;8014554;-305751;7708803;285326;0;7994129;-2810158
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;01/06/2017;22939022;991382;10838492;1100572;915310;3141654;39926432;-21173852;-1288946;-798061;0;-5666597;-28927455;10998977;5085378;2026841;-3672339;-5434395;-1652416;187922;10219129;-11863603;-5103484;5895493;-207166;5688327;-1184031;-667734;3836561;-500000
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;01/06/2017;25772742;0;9047897;-132694;0;3;34687948;-1202210;-26487266;0;-186582;-4965224;-32841282;1846666;117067;0;-698897;-188818;-296542;1789240;2298092;-2604832;415309;2261975;-2431;2259544;-724270;-190349;1344925;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;01/06/2017;3643507;455027;5050708;12228;105306;135249;9402025;-6449314;-338082;-362387;0;-529136;-7678920;1723105;398315;151048;-956525;-692340;-163220;341791;624300;-472083;-768714;954391;-12328;942063;-95305;0;846758;-337005
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;01/06/2017;5430325;43293;2179881;-210045;61700;11751;7516905;-4588684;-186479;-49264;0;-1131670;-5956096;1560808;270287;368886;-558625;-565866;-171712;146122;477424;-982485;-1015968;544841;-16932;527909;-151868;-103476;272565;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;01/06/2017;3325230;17003;1230349;-44496;68643;559790;5156519;-2458246;-191628;-12877;0;-299804;-2962556;2193963;75382;444828;-1013638;-714884;-166612;137271;168482;-717641;-1786812;407151;13220;420371;-54490;-49676;316205;-162781
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;01/06/2017;659480;0;2648407;174421;243394;94223;3819925;-2777151;-199305;0;0;-175229;-3151685;668240;649778;9440;-249463;-493064;-53389;351975;439028;-242070;412235;1080475;-10413;1070062;155147;-222102;1003107;-630000
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;01/06/2017;1257914;31041;1906147;78287;219489;216126;3709002;-1375667;-160967;-26559;0;-208239;-1771432;1937570;696240;176704;-695654;-777870;-164007;38884;305658;-620525;-1040570;897000;-363;896637;-319163;-95873;481601;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;01/06/2017;3556795;3851;150249;-108209;15867;0;3618553;-1919783;-10;-3516;0;-551440;-2474749;1143804;67743;135699;-241953;-1190068;-120399;-777;600912;-287961;-1036804;107000;-5587;101413;-54950;0;46463;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;01/06/2017;949780;0;1764113;8952;62507;-916;2784436;-626456;-1154511;0;0;-376402;-2157368;627068;1156523;32763;-916557;-597969;-144473;0;851365;-719740;-338090;288978;-2393;286585;30487;-19031;298041;-69233
CREDIT SUISSE;30771;b1;S2;C;3;SAO PAULO;SP;01/06/2017;326785;0;1719009;-14350;4993;0;2036437;-1478735;-217259;0;0;-189289;-1885283;151154;380673;0;-239922;-156438;-46037;11692;69930;-82519;-62621;88534;90;88624;-44279;-4794;39551;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;01/06/2017;1396698;150263;375845;25310;66581;0;2014698;-822320;-131307;-104272;0;-314752;-1372651;642047;18997;35544;-134469;-235362;-88544;11504;200885;-74848;-266293;375754;6982;382736;-106805;-28053;247878;-95999
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;01/06/2017;645695;0;1094727;-1072;11044;33096;1783490;-1349461;-110344;0;0;2089;-1457715;325775;23685;48;-57121;-196514;-15868;10873;55343;-56213;-235767;90007;64;90072;-35959;0;54113;0
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;01/06/2017;487045;0;1239233;0;0;13329;1739606;-1503429;-39511;0;0;-7996;-1550937;188669;267577;30;-48928;-105349;-44690;7544;163202;-245902;-6517;182152;32;182184;-78250;-3454;100481;0
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;01/06/2017;1185085;0;550872;-402529;365947;0;1699376;-653737;-118006;0;0;-191416;-963159;736217;143252;67309;-256211;-654336;-69029;8331;285097;-263741;-739327;-3111;-1051;-4162;-1520;-19918;-25599;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;01/06/2017;110168;0;1348422;52919;36489;0;1547998;-560315;-468420;0;0;-655;-1029390;518608;194090;292;-317822;-91668;-62715;0;56901;-30850;-251772;266836;-509;266327;-86213;-10540;169574;0
CREFISA;52010;b1;S4;C;2;SAO PAULO;SP;01/06/2017;1361604;0;150855;-2505;1152;0;1511105;-3766;-1526;0;0;-309777;-315069;1196036;808;19;-17801;-586719;-78446;0;250201;-5102;-437040;758996;-231;758765;-271050;-651;487065;-138500
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;01/06/2017;1299730;0;139738;-4350;4476;14926;1454519;-447836;-615;0;0;-354645;-803096;651424;21672;98658;-192952;-298890;-55494;8491;28218;-219595;-609892;41532;-22696;18836;-5612;-3542;9683;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;01/06/2017;1377102;341;156443;-112979;16093;0;1437000;-759325;-37872;-211;0;-179717;-977125;459875;12631;6886;-95833;-398036;-30443;-2755;292599;-254675;-469625;-9750;59748;49998;-6685;-26635;16678;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;01/06/2017;393975;6643;992602;0;7499;20275;1420995;-1016779;-9594;-5578;0;-73787;-1105738;315256;90290;50523;-172242;-123133;-30831;11027;30351;-41525;-185541;129715;1206;130921;-32570;-13591;84760;-32226
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;01/06/2017;660696;0;715699;-51132;21051;0;1346314;-783554;-237705;0;0;-113938;-1135197;211117;142749;9280;-102206;-53083;-31934;19731;107914;-14697;77753;288870;-18186;270683;-7104;-59585;203994;-103319
BRB;31976;b1;S3;C;1;BRASILIA;DF;01/06/2017;1182264;0;113522;0;1902;14575;1312263;-479488;-1970;0;0;-167074;-648532;663731;24157;78638;-378000;-214410;-48213;37567;54773;-79258;-524747;138984;-2317;136667;-32093;-14096;90479;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;01/06/2017;1238831;51529;56927;-69757;0;0;1277530;-333980;-159469;-34743;0;-169679;-697871;579659;0;26910;-933;-115208;-39914;52374;91808;-194538;-179501;400158;-13214;386945;-155601;0;231344;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;01/06/2017;733862;0;215236;77095;76306;0;1102500;-208619;-375186;0;0;-16667;-600473;502027;34203;6471;-86018;-48081;-25500;0;21757;-22412;-119580;382447;-14;382433;-170657;-3123;208653;0
CCB;32119;b1;S3;C;3;SAO PAULO;SP;01/06/2017;593794;19217;465068;-158206;37325;89;957287;-523709;-476540;-14853;0;-300473;-1315576;-358288;32422;2036;-117922;-52083;-14206;-156;399233;-210806;38519;-319770;-2825;-322594;110707;0;-211887;0
BANCO GMAC S.A.;59274605;b2;S3;I;3;SAO PAULO;SP;01/06/2017;910848;2195;39253;0;0;0;952296;-512693;0;-1503;0;-95449;-609646;342650;31626;41103;-60431;-169076;-25852;40597;57169;-52290;-137153;205497;1992;207489;-76045;-13037;118407;0
BANCO IBM S.A.;34270520;b2;S4;I;3;RIO DE JANEIRO;RJ;01/06/2017;68376;813688;60031;0;0;0;942095;-191023;0;-666218;0;4999;-852242;89853;0;0;0;-18608;-4109;0;3915;-6504;-25305;64548;0;64548;-37601;0;26947;0
BANCO CSF S.A.;8357240;b2;S3;I;3;SAO PAULO;SP;01/06/2017;920888;0;17571;0;0;0;938458;-28774;0;0;0;-436149;-464923;473536;174227;156466;-64789;-334753;-83109;0;31433;-145816;-266340;207195;5;207200;-90830;0;116370;0
ALFA;51293;b1;S3;C;2;SAO PAULO;SP;01/06/2017;552975;95075;301933;-68581;14434;0;895835;-446081;-79284;-73855;0;-27292;-626512;269323;22310;15693;-86782;-56039;-18860;10675;37238;-97609;-173373;95950;-736;95214;-23865;-4535;66815;-20839
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;01/06/2017;62756;0;510189;128050;173042;0;874037;-443690;-179;0;0;1153;-442716;431321;282975;2818;-253817;-75183;-32832;0;50657;-192605;-217988;213333;-697;212636;-91412;0;121225;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;S4;I;1;BELEM;PA;01/06/2017;671877;0;85248;0;1479;5635;764239;-214499;-151;0;0;-27677;-242328;521911;5489;38684;-164688;-153837;-29766;0;12846;-23317;-314589;207322;823;208145;-99319;-15013;93813;-15154
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;01/06/2017;234821;0;507417;-1754;7019;0;747503;-152590;-228698;0;0;-151478;-532765;214737;314905;48269;-258717;-133741;-50817;0;382919;-421238;-118420;96317;17167;113484;-101022;0;12462;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;S4;I;2;SAO PAULO;SP;01/06/2017;703965;0;47715;-7360;0;0;744320;-76320;-5203;0;-7;-280763;-362292;382028;113657;22133;-10070;-167808;-43656;0;17478;-119314;-187579;194449;1365;195814;-85551;-4479;105784;0
MORGAN STANLEY;51413;b1;S3;C;3;SAO PAULO;SP;01/06/2017;0;0;597894;121025;1518;0;720437;-249487;0;0;0;0;-249487;470950;167256;0;-156594;-64380;-33259;0;3179;-97309;-181107;289843;0;289843;-129859;0;159984;0
OMNI;50940;b1;S4;C;2;SAO PAULO;SP;01/06/2017;677328;5156;24924;10337;0;0;717746;-170600;0;-2790;0;-155090;-328480;389265;9573;28907;-11588;-195515;-17369;8138;19223;-204273;-362903;26363;-522;25840;3120;0;28961;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;I;1;PORTO ALEGRE;RS;01/06/2017;552412;0;161091;0;0;0;713503;0;-298763;0;0;-122763;-421526;291978;17171;0;-94414;-22676;-18992;0;20307;-85385;-183988;107989;22985;130974;-67159;0;63815;0
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;01/06/2017;407569;0;139011;105995;6214;0;658788;-314948;-7855;0;0;18040;-304763;354025;16127;2319;-157823;-178420;-13892;360;77951;-43761;-297140;56885;21796;78681;2894;-78679;2896;-4600
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;S4;I;2;SAO PAULO;SP;01/06/2017;629329;0;13525;0;4;0;642858;-25627;0;0;0;-326957;-352584;290274;35314;53866;-70251;-114417;-27842;0;45534;-121472;-199267;91007;9;91016;-41981;-548;48487;0
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;01/06/2017;23651;241484;331020;-119850;137942;0;614248;-108891;-187210;-184127;0;-11440;-491668;122580;8854;16;-63594;-45626;-8210;-6803;74823;-121814;-162353;-39773;1804;-37969;-35202;0;-73171;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;01/06/2017;13890;0;597921;0;0;0;611811;-597793;0;0;0;1;-597794;14017;0;0;-10090;121936;0;1935;787;-128673;-14104;-87;87;0;0;0;0;0
PARANÁ BANCO;30881;b1;S4;C;2;CURITIBA;PR;01/06/2017;488152;0;64341;503;796;0;553792;-253942;-1960;0;0;-68043;-323944;229848;3606;1704;-22429;-120330;-12559;27497;1908;-7292;-127895;101952;230;102183;-32345;-2686;67151;0
HAITONG;51482;b2;S3;C;3;SAO PAULO;SP;01/06/2017;26606;0;401657;99170;2143;0;529576;-478069;-9609;0;0;-50936;-538614;-9039;7978;0;-38794;-17443;-3160;5403;7278;-29378;-68115;-77154;10;-77144;38513;-1579;-40210;0
CREDIT AGRICOLE;51066;b1;S3;C;3;SAO PAULO;SP;01/06/2017;93043;0;156472;-82876;303758;0;470396;-70062;-754203;0;0;-223;-824489;-354093;23611;63;-42057;-19750;-4578;-43;690299;-277921;369626;15533;0;15533;-11161;-1301;3071;0
