Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2017;515765572;1907952;6097971;15443070;25461100;11843690;5307330;337;66061450;773272;860852;2148232;1771946;1117;0;7327;5562747;382561;1313392;3103654;3471367;231773;97;985;8503828;1522277;12314820;33414373;76238712;60640845;161705628;60495501;406332157;1837819;5493045;1803333;151643;3880;2787;0;9292508;212360;677946;1423328;910765;388077;152445;0;3764921;2208322;4193759;3798025;3313959;1314859;1342027;77010;16247962;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2017;314962623;238898;4320417;12052786;24152013;15150543;8076253;404780;64395689;658618;3011609;7605306;8728934;3975902;1700969;1248199;26929537;62311;666836;1628571;2066493;306930;76;30419;4761636;50880;557823;1211637;3203523;3162044;15392225;18924728;42502860;1057349;18480390;3164073;206628;49;0;768469;23676957;2199251;20720868;36332803;39314523;22259963;20847594;951032;142626034;354126;883441;2363982;1401882;951087;807557;364166;7126240;2943671
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2017;225640188;400062;4011603;10028867;18487027;9515626;2341404;27;44784617;510429;1318926;2637614;4107637;988635;29582;0;9592823;232672;1771720;4335269;6698831;1106072;1484;0;14146049;76444;577824;1456763;3738211;3518385;14151312;12129830;35648769;4517012;38395754;13230023;235494;10;0;0;56378292;1907;165619;492982;210249;72617;21484;0;964860;1814641;5358580;3275450;4707817;1679147;200623;0;17036258;47088520
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2017;169409064;225238;4323592;11171587;17263267;6703853;1431916;484;41119937;1093824;4797605;5562238;2833562;222468;82883;73;14592652;347965;3044330;7212577;8046388;817024;3422;1;19471709;79844;622871;1377376;3513382;3277564;12799804;9869899;31540740;5073531;18369778;8804285;302032;10146;1875;0;32561646;238577;3234264;5406526;3500710;1497386;778757;155;14656375;1887711;5644470;3015508;3196381;889132;287324;9473;14929999;536007
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2017;135891304;340551;2145610;5426410;8267686;3297541;1299539;232;20777570;425666;1066900;2370940;3399281;991836;61366;106;8316095;529359;4550764;10941714;13931851;1877456;11667;2444;31845255;43883;1097049;2657009;5588013;4055353;9703681;3900539;27045527;1346815;15459755;4457612;490863;120947;42193;24;21918209;41434;567372;1524655;1270821;472054;310143;0;4186478;1557117;4442551;3335135;3563950;1465926;620820;2115;14987614;6814557
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2017;33265282;75917;429536;983377;1254664;386387;60034;0;3189915;9680;22400;138141;8063;0;0;0;178284;637818;4157097;9687314;12013216;1466891;670;0;27963006;0;0;0;0;0;0;0;0;310936;1007631;370569;11042;0;0;0;1700178;628;6057;23463;51775;5287;5635;0;92845;6311;7101;39347;74082;7743;6469;0;141053;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2017;19019069;126912;856018;2275637;3977122;2063370;1046012;89;10345160;51758;305739;453200;151116;69366;30359;0;1061539;512;7497;17672;23197;2325;40;0;51243;2599;49812;136860;355560;332667;1289885;960263;3127646;38699;757338;182045;7579;0;0;0;985660;21072;292397;394886;365752;276019;292997;6177;1649299;108907;1020656;232824;234471;117523;84076;67;1798522;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;15864479;84193;637427;1709238;2984066;1449602;556382;0;7420909;13529;55378;123418;130898;9832;4;0;333060;168902;739400;1720950;2182549;283214;56;0;5095070;918;5768;14590;31712;24018;52757;9896;139660;359656;1595745;154455;15846;1701;753;0;2128157;0;0;0;0;0;0;0;0;37417;50905;154694;224628;111673;160436;7871;747623;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2017;9877321;10899;359564;972995;1775924;909816;212666;0;4241865;2369;113836;253798;165591;36110;1164;0;572868;36314;640997;1609162;2037201;226044;113;0;4549831;10;119;508;1004;1040;603;0;3285;1554;136514;39321;50;0;0;0;177439;485;18794;68580;27799;16225;4051;0;135934;2543;142016;33712;4547;2321;828;0;185967;10134
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2017;9251509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53664;721961;1320943;1498299;588460;348943;0;4532271;31608;611118;1272358;1873449;737429;193277;0;4719238;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;9097056;56818;561366;1573292;2652858;1187172;196924;0;6228430;3431;17280;27419;8674;1;0;0;56805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172208;1844600;550581;57297;74;0;0;2624761;0;4160;1891;2095;2095;0;0;10242;25344;43829;61928;45705;11;0;0;176817;0
