Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2017;330648975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2277219;16401563;34831906;74687475;60720196;114928529;25685473;329532362;0;50710;117698;312120;300379;335706;0;1116613;0;0;0;0;0;0;0;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2017;314959344;3238808;6143517;12700551;19119766;5638513;2728204;1655114;51224473;236993;519660;1690850;5025041;4565227;20590314;3088215;35716300;294100;1274881;1261770;155996;0;0;130080;3116829;323862;4530235;1161449;570891;79501;0;0;6665938;559746;4850568;14675271;7768100;9829158;4050489;0;41733331;2198138;4046673;5188975;13904544;15345554;6376712;1580357;48640954;912068;4930966;11696881;17286491;8983639;15084800;8386895;67281740;60675;1963321;9856955;7584908;1078859;1868673;9866;22423257;128902;516459;1738417;2528663;98698;42462;232530;5286131;32870391
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2017;303113554;523752;7684438;11292370;13224385;2067338;637823;1684;35431790;50995;741255;1812352;2219162;329391;29767;0;5182921;784585;6903316;39938;126940;0;0;0;7854779;44277;8443519;1969563;110775;46294;28774;0;10643202;101262;3575980;6567170;3645161;652803;2901006;0;17443381;651106;2591088;2796940;3821814;1426351;1164717;0;12452016;231405;3003565;6553788;10889601;4757184;4159938;296072;29891553;2000;1763388;3794502;1120314;180169;256220;0;7116594;302113;422056;2590649;1858965;336527;14815;292;5525416;171571901
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2017;243658170;1139091;8565372;14076784;14843299;2712472;511721;0;41848740;228345;1558431;2886688;2634137;375630;95322;40;7778593;642917;7145890;975640;139;0;0;0;8764586;139194;4642249;782153;41102;1259;335;0;5606292;352257;6295844;13094092;7677605;800609;593790;0;28814197;1682493;6846275;4400838;4609230;1240812;903364;250462;19933474;35932;3046586;7257613;11408189;4993913;7948591;638236;35329061;3871;808717;1719005;2421524;634270;142845;0;5730231;151300;412880;1768245;5683191;1853006;75898;388;9944907;79908090
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2017;186940250;2302483;17223344;10670270;22788940;550;0;3591;52989179;92271;544542;488358;748784;504;470;3833;1878763;618075;728795;2314013;14378;0;0;0;3675261;63944;643646;38356;0;0;0;0;745946;164278;1218606;4216693;4670329;3121284;0;0;13391191;2449486;1145815;1944900;3069198;71257;111806;0;8792463;383982;4747954;11029848;20298640;12287748;32282941;9126890;90158004;11617;585371;1961670;294663;7710;6784;0;2867814;379285;3783281;4019049;3678658;301754;279468;135;12441630;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2017;119744965;894069;5930304;7935128;8630581;2276168;1171279;12093;26849621;64247;820334;1679327;1756059;252903;548073;252;5121196;276144;3688319;1164389;311966;136569;53894;3606;5634887;92656;11382928;4681654;475410;36903;5634;11685;16686872;238317;4831890;5560868;2603789;503367;154858;0;13893090;805613;1704914;2175162;3033317;846332;240374;57894;8863606;87919;1437846;2885045;5162250;1824016;3239496;1926969;16563542;6525;963027;2948736;832917;159519;66214;1825;4978764;429025;1024321;2606918;1063198;47986;8692;1175;5181315;15972071
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2017;41965501;90097;2970400;3832652;3422666;412802;24738;0;10753354;4539;733363;1103477;678156;96198;35513;0;2651246;42411;785544;55650;14517;18092;0;0;916213;775;3625975;867367;1516;0;43675;0;4539308;7895;1258873;2356573;1622504;518982;175000;0;5939826;7208;233291;577553;63501;14875;0;0;896428;6721;444064;1347139;2463493;719802;324964;0;5306183;542;818898;941853;243181;49289;31623;0;2085385;57750;113995;131528;130988;0;0;0;434263;8443295
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/06/2017;13234201;138132;1961859;1219977;539917;39864;0;0;3899751;255;9842;31555;17789;1085;0;0;60526;521;261799;114968;0;0;0;0;377287;422;1712950;353874;3534;13;0;0;2070793;9545;1117833;1919510;771634;402752;0;0;4221274;124724;820198;79125;1194;0;0;51;1025292;0;26590;316705;300042;62639;0;0;705976;0;180067;529342;163893;0;0;0;873302;0;0;0;0;0;0;0;0;0
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2017;13041548;72867;294799;487371;863627;398023;110342;0;2227029;47583;180596;399900;447899;33313;9;0;1109300;0;0;0;0;0;0;0;0;0;780806;233210;66767;76305;76305;0;1233392;17072;694986;904568;1615085;292986;171301;0;3695998;17207;49;12533;19547;1561;3426;0;54324;1392;131546;399831;1099224;540483;601071;0;2773546;0;52846;146070;136676;64133;2269;0;401994;0;0;0;0;0;0;0;0;1545964
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;12237323;83090;668258;1458636;1255621;152504;34760;0;3652869;7733;84447;171918;207727;45776;886;0;518486;1491;107359;27885;0;0;0;0;136734;0;213848;151128;12960;7579;0;0;385516;11239;457858;861074;679220;89702;0;0;2099092;28873;167046;147027;49643;36441;7424;0;436455;71;70730;201763;382683;125676;58107;0;839030;0;332820;695000;564084;100562;120284;0;1812750;0;0;0;0;0;0;0;0;2356390
