Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2017;702705822;138578223;473749795;29680715;0;29;46324514;0;0;571979;4316231;0;0;9420060;64277;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2017;629921968;367810027;61898020;19147886;146209;28200;102668223;0;35747368;2129658;252109;0;0;4178205;102001;35814062
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2017;528753741;216893424;46117021;10270892;919095;6613683;27343747;153168;795411;460584;94144;0;0;5483;426670;218660421
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2017;413067235;194701070;56194788;25148385;15124;12456611;39596360;187467;299859;3515895;0;0;23408;0;484171;80444096
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2017;330650455;60513036;29813;225341279;6788174;12108195;2823841;13030469;0;16914;9998732;0;0;2;0;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2017;255636269;159477515;43888501;7591342;3820;187874;19797701;1061447;0;147428;564888;0;3482;10083;115561;22786627
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2017;51842822;24650703;442182;3015035;0;1267817;13571909;339284;0;91900;401;0;9427;0;736;8453428
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2017;46306829;37341809;11273;1116033;59370;1612249;4371701;137839;0;0;98298;0;0;0;12293;1545964
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2017;29940345;19460226;5482251;291786;0;1020134;3489251;0;0;44311;0;0;0;0;18248;134139
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/06/2017;19426351;13120239;1138979;467718;0;0;4637743;55506;0;0;0;0;0;0;6165;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;19208637;16293276;508573;0;0;0;1723519;0;0;364284;105657;0;0;206878;6449;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/06/2017;15860763;14154568;0;210171;0;1108551;387207;0;0;0;0;0;0;0;266;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2017;15713311;13262511;147400;238303;0;0;2062269;0;0;0;0;0;0;2829;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/06/2017;13822621;9351726;50793;2851972;0;0;0;0;0;533595;0;0;343;1034178;13;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/06/2017;13471873;10050478;0;1329718;0;0;2091252;0;0;0;0;0;0;346;79;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;13209654;10183382;2944;187735;0;137751;1383996;350796;122571;205;0;0;17152;619607;1738;201777
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;13047881;10180435;0;57669;0;1933655;852032;0;0;0;0;0;0;3219;20871;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;12450309;2718869;0;734585;0;5704;6036661;72817;0;0;21505;0;0;503076;1;2357090
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2017;12282363;559240;79867;2451104;35595;0;4231734;0;0;68986;245761;0;0;219992;0;4390084
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/06/2017;11973295;11526233;68349;213629;0;0;157941;0;0;0;0;0;0;0;7143;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2017;11955370;6560734;27157;1115388;0;1071169;980913;0;20;2172499;0;0;27029;0;460;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/06/2017;9139309;7822541;1059314;66393;0;179397;0;0;0;11369;0;0;0;0;198;97
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/06/2017;8359114;8359112;0;0;0;0;0;0;0;0;0;0;0;0;2;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;8060980;7212090;0;0;0;31311;721604;0;0;0;0;0;0;91654;4321;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/06/2017;7827353;5902525;0;1507437;0;0;0;417391;0;0;0;0;0;0;0;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/06/2017;7124918;3112226;17847;0;0;0;1562013;0;613311;14273;0;0;0;0;564;1804684
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/06/2017;6781397;4932261;0;687679;0;4723;994148;161517;0;0;0;0;0;0;1070;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/06/2017;6614991;6315970;0;294955;0;0;0;4066;0;0;0;0;0;0;0;0
JOHN DEERE;50071;b1;C;3;S4;199;INDAIATUBA;SP;01/06/2017;6493942;5934392;0;196752;329025;0;0;33771;0;0;0;0;0;0;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2017;6075166;4679170;106570;0;0;274546;1005312;0;0;1602;0;0;0;0;7966;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/06/2017;5904449;2041388;9998;1510751;0;160;34248;430577;16931;192223;504843;0;13789;1149543;0;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/06/2017;5445663;5424396;0;0;0;0;0;0;0;0;0;0;0;0;21268;0
