cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;dez/14;737.881.313;2.297.753;9.632.958;26.232.048;52.857.498;28.108.426;7.592.451;85.267;126.806.402;1.919.632;5.209.428;10.998.298;13.896.560;3.889.419;1.485.551;117.208;37.516.096;391.411;2.525.022;6.406.875;9.361.879;1.518.330;5.970;5.851;20.215.339;1.634.506;11.198.159;29.644.131;66.810.782;52.862.917;139.970.206;56.701.938;358.822.639;2.614.863;25.429.331;4.591.849;156.554;457;0;129.110;32.922.164;1.789.575;10.802.747;42.946.743;29.219.704;20.417.063;25.405.992;74.820;130.656.645;1.939.755;8.524.361;8.991.972;4.662.826;2.411.705;2.320.073;252.980;29.103.671;1.838.358
1%;1 - Público;dez/14;51,03%;62,63%;43,26%;45,15%;49,77%;58,11%;63,76%;99,09%;50,60%;31,21%;24,95%;31,62%;43,74%;56,86%;66,09%;94,74%;36,50%;10,47%;9,34%;9,88%;11,36%;14,95%;9,48%;74,86%;10,74%;92,30%;83,92%;87,01%;86,68%;86,30%;83,31%;75,11%;83,25%;18,17%;22,54%;13,54%;9,56%;0,28%;0,00%;97,85%;20,19%;80,24%;70,04%;60,22%;66,83%;73,65%;85,15%;99,97%;68,65%;28,83%;28,90%;37,10%;26,30%;37,35%;64,26%;28,43%;32,65%;5,96%
2;2 - Privado Nacional;dez/14;500.751.391;894.767;10.685.860;26.843.643;45.526.404;17.906.381;3.876.707;598;105.734.360;2.760.926;12.792.051;18.500.063;12.370.200;1.848.633;678.376;4.992;48.955.240;2.365.861;15.149.800;35.767.999;45.266.725;5.258.174;45.606;8;103.854.173;100.231;1.188.252;2.061.587;5.205.294;4.786.091;17.604.755;13.898.463;44.844.674;9.137.615;65.064.479;23.994.297;707.809;2.064;28;2.771;98.909.063;276.036;3.804.648;20.768.526;8.353.679;4.017.857;3.025.942;23;40.246.710;2.822.818;15.449.782;9.767.038;8.447.426;2.251.269;787.215;630.593;40.156.141;18.051.030
2%;2 - Privado Nacional;dez/14;34,63%;24,39%;47,99%;46,20%;42,87%;37,02%;32,56%;0,69%;42,19%;44,89%;61,26%;53,20%;38,93%;27,03%;30,18%;4,03%;47,62%;63,30%;56,02%;55,16%;54,95%;51,77%;72,42%;0,10%;55,17%;5,66%;8,90%;6,05%;6,75%;7,81%;10,48%;18,41%;10,40%;63,50%;57,67%;70,73%;43,20%;1,25%;0,09%;2,10%;60,64%;12,38%;24,67%;29,12%;19,11%;14,49%;10,14%;0,03%;21,15%;41,95%;52,39%;40,29%;47,64%;34,87%;21,81%;70,87%;45,04%;58,53%
3;3 - Privado com Controle Estrangeiro;dez/14;207.421.861;476.045;1.949.592;5.025.938;7.810.554;2.354.762;437.886;183;18.054.961;1.469.808;2.880.472;5.279.151;5.506.180;1.102.324;83.692;1.518;16.323.146;980.256;9.366.370;22.673.322;27.752.703;3.379.816;11.397;1.957;64.165.821;36.119;958.204;2.365.601;5.060.996;3.602.292;10.438.157;4.896.120;27.357.488;2.637.718;22.321.715;5.335.967;774.078;162.751;32.056;59;31.264.345;164.784;816.607;7.598.989;6.150.419;3.286.124;1.403.613;0;19.420.535;1.966.716;5.517.531;5.480.112;4.620.053;1.793.403;502.934;6.188;19.886.939;10.948.626
3%;3 - Privado com Controle Estrangeiro;dez/14;14,34%;12,98%;8,75%;8,65%;7,35%;4,87%;3,68%;0,21%;7,20%;23,90%;13,79%;15,18%;17,33%;16,11%;3,72%;1,23%;15,88%;26,23%;34,64%;34,96%;33,69%;33,28%;18,10%;25,04%;34,09%;2,04%;7,18%;6,94%;6,57%;5,88%;6,21%;6,49%;6,35%;18,33%;19,79%;15,73%;47,24%;98,47%;99,91%;0,05%;19,17%;7,39%;5,29%;10,66%;14,07%;11,85%;4,70%;0,00%;10,20%;29,23%;18,71%;22,61%;26,06%;27,78%;13,93%;0,70%;22,31%;35,50%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/14;1.340.252.061;3.641.492;21.701.352;56.821.948;104.117.060;47.586.697;11.670.377;85.715;245.624.642;4.867.535;16.511.631;28.729.419;27.126.903;5.635.634;1.712.550;118.738;84.702.411;3.417.304;22.320.504;53.169.697;68.201.648;8.393.443;53.650;7.815;155.564.060;1.765.349;13.267.189;33.957.503;76.850.188;61.044.879;167.650.387;75.403.197;429.938.692;13.008.231;105.371.268;30.886.884;1.272.343;165.258;32.084;129.169;150.865.237;2.003.686;12.884.502;58.042.594;37.064.555;24.423.400;26.895.662;73.480;161.387.878;6.422.223;26.740.714;21.641.526;16.670.375;6.146.659;3.404.779;304.851;81.331.127;30.838.014
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/14;92,68%;99,26%;97,45%;97,80%;98,04%;98,38%;98,01%;99,61%;98,02%;79,14%;79,07%;82,61%;85,38%;82,39%;76,19%;95,98%;82,40%;91,43%;82,54%;81,99%;82,79%;82,64%;85,19%;100,00%;82,64%;99,69%;99,42%;99,67%;99,71%;99,66%;99,78%;99,88%;99,75%;90,40%;93,40%;91,05%;77,66%;99,99%;100,00%;97,90%;92,50%;89,84%;83,54%;81,39%;84,77%;88,10%;90,15%;98,18%;84,80%;95,44%;90,67%;89,28%;94,02%;95,20%;94,31%;34,26%;91,23%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/14;37.910.664;418;9.117;19.995;22.092;1.851;0;0;53.473;2.484;37.938;44.601;41.373;4.665;1.596;0;132.657;228.489;3.919.814;9.719.089;11.359.933;1.378.777;2.342;0;26.608.444;0;0;0;0;0;0;0;0;612.001;2.373.738;1.088.366;86.193;0;0;0;4.160.298;61.928;214.606;1.617.148;2.744.294;1.479.874;490.438;0;6.608.287;12.462;57.831;112.270;134.073;24.520;6.349;0;347.506;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/14;2,62%;0,01%;0,04%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,04%;0,18%;0,13%;0,13%;0,07%;0,07%;0,00%;0,13%;6,11%;14,50%;14,99%;13,79%;13,58%;3,72%;0,00%;14,14%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,25%;2,10%;3,21%;5,26%;0,00%;0,00%;0,00%;2,55%;2,78%;1,39%;2,27%;6,28%;5,34%;1,64%;0,00%;3,47%;0,19%;0,20%;0,46%;0,76%;0,38%;0,18%;0,00%;0,39%;0,00%
