cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;dez/14;938.227.273;5.214.737;19.735.387;48.820.683;63.157.096;18.345.759;3.267.119;184.930;158.725.711;1.156.368;2.229.855;6.509.418;12.753.932;17.718.763;20.433.021;4.767.135;65.568.492;979.763;5.783.689;5.667.872;546.016;25.304;0;9.962;13.012.606;735.956;13.648.532;3.104.651;92.744;71.268;526.459;252.185;18.431.793;217.026;6.023.895;11.767.248;3.436.968;3.724.694;3.894.137;0;29.063.968;1.114.764;5.163.229;3.839.266;4.166.272;2.019.658;5.174.300;148.640;21.626.127;1.217.134;24.551.254;58.190.745;131.249.678;85.783.747;174.195.960;37.935.550;513.124.068;180.371;6.650.382;15.989.894;12.561.481;8.483.052;4.857.684;21.152;48.744.016;42.602;3.914.674;4.140.603;6.192.186;1.171.182;473.710;13.678;15.948.634;
1%;1 - Público;dez/14;47,14%;49,61%;28,48%;41,38%;49,18%;62,30%;54,05%;26,92%;43,80%;60,99%;18,23%;24,38%;37,41%;82,32%;93,37%;84,54%;52,90%;32,05%;16,10%;41,10%;49,82%;11,06%;0,00%;1,32%;23,69%;51,26%;20,00%;15,98%;6,82%;13,90%;75,81%;97,91%;20,05%;18,97%;20,77%;24,76%;13,46%;41,71%;54,33%;0,00%;24,36%;25,69%;33,47%;26,87%;28,64%;40,54%;82,37%;69,41%;35,99%;63,29%;65,00%;62,66%;68,55%;80,27%;93,18%;95,39%;78,03%;76,30%;48,81%;40,58%;76,33%;76,10%;74,39%;99,34%;55,75%;36,93%;68,90%;33,30%;25,98%;17,69%;6,83%;8,13%;28,59%;
2;2 - Privado Nacional;dez/14;759.096.400;3.919.563;34.391.810;50.908.711;47.201.482;7.462.394;1.818.927;195.205;145.898.092;494.236;5.319.858;12.126.785;13.627.505;2.576.050;444.986;8.272;34.597.692;1.585.031;23.426.053;5.505.321;50.569;13.796;1.594;620.442;31.202.806;546.807;30.835.553;4.804.128;806.101;424.292;160.720;1.000;37.578.603;506.958;10.050.853;15.809.776;12.956.483;3.509.471;2.156.138;0;44.989.680;2.360.497;7.035.177;6.679.507;6.122.449;1.784.792;709.518;27.682;24.719.622;322.252;8.335.022;22.415.849;39.927.836;14.236.768;10.831.634;1.799.678;97.869.039;30.544;5.431.628;18.268.671;2.876.521;2.236.423;1.461.057;141;30.304.983;35.096;833.765;5.024.121;13.072.742;5.188.821;4.274.862;152.077;28.581.486;
2%;2 - Privado Nacional;dez/14;38,14%;37,29%;49,64%;43,15%;36,76%;25,34%;30,09%;28,41%;40,26%;26,07%;43,50%;45,43%;39,97%;11,97%;2,03%;0,15%;27,91%;51,85%;65,22%;39,93%;4,61%;6,03%;1,91%;82,39%;56,81%;38,09%;45,19%;24,72%;59,32%;82,72%;23,14%;0,39%;40,88%;44,32%;34,65%;33,27%;50,73%;39,30%;30,08%;0,00%;37,71%;54,39%;45,60%;46,74%;42,08%;35,83%;11,29%;12,93%;41,14%;16,76%;22,07%;24,14%;20,85%;13,32%;5,79%;4,53%;14,88%;12,92%;39,86%;46,36%;17,48%;20,06%;22,37%;0,66%;34,66%;30,43%;14,67%;40,40%;54,84%;78,39%;61,65%;90,44%;51,23%;
3;3 - Privado com Controle Estrangeiro;dez/14;292.831.842;1.377.436;15.160.388;18.246.412;18.056.702;3.638.727;958.162;306.865;57.744.692;245.336;4.679.648;8.058.460;7.711.413;1.228.529;1.005.426;863.811;23.792.622;491.989;6.710.642;2.615.763;499.300;189.787;81.674;122.693;10.711.847;152.973;23.749.342;11.524.020;460.144;17.339;7.301;4.385;35.915.504;419.840;12.934.778;19.940.470;9.148.390;1.696.293;1.116.846;5.915;45.262.533;864.564;3.230.235;3.770.478;4.260.319;1.177.240;398.058;37.837;13.738.730;383.713;4.886.903;12.256.287;20.283.508;6.850.698;1.908.119;34.652;46.603.880;25.477;1.544.095;5.149.042;1.019.393;427.160;211.695;0;8.376.862;37.647;933.348;3.271.210;4.571.084;259.432;2.185.990;2.388;11.261.099;
3%;3 - Privado com Controle Estrangeiro;dez/14;14,71%;13,10%;21,88%;15,47%;14,06%;12,36%;15,85%;44,67%;15,94%;12,94%;38,27%;30,19%;22,62%;5,71%;4,59%;15,32%;19,19%;16,09%;18,68%;18,97%;45,56%;82,92%;98,09%;16,29%;19,50%;10,65%;34,81%;59,30%;33,86%;3,38%;1,05%;1,70%;39,07%;36,70%;44,59%;41,96%;35,82%;18,99%;15,58%;100,00%;37,93%;19,92%;20,94%;26,39%;29,28%;23,63%;6,34%;17,67%;22,87%;19,95%;12,94%;13,20%;10,59%;6,41%;1,02%;0,09%;7,09%;10,78%;11,33%;13,07%;6,19%;3,83%;3,24%;0,00%;9,58%;32,64%;16,43%;26,30%;19,18%;3,92%;31,52%;1,42%;20,18%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/14;1.554.454.424;10.220.035;64.838.292;111.524.689;123.249.592;28.470.929;5.671.699;685.934;344.661.171;1.716.520;9.250.896;20.212.217;27.268.388;19.984.099;21.333.126;5.608.770;105.374.015;2.993.724;34.996.073;12.520.262;1.083.006;215.091;81.674;132.655;52.022.486;1.327.722;61.045.301;12.925.549;1.140.922;511.884;691.713;257.224;77.900.316;1.143.339;28.948.340;47.422.452;25.473.748;8.917.063;7.155.740;1.038;119.061.719;4.271.949;14.808.859;13.723.460;13.920.726;4.820.279;6.223.908;199.984;57.969.164;1.373.019;22.628.216;53.617.582;93.670.777;39.178.379;55.809.256;17.204.170;283.481.400;223.549;13.197.359;38.322.853;14.945.502;10.132.791;4.998.751;21.097;81.841.902;115.344;5.639.334;12.367.744;23.822.294;6.619.170;6.934.483;168.144;55.666.513;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/14;78,11%;97,22%;93,58%;94,53%;95,98%;96,69%;93,84%;99,84%;95,11%;90,54%;75,64%;75,72%;79,98%;92,85%;97,49%;99,46%;85,01%;97,94%;97,43%;90,80%;98,82%;93,97%;98,09%;17,61%;94,71%;92,48%;89,47%;66,51%;83,95%;99,80%;99,60%;99,87%;84,74%;99,96%;99,79%;99,80%;99,73%;99,85%;99,84%;17,55%;99,79%;98,44%;95,98%;96,04%;95,68%;96,76%;99,08%;93,38%;96,48%;71,40%;59,91%;57,74%;48,92%;36,66%;29,85%;43,26%;43,11%;94,57%;96,85%;97,25%;90,81%;90,90%;76,55%;99,08%;93,61%;100,00%;99,25%;99,45%;99,94%;100,00%;100,00%;100,00%;99,78%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/14;56.661.902;48.056;1.882.482;1.298.265;749.587;125.636;7.775;0;4.111.801;100.739;2.148.608;4.438.261;3.443.281;495.763;47.239;0;10.673.890;0;0;0;0;0;0;0;0;43.059;3.708.975;6.147.308;201.581;0;0;0;10.100.923;0;60.917;94.235;66.299;13.395;11.381;4.878;251.105;11.357;364.509;84.414;187.771;12.574;1.250;0;661.874;290.543;2.909.680;7.801.196;13.869.084;4.557.905;702.886;34.652;30.165.946;2.418;25.073;89.615;172.413;91.063;31.192;0;411.774;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/14;2,85%;0,46%;2,72%;1,10%;0,58%;0,43%;0,13%;0,00%;1,13%;5,31%;17,57%;16,63%;10,10%;2,30%;0,22%;0,00%;8,61%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;5,44%;31,63%;14,83%;0,00%;0,00%;0,00%;10,99%;0,00%;0,21%;0,20%;0,26%;0,15%;0,16%;82,45%;0,21%;0,26%;2,36%;0,59%;1,29%;0,25%;0,02%;0,00%;1,10%;15,11%;7,70%;8,40%;7,24%;4,26%;0,38%;0,09%;4,59%;1,02%;0,18%;0,23%;1,05%;0,82%;0,48%;0,00%;0,47%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
