Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42064;16218781;351531505;127672299;658271447;-27725380;630546067;371519;1084919;412559;-41991;1827006;181244902;65563103;31296904;1405900567;412559;1405488008
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42064;18506690;220977205;207026333;407716172;-26484697;381231475;1492057;11021350;6722644;-253770;18982281;235787572;70271183;60427141;1213209880;6722644;1206487236
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42064;13019623;105620795;173273980;617183913;-28058672;589125241;0;0;0;0;0;58834252;126410708;12255324;1078539923;0;1078539923
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42064;518122;5349017;149291000;364173334;-2652933;361520401;0;0;0;0;0;52063666;311365083;16351437;896458725;0;896458725
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42064;13567417;195740613;152074122;320302240;-21864159;298438081;70402;7394876;3585100;-238365;10812014;99618774;51540466;48123189;869914675;3585100;866329574
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42064;4958817;48766167;126880646;222252075;-13490963;208761112;34119;6256126;3190521;-65021;9415745;162116154;36450951;18538323;615887916;3190521;612697395
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42064;3236906;27282771;39858954;58468867;-4204698;54264169;10136;1045166;205326;-60835;1199793;43508469;13682803;3556779;186590644;205326;186385319
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42064;1773609;35732225;55723582;16471621;-794612;15677009;0;0;0;0;0;31917527;1350528;11403541;153578020;0;153578020
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42064;835421;44464949;44095990;48725820;-2010454;46715366;79161;1775884;922538;-21447;2756136;10205239;1355844;2438589;152867534;922538;151944996
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42064;123713;14743556;29397232;52024793;-3391705;48633088;14529;530719;222539;-27561;740227;11127658;788590;384440;105938502;222539;105715963
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42064;475765;20374964;17001422;12490279;-876380;11613899;1600;180839;18280;-4230;196488;20070284;3070996;937452;73741270;18280;73722990
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42064;691812;6422;19382320;29222198;-1753618;27468580;235;136027;64196;-7690;192769;5932898;7513782;289995;61478579;64196;61414383
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42064;250324;9627364;18456728;982985;-6202;976784;0;0;0;0;0;15438735;60058;124367;44934360;0;44934360
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42064;3411770;16554086;10696349;6457338;-361783;6095555;0;0;0;0;0;7164213;37095;928143;44887212;0;44887212
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42064;1585;2186999;3799639;1875130;-157795;1717334;27128;745010;83395;-6632;848901;32603567;46988;40007;41245020;83395;41161625
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42064;220701;8806555;14470781;13025568;-973976;12051592;0;0;0;0;0;3136563;494294;229497;39409982;0;39409982
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42064;59050;6520631;3852427;5815638;-301440;5514198;0;110019;0;0;110019;20144848;575169;84295;36860638;0;36860638
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42064;751343;3370676;4094109;2584715;-37172;2547543;0;0;0;0;0;20066891;125211;33331;30989103;0;30989103
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42064;43841;10791237;3528071;13610388;-5366;13605022;0;0;0;0;0;730033;585319;95756;29379279;0;29379279
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42064;77752;1133008;2332623;16703336;-896018;15807318;1242;115544;87484;-4617;199653;5337845;759376;606817;26254391;87484;26166907
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;42064;3449;2209959;740305;21378471;-837734;20540737;2115;243617;90405;-7280;328857;1882352;164360;48800;25918819;90405;25828414
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42064;3742;5125755;8278922;8407654;-37655;8369999;0;0;0;0;0;1159365;756735;65222;23759740;0;23759740
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;42064;161028;5454611;4433227;10868008;-255081;10612928;0;0;0;0;0;2331973;97592;43647;23135006;0;23135006
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;I;2;SAO PAULO;SP;42064;132716;2287771;2106421;10889872;-453030;10436842;0;0;0;0;0;3969365;665434;232062;19830611;0;19830611
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;C;3;SAO PAULO;SP;42064;63455;2706614;2067021;11409975;-284600;11125375;0;0;0;0;0;3720121;8510;30246;19721342;0;19721342
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;42064;12470;4180107;9130499;489324;-1291;488033;0;0;0;0;0;4620493;119391;42474;18593467;0;18593467
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;42064;53083;2458195;2529182;7602628;-783094;6819534;0;1436;1409;-5;2841;3026695;465187;1996748;17351464;1409;17350055
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;42064;200948;314511;4794413;7593156;-1016020;6577136;4033;311623;109699;-35188;390166;3087574;421627;185905;15972281;109699;15862583
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;42064;209379;4338696;5448669;3868282;-271010;3597272;446;107685;58314;-11485;154961;977336;897308;217734;15841355;58314;15783041
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;42064;84696;7175627;5068405;80170;0;80170;0;0;0;0;0;2750225;630;16470;15176223;0;15176223
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;42064;21201;444099;24814;12103974;-228130;11875844;6133;126120;114855;-956;246152;1845670;209786;25316;14692883;114855;14578028
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;42064;50471;1211643;4810064;6915947;-108344;6807603;6268;322227;85994;-4653;409835;890936;117905;282479;14580937;85994;14494944
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;42064;9;471168;1506574;11560068;-365595;11194473;0;0;0;0;0;495820;50574;34172;13752789;0;13752789
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;42064;176623;683049;1120070;9256424;-437786;8818638;0;0;0;0;0;1645206;763207;251745;13458537;0;13458537
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;42064;20940;3922100;2788616;937963;-27490;910472;0;0;0;0;0;5592321;68866;56999;13360314;0;13360314
