Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42064;69739142;21558498;91297640;37407348;128704988;753727844;15488565;36011;4060297;0;19584874;30116897;803429614;NA;0,0868;0,1136;0,1602;NA%;0,2426
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42064;91681448;50269;91731717;29401685;121133402;728705551;11198178;921455;12046445;609882;24775960;35508837;788990348;NA;0,1162;0,1163;0,1535;NA%;0,4739
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42064;64298372;0;64298372;32149186;96447558;594964928;30287771;0;13690663;0;43978434;25075903;664019265;NA;0,0968;0,0968;0,1452;NA%;0,1141
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42064;74094586;0;74094586;19513015;93607600;557017645;5341055;186731;12267311;646410;18441507;39117367;614576518;NA;0,1206;0,1206;0,1523;NA%;0,4789
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42064;58093652;0;58093652;19602167;77695819;496431889;1229740;0;1740350;0;2970089;33593240;532995218;NA;0,109;0,109;0,1458;NA%;0,1426
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42064;50787961;4062473;54850434;5659362;60509796;330703068;5758284;0;23336645;141273;29236202;18627431;378566701;NA;0,1342;0,1449;0,1598;NA%;0,2542
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42064;13217732;4134303;17352035;4322965;21675001;77813935;2489876;23197218;23117136;3987873;52792104;1945665;132551704;NA;0,0997;0,1309;0,1635;NA%;0,4902
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42064;8055174;0;8055174;5930881;13986055;96527214;598753;0;7302352;179101;8080206;11172782;115780202;NA;0,0696;0,0696;0,1208;NA%;0,2146
