Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42064;1777280;138973;2597442;-323426;359060;29836;4579165;-3785467;-438225;-109602;0;-342599;-4675894;-96729;119666;66420;-411609;-284861;-36080;629947;392173;-215375;260281;163553;7535;171087;285520;0;456607;0
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42064;1610969;11951;504880;452807;193146;165345;2939098;-985303;-404573;-8096;0;-200951;-1598923;1340175;54876;266082;-382459;-326102;-85796;45315;67989;-791996;-1152091;188084;-532;187552;-16389;-24131;147032;-76992
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42064;32722;0;1460545;-404372;1448549;0;2537445;-164182;-2003884;0;0;-1405;-2169472;367973;119708;105;-202706;-59837;-28350;0;28529;-61195;-203747;164227;8;164235;-65287;-4215;94733;0
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42064;939774;29739;738300;753480;11980;10237;2483510;-513649;-934199;-23155;0;-205208;-1676211;807299;201162;69170;-374848;-340808;-77497;24117;223459;-328224;-603471;203828;19095;222923;-65547;-24684;132692;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;C;3;SAO PAULO;SP;42064;1542013;0;131680;85577;627241;0;2386511;-93490;-2059507;0;0;-86601;-2239598;146913;18537;1625;-38365;-20169;-8203;0;4057;-67070;-109588;37325;-208;37117;-13551;-3124;20443;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42064;767562;0;2679784;-1152260;0;27254;2322341;-2495530;-2654234;0;-641172;-170945;-5961881;-3639540;435198;7922;-169954;-258600;-27804;2013808;1395012;-128448;3267135;-372405;810;-371594;1423427;-114561;937272;0
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42064;1355093;37058;83161;362354;97148;0;1934815;-1501311;-19024;-35080;0;-251804;-1807218;127598;31030;78781;-78062;-466358;-40996;6769;380558;-152037;-240314;-112717;-11756;-124472;50954;0;-73519;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42064;152623;100409;170108;1455100;0;0;1878240;-13091;-1486173;-68284;-129991;-193505;-1891044;-12804;7890;2311;-42376;-57428;-8851;-13085;31795;-23836;-103581;-116385;507;-115878;-28807;0;-144685;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42064;305008;0;609463;670850;175394;0;1760715;-641225;-1123669;0;0;7540;-1757354;3360;139230;0;-404624;-87057;-19841;191473;46849;-74893;-208863;-205503;13;-205490;132851;-1;-72640;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42064;648858;0;662411;283435;158189;5413;1758306;-646009;-685377;0;0;-269541;-1600927;157379;523123;10061;-355545;-213770;-59597;0;347365;-374350;-122712;34667;1723;36390;50498;-30117;56772;-19191
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;I;2;SAO PAULO;SP;42064;688099;0;118948;686420;149727;0;1643194;-952910;-312170;0;0;-113682;-1378762;264432;8711;16629;-56824;-122432;-34746;9491;126165;-44186;-97192;167241;-2933;164308;-46363;-12858;105087;-34094
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42064;390396;31277;246934;860433;42392;0;1571433;-265885;-780663;-27648;0;-95735;-1169932;401500;71606;20900;-94647;-200233;-25610;913;114551;-164922;-277442;124058;-1023;123035;-52469;-5545;65021;0
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;42064;812269;912;125953;527181;0;0;1466315;-959178;-10259;-801;-18332;-116278;-1104848;361467;8138;30696;-31230;-311761;-21181;49577;182268;-234862;-328355;33111;-119;32992;11407;-12520;31879;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;42064;739596;97633;43543;514016;0;0;1394788;-239805;-695568;-87519;0;-102790;-1125681;269107;59720;23126;-1040;-83991;-34848;0;74609;-166451;-128875;140232;-4623;135609;-48891;0;86718;0
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;42064;351615;46408;122162;410736;258359;60;1189339;-678877;-317931;-47700;0;-335422;-1379930;-190591;17837;3063;-52855;-42087;-13267;3;13530;-38468;-112244;-302835;-1623;-304458;126687;0;-177770;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;42064;418233;0;242220;484232;0;0;1144684;-505290;-718544;0;-2634;-43280;-1269749;-125064;42122;3202;-40297;-23750;-6325;137883;61018;-16549;157303;32239;-771;31468;71740;-22953;80255;-29563
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;42064;48737;0;67344;283530;636538;0;1036149;-21445;-976715;0;0;1585;-996575;39573;4022;0;-7578;-3165;-2057;0;2797;-1365;-7347;32226;0;32226;-12866;-327;19033;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;42064;717711;201;112206;135663;18631;4089;988499;-334360;-24395;-192;0;-191430;-550378;438122;14655;30294;-84014;-183095;-27948;9717;8951;-211457;-442897;-4775;2281;-2494;4803;-87;2222;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42064;178462;0;153106;567154;0;0;898722;-73523;-163800;0;-607978;-27959;-873260;25462;68437;193;-64782;-22295;-12463;0;73643;-8624;34109;59571;16;59586;-11781;0;47806;0
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42064;304362;0;408669;1038;17666;10294;742030;-482900;-131215;0;0;12082;-602032;139997;37281;13;-26212;-84549;-8348;1453;17117;-21449;-84694;55303;-117;55186;-21649;0;33537;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;42064;156995;15231;23794;537995;0;0;734016;-49733;-592652;-11135;0;-8720;-662239;71776;0;10718;-9132;-30960;-7072;0;2415;-5837;-39867;31909;-1590;30319;-11741;-1191;17386;0
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;42064;43690;0;151088;316607;204675;0;716061;-41849;-585601;0;0;-142;-627592;88468;1189;288;-26995;-17158;-1029;0;9910;-6341;-40136;48333;31;48364;-22166;0;26198;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;42064;644800;0;31412;0;0;0;676211;0;0;0;0;-105300;-105300;570911;0;0;-4453;-194349;-33213;0;50183;-91;-181922;388989;3;388992;-154579;-467;233945;-18000
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;42064;541857;0;71645;-3792;3050;8843;621603;-237774;-1820;0;0;-103590;-343184;278419;66852;34774;-171782;-105072;-24343;8917;17838;-78268;-251084;27335;-127;27208;2964;-4621;25551;0
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;42064;561270;37810;16271;0;0;0;615351;-359508;0;-36982;0;-39091;-435581;179771;40450;28550;-968;-148612;-29872;6447;19058;-18794;-103740;76030;713;76743;-28370;0;48373;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;42064;59753;439333;115948;0;0;0;615033;-204347;-22253;-355594;0;-45541;-627734;-12701;0;0;0;-9271;-2250;0;19814;-270;8024;-4677;0;-4677;1548;0;-3129;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;42064;467;0;479118;79365;18116;0;577067;-85854;-15996;0;0;0;-101850;475217;47407;0;-100292;-20803;-9314;33669;62991;-403470;-389811;85406;0;85406;-19320;0;66086;0
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;42064;201195;0;68755;199278;78764;0;547991;-271075;-287595;0;0;-55362;-614032;-66041;17684;154;-22253;-18441;-3016;2426;59518;-6678;29393;-36647;4112;-32536;54926;-12331;10060;-17298
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42064;174810;0;357615;1692;0;5955;540072;-449158;-12556;0;0;-4133;-465847;74225;86175;20;-19203;-48497;-11933;491;2359;-50164;-40752;33474;1600;35073;-13269;-1290;20515;0
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;42064;284123;56445;159609;20004;2453;0;522634;-285380;-41763;-46296;0;-11463;-384902;137732;7444;7145;-39502;-25455;-8846;4569;17561;-52941;-90025;47707;-274;47433;-15081;-1843;30509;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;42064;205901;12969;269727;0;3702;10121;502420;-289975;-5862;-10733;0;-53930;-360500;141920;43481;19767;-71187;-51785;-14897;6638;7417;-21566;-82133;59787;84;59871;-16567;-4527;38777;-9900
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;42064;15310;0;60898;141465;255769;0;473442;-41229;-420952;0;0;-1808;-463989;9453;10748;39;-18563;-10624;-6315;49;180240;-157550;-1975;7478;1;7478;-5840;-4;1634;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;C;2;SAO PAULO;SP;42064;275178;0;95926;1852;37602;0;410559;-312493;-70593;0;0;-94451;-477536;-66977;5931;568;-39754;-26375;-2716;14006;36921;-56309;-67727;-134704;-759;-135463;-1847;0;-137310;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;;I;3;SAO PAULO;SP;42064;136014;0;70303;99149;104894;0;410360;-38184;-322938;0;0;-74;-361196;49164;7013;2;-9634;-4175;-2392;7892;7610;-17582;-11266;37898;11;37909;-13288;-359;24263;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;42064;384640;0;8103;0;0;0;392744;-5572;0;0;0;-141001;-146574;246170;72373;57953;-20206;-107681;-34289;0;9736;-34846;-56961;189209;0;189209;-74585;0;114624;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;42064;4888;0;141608;224671;3416;0;374583;-34045;-233970;0;0;-24;-268039;106544;69717;0;-96974;-25707;-12293;0;24955;-21046;-61349;45195;1282;46478;-15768;-2;30708;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;42064;139181;0;218346;-7934;8219;0;357812;-70228;-117075;0;0;-17379;-204681;153131;151429;24467;-116071;-63062;-23292;0;150325;-130596;-6800;146330;1243;147573;-85235;0;62338;0
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;;I;3;SAO PAULO;SP;42064;62124;0;12919;13431;256969;0;345443;-21657;-289034;0;0;3146;-307544;37899;1;0;-748;-2172;-3166;0;272;-4056;-9868;28031;0;28031;-11214;0;16818;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;42064;16649;0;148391;177563;0;0;342603;-39165;-33363;0;-24141;-1276;-97944;244659;116672;897;-111955;-34165;-12164;0;247;-145444;-185911;58748;-25;58723;-23489;0;35235;0
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;42064;332843;0;3788;0;18;0;336649;-8689;0;0;0;-147886;-156575;180074;883;17611;-12280;-44261;-862;0;17371;-38567;-60105;119969;-2320;117649;-48084;0;69565;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;42064;269618;0;43300;0;1533;5483;319934;-96581;-174;0;0;-44630;-141385;178548;2636;12883;-56570;-53709;-11305;0;2630;-5213;-108649;69900;55;69955;-45907;-4554;19494;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;42064;237661;0;57402;1080;0;0;296143;0;-138613;0;0;-43680;-182293;113850;8256;0;-36935;-8848;-7235;0;5547;-5132;-44348;69503;625;70128;-28788;0;41340;0
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;42064;249642;0;65505;-27475;8343;0;296014;-57783;-102721;0;0;-29255;-189759;106255;8196;8;-25099;-19321;-7168;-279;42538;-6075;-7199;99056;97;99153;-8806;-58871;31477;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;42064;271496;0;12963;0;39;0;284498;-14445;0;0;0;-14891;-29336;255162;39456;9009;-3895;-56791;-16970;0;1487;-102411;-130116;125046;19;125064;-49795;-546;74723;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;42064;260786;0;1722;2272;0;0;264779;-10865;-184260;0;0;-29639;-224764;40015;10408;42;-7340;-4430;-3281;0;0;0;-4602;35413;264;35676;-13862;-774;21040;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;42064;154472;0;26025;60265;16462;0;257225;-28216;-159899;0;0;-25733;-213849;43376;6472;2081;-23445;-9541;-4838;0;23877;-15071;-20466;22910;-683;22227;-8486;-1083;12658;0
BONSUCESSO - PRUDENCIAL;1000080422;b1;;C;2;BELO HORIZONTE;MG;42064;170172;0;30276;54589;1899;0;256936;-68371;-25;0;0;2854;-65543;191393;2471;3373;-9846;-110481;-7456;5931;26393;-67226;-156842;34551;99758;134309;-11614;0;122694;0
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;42064;215975;0;31445;964;8017;0;256403;-121164;-10230;0;0;-21712;-153106;103296;2063;1711;-15918;-44987;-6009;14798;1291;-2791;-49841;53455;1;53454;-14270;0;39185;-3450
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;42064;236745;0;10120;0;0;0;246865;-30174;0;0;0;-87751;-117925;128940;105529;26272;-22299;-65938;-22396;0;16681;-69195;-31347;97593;0;97593;-37166;-2861;57567;0
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;42064;181300;52;32941;32410;0;0;246703;-67099;-44265;-16;0;-16077;-127457;119246;247265;17843;-5507;-194131;-35470;0;35651;-9684;55968;175214;86;175300;-63815;0;111484;0
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;42064;47103;0;68824;106489;20835;0;243252;-296393;-8602;0;0;-3659;-308654;-65402;7786;797;-18284;-12783;-2481;50730;4995;-1375;29385;-36017;0;-36017;36794;-4440;-3662;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;42064;211591;7113;7324;0;0;0;226028;-29283;-64912;-6586;0;-116276;-217056;8972;38;3017;-18630;-20876;-8880;0;16544;-8636;-37423;-28451;-3621;-32072;11762;0;-20310;0
MIZUHO - PRUDENCIAL;1000080697;b1;;C;3;SAO PAULO;SP;42064;14789;0;29873;47047;113140;0;204849;-15126;-200981;0;0;-9024;-225131;-20282;18483;22;-11672;-6694;-539;21118;15820;-2071;34468;14186;0;14186;1792;-533;15446;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;42064;7691;0;189203;0;0;0;196894;-189438;0;0;0;152;-189286;7608;0;0;-6869;44412;0;1707;616;-47471;-7605;3;0;3;0;0;3;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;42064;159746;10107;29231;-2522;0;0;196561;-59885;-17197;-7906;0;-31983;-116972;79590;2489;8;-11229;-16278;-6649;0;12994;-9678;-28343;51246;20;51267;-12999;-1964;36304;-67549
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;42064;153110;1993;15339;13887;0;0;184329;-71901;-19006;-1232;0;-20065;-112205;72124;4808;18137;-10786;-66716;-8491;-418;20793;-31684;-74357;-2233;-1082;-3315;3068;0;-247;0
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;;I;3;BARUERI;SP;42064;969;180947;0;0;0;0;181915;0;-22836;-140831;0;-13188;-176855;5060;0;0;-2;-5809;-1324;0;859;-703;-6978;-1918;776;-1142;846;0;-296;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;42064;66572;90293;15031;8093;0;0;179989;0;-29200;-82920;0;-33755;-145876;34114;6007;18;-13678;-18287;-3964;0;5278;-8666;-33291;823;118;941;-50;0;891;0
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;42064;105710;2688;35132;10192;23065;0;176787;-80910;-64828;-2538;0;-640;-148915;27871;162;3573;-12143;-11951;-2106;21257;6042;-5484;-650;27221;-501;26720;-1380;-3879;21461;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;;I;3;SAO PAULO;SP;42064;3599;0;33072;89912;49965;0;176547;-7794;-131995;0;0;-667;-140456;36091;4568;0;-11056;-4938;-4026;0;2358;-2132;-15226;20866;0;20866;-10214;0;10652;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;42064;123950;271;29933;18513;0;0;172666;-101780;-5274;-227;0;-10790;-118070;54595;308;81;-5471;-9975;-3707;0;2555;-22921;-39129;15466;6314;21780;-8740;-509;12531;0
BBM - PRUDENCIAL;1000080161;b1;;C;2;SALVADOR;BA;42064;50286;0;35771;24264;53167;0;163488;-58542;-41154;0;0;-9675;-109371;54118;4672;5;-11183;-8821;-1461;13251;554;-47117;-50100;4018;10;4028;2797;0;6825;-8364
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;42064;50440;0;86553;0;0;19902;156895;-90069;0;0;0;-1189;-91258;65637;0;822;-22798;-8849;-3849;0;8149;-3852;-30378;35259;420;35680;0;0;35680;0
BARCLAYS - PRUDENCIAL;1000080817;b1;;C;3;SAO PAULO;SP;42064;146;0;94972;54167;0;0;149285;-80281;0;0;-51738;34;-131986;17300;30500;0;-29596;-8570;-6605;-16;14384;-8223;-8125;9175;-3;9172;-14090;-1385;-6303;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;;C;1;ARACAJU;SE;42064;96447;0;38069;0;0;4770;139286;-62652;-1667;0;0;-20046;-84366;54921;26014;3764;-46560;-33191;-9341;0;37768;-18338;-39884;15037;-416;14621;-6238;-1800;6583;-1288
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;42064;62992;0;77664;-71149;69754;0;139261;-122590;-30581;0;0;806;-152365;-13105;9591;1919;-22311;-21043;-2298;979;33958;-2170;-1375;-14480;-939;-15418;11293;-2618;-6743;0
ICBC DO BRASIL BM S.A. - PRUDENCIAL;1000081830;b1;;I;3;SAO PAULO;SP;42064;34852;0;12558;0;91702;0;139112;-6424;-124165;0;0;-196;-130785;8327;50;4;-3284;-1969;-402;0;849;0;-4751;3576;-23;3553;-1016;-27;2511;0
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;;C;2;SAO PAULO;SP;42064;60134;0;21069;24604;30984;0;136791;-44088;-67692;0;0;-9110;-120889;15902;2167;848;-11951;-6247;-2798;0;10374;-324;-7932;7970;0;7970;-667;0;7304;-5000
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;42064;86354;0;38985;0;0;0;125339;-36476;-13197;0;0;-30680;-80353;44986;1638;908;-16008;-14617;-265;0;818;-719;-28245;16742;-4;16738;-341;-1388;15009;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;42064;96550;0;22699;0;0;0;119249;-41721;-1222;0;0;-11532;-54476;64773;5155;3325;-16707;-27149;-90;0;278;-604;-35792;28981;-131;28850;0;-1349;27500;0
RENDIMENTO - PRUDENCIAL;1000080659;b1;;C;2;SAO PAULO;SP;42064;18881;0;13786;-12099;97660;0;118227;-24620;-1064;0;0;-1266;-26950;91278;18224;495;-32398;-37147;-4809;0;2358;-23220;-76498;14780;103;14883;-6119;-129;8635;0
INTERMEDIUM - PRUDENCIAL;1000080996;b1;;C;2;BELO HORIZONTE;MG;42064;98783;0;17787;1323;0;0;117893;-44541;-679;0;0;-15000;-60221;57672;1203;1644;-12657;-29637;-3781;-705;90;-1634;-45476;12196;979;13175;-5323;0;7852;0
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;C;2;UBERLANDIA;MG;42064;98754;0;13403;4629;0;0;116787;-34358;-5851;0;0;-23271;-63480;53307;15226;22828;-26411;-37735;-6702;477;3644;-3203;-31878;21430;-461;20969;-3980;-2668;14321;-4938
DACASA FINANCEIRA - PRUDENCIAL;1000081005;n1;;C;2;VITORIA;ES;42064;83815;0;24021;1395;0;0;109231;-43505;0;0;0;-37985;-81490;27741;8923;6680;-4070;-39974;-5278;0;23356;-8160;-18523;9218;-7;9212;-3934;0;5278;0
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;C;3;SAO PAULO;SP;42064;93943;4476;35;9575;0;0;108030;-10725;-24347;-3504;0;-44703;-83279;24751;392;947;-11039;-7038;-2640;0;8268;-12443;-23553;1198;-1114;84;-1454;0;-1370;0
CAIXA GERAL - PRUDENCIAL;1000080927;b1;;C;3;SAO PAULO;SP;42064;25420;0;27848;49172;0;0;102440;-23556;-6947;0;-57934;-1405;-89843;12597;7127;0;-10327;-9030;-4327;0;6928;-2626;-12256;341;-39;301;-2983;0;-2682;0
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;42064;3190;0;98788;0;0;0;101977;-98788;-1;0;0;1;-98788;3189;0;0;-7190;30884;0;860;682;-28425;-3188;1;-1;0;0;0;0;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;42064;0;0;89952;0;0;0;89952;-84982;0;0;0;0;-84982;4970;0;0;-697;-559;-4;1398;348;-76;411;5381;0;5381;0;0;5381;0
VOLVO - PRUDENCIAL;1000080769;b2;;C;3;CURITIBA;PR;42064;75575;8799;4305;0;0;0;88680;-2933;-21659;-7418;0;-26312;-58322;30358;9384;1069;-9381;-16380;-4027;270;5998;-1923;-14992;15365;-493;14873;-5771;-396;8705;0
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;;I;1;PORTO ALEGRE;RS;42064;68893;0;17500;0;0;0;86393;0;-41068;0;0;-43629;-84698;1695;2279;439;-9551;-4333;-2329;0;130;-646;-14011;-12316;0;-12316;4742;0;-7574;0
