Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42064;1405488008;700985274;1332172361;1114184062;73315647;5789959;128704988;0,1602;0,2426;5549;1499
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42064;1206487236;463917832;1104094202;783428410;102393035;5726837;121133402;0,1535;0,4739;3886;925
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42064;1078539923;626809481;1052069411;928406273;26470512;1174255;77695819;0,1458;0,1426;3401;841
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42064;896458725;364976598;865646190;595399724;30812535;1585371;96447558;0,1452;0,1141;4;0
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42064;866329574;352223704;781294394;656452012;85035180;4248030;93607600;0,1523;0,4789;4678;1264
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42064;612697395;257976832;553999884;387238781;58697512;739186;60509796;0,1598;0,2542;2745;1160
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42064;186385319;67562884;176763382;116895169;9621937;-98356;13986055;0,1208;0,2146;856;454
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42064;153578020;19069818;138110202;86391477;15467818;937272;21675001;0,1635;0,4902;13;0
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42064;151944996;55934402;142874636;124153995;9070359;456607;11852208;0,133;0,2062;111;6
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42064;105715963;54546713;98037250;66064160;7678712;121854;10523379;0,1379;0,034;111;0
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42064;73722990;17548411;66905697;34450835;6817293;132692;6501998;0,1227;0,1303;134;18
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42064;61414383;31026989;55672405;46753165;5741978;147032;6927654;0,1698;0,0402;530;206
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42064;44934360;1806567;41082811;12748005;3851549;94733;3715663;0,1376;0,0184;8;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42064;44887212;6840599;41538754;23502104;3348458;-72640;4479082;0,1665;0,1758;10;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42064;41161625;3662817;40279575;6287024;882050;-144685;861336;0,1142;0,0344;5;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42064;39409982;13743280;36372572;19239744;3037410;56772;5470243;0,1463;0,0416;295;3
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42064;36860638;9430148;34008780;12918144;2851858;65021;2762729;0,1224;0,0252;10;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42064;30989103;3480423;29285380;7790649;1703722;47806;1665548;0,13;0,02;3;0
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42064;29379279;13765461;28262450;27239403;1116829;33537;1239421;0,1963;0,0772;5;0
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42064;26166907;17843203;22608253;18292499;3558654;-73519;3311396;0,1682;0,1767;4;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;42064;25828414;21752279;23120326;18960741;2708088;86718;3716364;0,1826;0,0109;1;0
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42064;23759740;9356606;22950257;21303846;809483;20515;807393;0,1609;0,0803;4;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;42064;23135006;11564665;20859110;16998538;2275896;80255;2933002;0,1418;0,0143;6;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;I;2;SAO PAULO;SP;42064;19830611;11394741;17236011;15255933;2594600;105087;2594600;0,1745;0,0893;39;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;C;3;SAO PAULO;SP;42064;19721342;13253473;18357726;15316500;1363616;20443;1931317;0,1184;0,0143;17;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;42064;18593467;489324;17208671;2541537;1384795;35235;1376970;0,1646;0,0303;2;0
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;42064;17350055;7851574;14134782;8817650;3215274;31879;2086261;0,1961;0,4242;23;0
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;42064;15862583;9089953;14824201;12361470;1038381;-177770;1595177;0,1187;0,1077;36;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;42064;15783041;4342428;14692587;13986099;1090454;38777;1084485;0,1731;0,198;135;27
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;42064;15176223;80170;13108259;6014936;2067964;66086;1969192;0,1505;0,0084;2;0
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;42064;14578028;12121427;13011223;5637654;1566806;48373;1394251;0,1153;0,0181;1;0
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;42064;14494944;7634136;12326399;11065362;2168545;30509;2091266;0,2029;0,1171;46;1
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;42064;13752789;11566643;11643854;11107280;2108936;41340;2063117;0,1581;0,0166;3;0
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;42064;13458537;9256424;12162246;10146466;1296291;25551;1406395;0,1497;0,1659;117;8
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;42064;13360314;1854497;12139549;5818318;1220765;26198;1217437;0,2742;0,0455;2;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;42064;13310589;8717415;12596066;9921982;714523;2222;1028900;0,1212;0,243;194;3
