cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;dez/13;798.307.308;4.508.264;20.525.057;47.803.267;60.742.959;14.319.610;2.621.091;117.714;150.637.963;737.044;1.964.339;5.267.791;8.243.014;10.170.282;22.436.888;3.623.740;52.443.099;818.026;4.671.845;4.905.463;610.106;30.591;34;0;11.036.065;709.588;15.472.794;4.091.978;1.123.876;8.283;0;251.338;21.657.857;89.907;5.523.136;9.577.826;1.189.754;5.359.253;3.932.835;0;25.672.712;759.622;3.970.757;2.289.074;2.581.707;1.402.335;5.122.581;139.539;16.265.616;745.241;21.261.489;47.059.836;109.376.518;72.771.779;146.788.928;30.805.937;428.809.729;155.118;5.345.156;19.227.064;14.546.954;3.960.770;6.818.535;38.884;50.092.481;20.674;1.850.023;2.123.771;3.414.794;956.456;337.626;12.988;8.716.331;
1%;1 - Público;dez/13;46,99%;50,83%;28,92%;39,88%;50,38%;56,06%;46,88%;64,23%;42,84%;50,15%;15,11%;20,69%;27,26%;70,21%;91,60%;86,44%;46,27%;25,75%;12,79%;38,38%;53,73%;11,22%;0,03%;0,00%;20,21%;45,26%;23,08%;23,13%;53,62%;4,57%;0,00%;98,73%;24,35%;16,04%;22,50%;25,89%;5,38%;50,68%;59,56%;0,00%;25,32%;20,55%;26,27%;16,54%;19,97%;31,06%;84,47%;65,18%;28,86%;55,60%;61,79%;60,73%;65,14%;79,12%;93,01%;95,54%;76,14%;75,63%;52,76%;48,67%;81,84%;69,32%;77,43%;100,00%;60,96%;18,70%;48,88%;20,90%;17,64%;17,41%;6,12%;10,09%;19,56%;
2;2 - Privado Nacional;dez/13;649.302.482;2.834.817;37.003.303;54.097.676;45.086.194;8.201.241;1.910.428;8.540;149.142.199;536.900;6.263.549;13.074.321;14.432.760;3.215.637;1.113.864;8.578;38.645.609;1.717.695;24.523.424;5.250.210;28.263;1.957;472;485.136;32.007.159;507.174;29.839.704;4.554.464;581.843;142.888;89.827;243;35.716.143;250.339;9.696.053;14.416.903;12.577.278;2.651.504;1.552.761;0;41.144.838;2.168.156;5.944.650;7.029.759;6.181.101;1.805.702;526.295;54.999;23.710.661;276.283;8.292.532;20.300.035;40.667.242;13.622.843;9.673.802;1.403.217;94.235.955;34.890;3.755.797;15.904.674;2.472.986;1.507.800;1.830.563;0;25.506.710;77.157;877.391;4.648.924;11.861.826;4.384.377;3.287.233;115.792;25.252.699;
2%;2 - Privado Nacional;dez/13;38,22%;31,96%;52,13%;45,13%;37,39%;32,11%;34,17%;4,66%;42,42%;36,53%;48,17%;51,34%;47,73%;22,20%;4,55%;0,20%;34,10%;54,06%;67,14%;41,07%;2,49%;0,72%;0,48%;77,75%;58,60%;32,35%;44,51%;25,75%;27,76%;78,85%;82,99%;0,10%;40,16%;44,67%;39,51%;38,97%;56,88%;25,08%;23,52%;0,00%;40,58%;58,65%;39,32%;50,81%;47,82%;39,99%;8,68%;25,69%;42,06%;20,61%;24,10%;26,20%;24,22%;14,81%;6,13%;4,35%;16,73%;17,01%;37,07%;40,26%;13,91%;26,39%;20,79%;0,00%;31,04%;69,80%;23,18%;45,74%;61,26%;79,82%;59,61%;89,91%;56,67%;
3;3 - Privado com Controle Estrangeiro;dez/13;251.442.157;1.526.222;13.453.856;17.967.039;14.738.596;3.022.010;1.059.458;57.005;51.824.187;195.860;4.774.778;7.122.567;7.562.151;1.099.351;943.712;559.696;22.258.114;641.545;7.333.043;2.626.527;497.128;240.049;97.942;138.868;11.575.103;350.980;21.733.849;9.041.189;390.261;30.036;18.414;3.002;31.567.731;220.134;9.324.253;12.998.474;8.343.754;2.563.440;1.117.373;7.663;34.575.091;768.825;5.202.365;4.516.774;4.162.811;1.307.027;415.379;19.559;16.392.740;318.793;4.856.906;10.131.573;17.861.217;5.585.948;1.355.432;35.697;40.145.565;15.097;1.030.202;4.371.382;755.765;245.172;156.498;0;6.574.116;12.705;1.057.427;3.391.217;4.086.172;151.693;1.889.323;0;10.588.537;
3%;3 - Privado com Controle Estrangeiro;dez/13;14,80%;17,21%;18,95%;14,99%;12,22%;11,83%;18,95%;31,11%;14,74%;13,33%;36,72%;27,97%;25,01%;7,59%;3,85%;13,35%;19,64%;20,19%;20,07%;20,55%;43,78%;88,06%;99,49%;22,25%;21,19%;22,39%;32,42%;51,12%;18,62%;16,58%;17,01%;1,18%;35,49%;39,28%;37,99%;35,14%;37,74%;24,24%;16,92%;100,00%;34,10%;20,80%;34,41%;32,65%;32,21%;28,95%;6,85%;9,14%;29,08%;23,78%;14,11%;13,07%;10,64%;6,07%;0,86%;0,11%;7,13%;7,36%;10,17%;11,07%;4,25%;4,29%;1,78%;0,00%;8,00%;11,49%;27,94%;33,37%;21,10%;2,76%;34,26%;0,00%;23,76%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/13;1.325.706.358;8.632.175;68.206.606;114.727.031;116.006.005;24.555.807;5.275.885;182.947;337.586.456;1.323.327;9.486.197;19.904.056;23.794.773;13.060.056;23.944.941;4.177.034;95.690.383;3.135.375;35.729.336;11.677.511;1.123.102;270.640;97.976;138.883;52.172.823;1.368.002;57.803.801;12.800.793;1.927.457;179.414;108.241;254.583;74.442.291;560.380;24.502.863;36.909.556;21.946.227;10.573.549;6.594.365;1.927;101.088.868;3.639.512;13.650.287;12.965.934;12.563.479;4.422.857;6.000.660;203.207;53.445.936;972.864;19.143.766;45.215.574;88.221.688;33.250.746;45.390.139;14.292.110;246.486.887;197.877;9.878.862;38.735.058;16.529.157;4.874.869;7.686.517;38.675;77.941.015;110.506;3.784.697;10.032.026;19.348.465;5.492.444;5.514.163;128.780;44.411.081;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/13;78,03%;97,33%;96,09%;95,71%;96,22%;96,14%;94,36%;99,83%;96,01%;90,03%;72,96%;78,16%;78,69%;90,16%;97,76%;99,64%;84,42%;98,68%;97,81%;91,36%;98,91%;99,28%;99,52%;22,26%;95,52%;87,26%;86,21%;72,37%;91,96%;99,01%;100,00%;100,00%;83,70%;100,00%;99,83%;99,77%;99,26%;99,99%;99,87%;25,15%;99,70%;98,46%;90,29%;93,71%;97,20%;97,96%;98,95%;94,91%;94,81%;72,58%;55,63%;58,35%;52,54%;36,15%;28,76%;44,32%;43,77%;96,48%;97,51%;98,06%;92,99%;85,32%;87,29%;99,46%;94,85%;99,97%;100,00%;98,70%;99,93%;100,00%;100,00%;100,00%;99,67%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/13;54.977.895;49.513;770.398;1.014.588;898.548;250.085;7.488;0;2.990.621;91.470;2.756.703;3.822.526;3.519.682;456.244;25.857;0;10.672.481;0;0;0;0;0;0;0;0;144.903;6.367.004;4.565.314;156.198;767;0;0;11.234.186;0;40.579;83.307;162.616;0;8.603;5.736;300.841;6.432;1.280.947;493.701;127.660;23.176;884;0;1.932.800;273.779;3.022.834;7.053.311;12.201.886;3.996.051;475.851;35.175;27.058.887;3.973;25.079;79.110;152.846;80.427;30.326;0;371.761;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/13;3,24%;0,56%;1,09%;0,85%;0,75%;0,98%;0,13%;0,00%;0,85%;6,22%;21,20%;15,01%;11,64%;3,15%;0,11%;0,00%;9,42%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;9,24%;9,50%;25,81%;7,45%;0,42%;0,00%;0,00%;12,63%;0,00%;0,17%;0,23%;0,74%;0,00%;0,13%;74,85%;0,30%;0,17%;8,47%;3,57%;0,99%;0,51%;0,01%;0,00%;3,43%;20,43%;8,78%;9,10%;7,27%;4,34%;0,30%;0,11%;4,80%;1,94%;0,25%;0,20%;0,86%;1,41%;0,34%;0,00%;0,45%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
