cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;dez/13;614.367.701;5.847.783;10.748.711;21.845.614;44.712.550;22.206.017;6.467.564;356;111.828.595;2.159.595;5.037.969;10.192.932;13.541.419;4.223.200;1.344.654;13;36.499.782;555.848;2.241.734;5.581.464;8.912.211;1.770.061;3.668;0;19.064.986;1.466.373;9.056.513;24.069.738;54.599.907;42.952.771;110.919.288;39.030.340;282.094.931;1.898.056;22.549.053;4.122.720;186.755;389;5;0;28.756.977;1.489.259;7.887.735;37.142.629;24.083.168;15.688.168;19.370.703;1.494.123;107.155.786;2.263.245;7.723.363;8.074.901;4.063.348;2.120.264;2.203.768;248.155;26.697.046;2.269.598
1%;1 - Público;dez/13;48,22%;79,45%;48,53%;43,00%;48,09%;56,66%;79,54%;4,58%;50,69%;35,52%;24,67%;31,08%;40,17%;55,09%;60,68%;0,17%;35,47%;11,85%;8,32%;8,50%;9,72%;15,13%;6,49%;0,00%;9,50%;91,30%;85,19%;86,45%;87,06%;86,79%;83,87%;74,34%;83,70%;15,17%;22,28%;13,99%;12,67%;0,20%;0,01%;0,00%;19,84%;77,87%;67,59%;60,62%;65,81%;72,32%;84,34%;99,95%;67,99%;34,17%;27,77%;37,21%;25,74%;36,81%;67,30%;31,84%;32,66%;7,93%
2;2 - Privado Nacional;dez/13;455.680.585;863.633;9.404.842;23.847.539;40.012.589;14.326.611;1.281.076;1.191;89.737.481;2.284.872;11.826.964;16.145.138;13.079.236;2.113.951;768.532;4.036;46.222.729;3.186.996;16.238.883;39.225.685;54.467.565;6.298.094;40.989;6;119.458.218;107.931;801.831;1.971.579;4.227.032;3.794.536;13.502.269;10.071.399;34.476.577;7.520.121;53.357.749;19.353.258;345.509;4.775;193;385;80.581.989;226.579;3.049.253;17.611.099;7.222.285;3.285.365;2.470.901;159;33.865.642;2.503.678;14.369.775;8.708.257;7.687.255;2.028.486;503.047;518.086;36.318.584;15.019.365
2%;2 - Privado Nacional;dez/13;35,76%;11,73%;42,46%;46,94%;43,03%;36,56%;15,76%;15,33%;40,67%;37,58%;57,91%;49,23%;38,80%;27,58%;34,68%;54,53%;44,92%;67,92%;60,24%;59,77%;59,41%;53,82%;72,51%;0,12%;59,52%;6,72%;7,54%;7,08%;6,74%;7,67%;10,21%;19,18%;10,23%;60,12%;52,71%;65,67%;23,44%;2,47%;0,49%;12,50%;55,61%;11,85%;26,13%;28,74%;19,73%;15,15%;10,76%;0,01%;21,49%;37,80%;51,67%;40,13%;48,70%;35,21%;15,36%;66,48%;44,44%;52,46%
3;3 - Privado com Controle Estrangeiro;dez/13;204.099.970;648.566;1.996.763;5.112.929;8.253.985;2.655.876;382.206;6.220;19.056.546;1.635.851;3.556.606;6.456.749;7.087.864;1.328.861;102.957;3.353;20.172.241;949.613;8.475.713;20.819.917;28.299.005;3.634.320;11.870;4.797;62.195.234;31.779;772.483;1.801.311;3.888.963;2.740.601;7.824.235;3.402.197;20.461.570;3.091.208;25.319.404;5.994.446;941.775;187.817;39.214;2.696;35.576.560;196.753;733.430;6.515.244;5.292.126;2.718.279;1.124.544;655;16.581.031;1.856.372;5.715.406;4.918.252;4.032.712;1.611.657;567.631;13.066;18.715.098;11.341.689
3%;3 - Privado com Controle Estrangeiro;dez/13;16,02%;8,81%;9,01%;10,06%;8,88%;6,78%;4,70%;80,09%;8,64%;26,90%;17,42%;19,69%;21,03%;17,33%;4,65%;45,30%;19,60%;20,24%;31,44%;31,72%;30,87%;31,06%;21,00%;99,88%;30,99%;1,98%;7,27%;6,47%;6,20%;5,54%;5,92%;6,48%;6,07%;24,71%;25,01%;20,34%;63,89%;97,32%;99,50%;87,50%;24,55%;10,29%;6,28%;10,63%;14,46%;12,53%;4,90%;0,04%;10,52%;28,03%;20,55%;22,66%;25,55%;27,98%;17,34%;1,68%;22,90%;39,61%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/13;1.182.351.338;7.333.990;21.606.505;49.605.081;91.063.810;38.504.368;8.000.292;6.653;216.120.699;5.106.725;16.739.361;27.785.806;29.642.579;6.623.526;1.767.517;3.428;87.668.942;4.405.191;23.067.162;55.821.399;78.264.578;9.866.630;47.476;4.803;171.477.238;1.599.295;10.551.645;27.732.477;62.499.728;49.332.475;131.875.201;52.428.844;336.019.665;11.382.748;95.461.952;27.181.372;1.386.557;191.099;39.399;2.696;135.645.823;1.690.345;9.587.754;49.520.087;30.668.374;18.780.560;20.219.712;1.494.037;131.960.868;6.358.143;25.198.961;19.475.023;14.872.389;5.482.630;3.156.566;283.808;74.827.519;28.630.584
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/13;92,80%;99,65%;97,54%;97,64%;97,94%;98,25%;98,39%;85,66%;97,96%;83,99%;81,97%;84,73%;87,94%;86,40%;79,76%;46,31%;85,20%;93,88%;85,57%;85,06%;85,37%;84,31%;83,99%;100,00%;85,43%;99,58%;99,26%;99,60%;99,66%;99,69%;99,72%;99,86%;99,70%;90,99%;94,31%;92,23%;94,07%;99,03%;99,97%;87,50%;93,60%;88,38%;82,15%;80,82%;83,80%;86,58%;88,04%;99,94%;83,73%;96,00%;90,62%;89,74%;94,23%;95,18%;96,40%;36,42%;91,55%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/13;33.961.620;266;9.209;19.747;21.968;1.980;0;0;53.169;2.173;36.335;42.012;57.045;5.933;2.388;0;145.886;213.429;3.198.159;8.066.843;10.933.883;1.442.233;2.427;0;23.856.973;0;0;0;0;0;0;0;0;501.260;1.868.224;865.792;68.842;0;0;0;3.304.118;73.197;208.088;1.440.613;2.535.167;1.414.307;480.287;0;6.151.659;23.327;84.918;135.887;161.520;39.481;4.683;0;449.815;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/13;2,67%;0,00%;0,04%;0,04%;0,02%;0,01%;0,00%;0,00%;0,02%;0,04%;0,18%;0,13%;0,17%;0,08%;0,11%;0,00%;0,14%;4,55%;11,86%;12,29%;11,93%;12,32%;4,29%;0,00%;11,89%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,01%;1,85%;2,94%;4,67%;0,00%;0,00%;0,00%;2,28%;3,83%;1,78%;2,35%;6,93%;6,52%;2,09%;0,00%;3,90%;0,35%;0,31%;0,63%;1,02%;0,69%;0,14%;0,00%;0,55%;0,00%
b3S;b3S - Cooperativa de Crédito Singulares;dez/13;40.298.693;15.260;480.868;1.062.556;1.746.549;627.839;122.160;1.114;4.056.346;198.607;2.113.999;3.909.055;3.896.987;1.034.315;446.058;3.974;11.602.994;15.850;399.143;1.070.839;1.705.319;315.783;4.026;0;3.510.960;0;0;0;0;0;0;0;0;34.485;390.316;6.871;1.876;1.880;13;385;435.827;122.823;1.756.876;9.799.073;2.213.767;506.339;409.049;63;14.807.990;159.501;2.354.314;1.913.081;674.388;210.021;86.996;486.274;5.884.575;0
b3S%;b3S - Cooperativa de Crédito Singulares;dez/13;3,16%;0,21%;2,17%;2,09%;1,88%;1,60%;1,50%;14,34%;1,84%;3,27%;10,35%;11,92%;11,56%;13,49%;20,13%;53,69%;11,28%;0,34%;1,48%;1,63%;1,86%;2,70%;7,12%;0,00%;1,75%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,28%;0,39%;0,02%;0,13%;0,97%;0,03%;12,50%;0,30%;6,42%;15,05%;15,99%;6,05%;2,33%;1,78%;0,00%;9,40%;2,41%;8,47%;8,82%;4,27%;3,65%;2,66%;62,40%;7,20%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;dez/13;759;0;0;188;117;0;0;0;306;0;200;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;152;0;0;0;253;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/13;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;dez/13;3.627.703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.827;84.642;382.203;879.363;751.335;1.430.347;744;3.544.460;464;3.656;22.787;25.876;15.666;14.671;123;83.243;0
b4%;b4 - Banco de Desenvolvimento;dez/13;0,28%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,83%;0,73%;0,62%;2,40%;3,46%;6,23%;0,05%;2,25%;0,01%;0,01%;0,11%;0,16%;0,27%;0,45%;0,02%;0,10%;0,00%
n1;n1 - Não Bancário de Crédito;dez/13;13.895.947;10.467;53.734;118.510;146.679;54.318;8.394;0;392.102;772.814;1.531.645;1.057.946;111.907;2.239;181;0;3.476.731;57.987;291.865;667.986;775.002;77.829;2.598;0;1.873.267;6.788;79.182;110.151;216.174;155.433;370.591;75.092;1.013.413;590.893;3.505.713;1.416.389;16.763;1;0;0;5.529.759;10.399;33.058;126.996;300.910;239.273;426.754;94;1.137.482;77.962;166.696;154.532;48.990;12.611;11.531;804;473.126;68
n1%;n1 - Não Bancário de Crédito;dez/13;1,09%;0,14%;0,24%;0,23%;0,16%;0,14%;0,10%;0,00%;0,18%;12,71%;7,50%;3,23%;0,33%;0,03%;0,01%;0,00%;3,38%;1,24%;1,08%;1,02%;0,85%;0,67%;4,60%;0,00%;0,93%;0,42%;0,74%;0,40%;0,34%;0,31%;0,28%;0,14%;0,30%;4,72%;3,46%;4,81%;1,14%;0,00%;0,00%;0,00%;3,82%;0,54%;0,28%;0,21%;0,82%;1,10%;1,86%;0,01%;0,72%;1,18%;0,60%;0,71%;0,31%;0,22%;0,35%;0,10%;0,58%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;dez/13;12.196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.897;0;0;0;0;0;8.299;12.196;0
n2%;n2 - Não Bancário de Mercado de Capitais;dez/13;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,06%;0,00%;0,00%;0,00%;0,00%;0,00%;1,06%;0,01%;0,00%
C;C - Conglomerado;dez/13;819.630.091;1.753.831;15.470.754;40.397.620;72.178.171;28.805.234;5.595.972;6.653;164.208.235;3.659.306;15.262.447;24.960.889;26.461.853;6.227.903;1.757.087;3.418;78.332.904;3.876.221;22.644.299;54.955.217;76.131.012;9.264.680;22.322;4.803;166.898.554;149.014;1.856.189;4.473.322;10.081.956;8.461.382;29.573.302;19.946.209;74.541.374;10.739.267;91.548.039;26.711.013;1.321.600;190.726;39.399;2.696;130.552.739;1.195.161;8.853.255;46.522.353;28.760.365;17.449.010;18.135.851;1.493.348;122.409.343;4.526.115;19.493.256;13.431.089;11.548.320;3.622.775;1.285.423;151.920;54.058.898;28.628.042
