cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;dez/12;472.897.785;3.798.407;8.735.892;17.970.282;36.117.365;18.487.858;5.712.205;652;90.822.661;1.665.785;4.575.095;9.412.385;12.435.737;4.238.475;1.362.047;3;33.689.526;123.448;1.470.936;3.880.936;6.334.979;1.507.874;642;0;13.318.814;1.390.662;7.861.617;19.783.601;51.007.060;46.284.426;74.819.695;8.217.914;209.364.975;1.480.826;17.632.852;3.010.054;119.179;179;1;0;22.243.092;1.102.427;6.702.825;30.420.002;18.601.784;12.576.476;13.076.301;986.646;83.466.462;1.669.176;6.290.066;6.037.957;4.002.116;1.395.731;484.089;113.121;19.992.256;0
1%;1 - Público;dez/12;43,26%;74,28%;45,86%;40,71%;45,33%;56,48%;83,61%;9,99%;48,42%;25,39%;25,14%;31,30%;37,62%;54,54%;65,99%;0,05%;34,47%;2,45%;5,52%;6,04%;6,51%;9,61%;2,39%;0,00%;6,37%;91,41%;85,07%;85,70%;87,87%;89,27%;80,95%;44,34%;82,20%;11,85%;19,77%;12,46%;10,82%;0,17%;0,00%;0,00%;17,50%;74,23%;65,28%;60,36%;66,45%;74,00%;81,45%;99,96%;67,21%;23,56%;26,03%;32,53%;27,10%;29,23%;36,23%;18,79%;28,04%;0,00%
2;2 - Privado Nacional;dez/12;429.135.358;778.820;8.232.684;20.932.999;35.177.971;11.504.876;717.414;256;77.345.022;2.322.261;10.028.477;14.271.940;13.287.737;2.307.680;599.419;2.715;42.820.228;3.905.225;17.192.096;41.191.953;63.847.837;9.793.442;17.598;6.368;135.954.520;102.400;760.103;1.846.936;3.937.585;3.408.413;11.557.825;7.978.544;29.591.806;7.484.234;48.775.148;16.026.462;229.649;4.463;532;71;72.520.559;180.409;2.737.062;14.239.911;5.231.926;2.394.995;2.202.043;245;26.986.591;2.786.938;12.507.622;7.904.786;7.264.128;1.896.788;421.814;468.718;33.250.795;10.665.837
2%;2 - Privado Nacional;dez/12;39,26%;15,23%;43,22%;47,42%;44,15%;35,15%;10,50%;3,92%;41,24%;35,39%;55,11%;47,46%;40,19%;29,69%;29,04%;40,28%;43,81%;77,37%;64,52%;64,14%;65,62%;62,44%;65,67%;58,38%;65,07%;6,73%;8,23%;8,00%;6,78%;6,57%;12,51%;43,05%;11,62%;59,90%;54,67%;66,32%;20,84%;4,27%;1,40%;2,89%;57,05%;12,15%;26,66%;28,25%;18,69%;14,09%;13,72%;0,02%;21,73%;39,34%;51,77%;42,58%;49,19%;39,73%;31,57%;77,87%;46,64%;49,22%
3;3 - Privado com Controle Estrangeiro;dez/12;191.137.930;536.726;2.079.946;5.241.799;8.380.563;2.739.151;401.965;5.620;19.385.771;2.573.338;3.593.702;6.388.833;7.334.896;1.225.563;102.437;4.022;21.222.791;1.018.848;7.981.842;19.148.785;27.109.193;4.382.792;8.558;4.540;59.654.557;28.332;619.361;1.453.227;3.101.113;2.156.003;6.044.873;2.337.914;15.740.823;3.530.350;22.801.296;5.127.097;752.882;99.964;37.441;2.389;32.351.420;202.305;828.086;5.741.186;4.158.761;2.024.611;776.477;124;13.731.550;2.627.739;5.363.486;4.619.805;3.501.818;1.482.100;430.076;20.114;18.045.138;11.005.881
3%;3 - Privado com Controle Estrangeiro;dez/12;17,48%;10,50%;10,92%;11,87%;10,52%;8,37%;5,88%;86,09%;10,34%;39,22%;19,75%;21,24%;22,19%;15,77%;4,96%;59,67%;21,72%;20,19%;29,96%;29,82%;27,86%;27,94%;31,94%;41,62%;28,55%;1,86%;6,70%;6,30%;5,34%;4,16%;6,54%;12,61%;6,18%;28,25%;25,56%;21,22%;68,34%;95,56%;98,60%;97,11%;25,45%;13,62%;8,06%;11,39%;14,86%;11,91%;4,84%;0,01%;11,06%;37,09%;22,20%;24,89%;23,71%;31,04%;32,19%;3,34%;25,31%;50,78%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/12;1.016.228.653;5.091.170;18.555.014;43.049.494;77.987.196;32.156.176;6.745.768;6.303;183.591.121;5.763.721;15.116.195;25.768.754;29.625.562;6.952.245;1.757.405;3.495;84.987.378;4.778.875;23.264.201;56.051.011;86.014.112;13.764.400;21.867;10.909;183.905.375;1.512.028;9.159.476;22.945.600;57.753.385;51.696.294;92.050.701;18.467.976;253.585.461;11.525.514;84.468.249;22.765.794;1.040.687;100.901;37.483;2.389;119.941.016;1.289.559;8.534.036;40.558.353;23.264.748;14.728.459;14.057.186;986.750;103.419.091;6.736.316;21.695.207;16.696.382;14.039.276;4.555.714;1.255.660;149.063;65.127.618;21.671.592
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/12;92,96%;99,55%;97,41%;97,52%;97,88%;98,24%;98,74%;96,55%;97,89%;87,84%;83,07%;85,69%;89,62%;89,46%;85,15%;51,85%;86,96%;94,68%;87,31%;87,28%;88,41%;87,76%;81,60%;100,00%;88,02%;99,38%;99,12%;99,40%;99,50%;99,71%;99,60%;99,64%;99,56%;92,24%;94,69%;94,22%;94,46%;96,46%;98,71%;97,11%;94,36%;86,83%;83,11%;80,47%;83,11%;86,66%;87,56%;99,97%;83,28%;95,09%;89,79%;89,95%;95,07%;95,42%;93,99%;24,76%;91,36%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/12;29.171.672;1.266;9.249;19.470;19.809;1.640;0;0;51.434;1.545;14.302;34.892;42.950;4.902;8;0;98.599;201.027;2.820.359;6.791.603;9.317.331;1.602.246;2.304;0;20.734.869;364;520;621;1.664;610;1.108;163;5.050;444.966;1.531.759;676.083;48.682;0;0;0;2.701.490;88.901;257.639;1.227.889;2.077.511;1.135.440;339.469;0;5.126.849;39.073;80.141;106.482;167.816;58.131;1.737;0;453.381;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/12;2,67%;0,02%;0,05%;0,04%;0,02%;0,01%;0,00%;0,00%;0,03%;0,02%;0,08%;0,12%;0,13%;0,06%;0,00%;0,00%;0,10%;3,98%;10,58%;10,58%;9,58%;10,22%;8,60%;0,00%;9,92%;0,02%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,56%;1,72%;2,80%;4,42%;0,00%;0,00%;0,00%;2,13%;5,99%;2,51%;2,44%;7,42%;6,68%;2,11%;0,00%;4,13%;0,55%;0,33%;0,57%;1,14%;1,22%;0,13%;0,00%;0,64%;0,00%
