cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;dez/12;674.661.467;2.582.305;18.498.137;40.003.632;48.913.484;11.980.582;3.916.029;73.679;125.967.847;499.309;1.943.454;3.917.551;10.154.894;12.931.868;11.042.332;1.056.014;41.545.421;709.273;3.738.878;4.567.613;752.757;62.261;1.215;0;9.831.997;645.188;16.576.855;3.867.112;1.504.636;11.577;0;2;22.605.370;310.065;5.421.047;8.185.040;439.381;3.464.317;3.375.110;0;21.194.960;604.036;3.737.055;1.420.792;1.648.909;1.154.887;513.584;9.269;9.088.533;543.930;13.267.570;41.254.821;87.072.663;59.962.333;122.465.641;34.593.876;359.160.834;116.811;4.999.708;13.736.710;14.920.809;2.154.942;2.268.916;39.438;38.237.334;23.123;663.611;1.222.030;6.060.860;417.936;121.027;11.929;8.520.516
1%;1 - Público;dez/12;45,68%;34,60%;26,41%;35,72%;44,57%;51,18%;55,24%;79,41%;38,19%;37,49%;11,29%;14,94%;29,76%;71,06%;87,77%;65,12%;37,33%;18,00%;10,07%;37,03%;64,30%;26,04%;1,95%;0,00%;17,78%;43,76%;30,02%;33,21%;62,15%;12,70%;0,00%;0,04%;31,88%;41,04%;22,35%;22,23%;4,83%;47,12%;55,25%;0,00%;25,12%;18,10%;23,55%;7,91%;11,54%;24,68%;38,25%;31,10%;15,81%;56,42%;56,44%;56,62%;63,23%;79,48%;94,18%;97,78%;75,47%;79,47%;61,41%;51,96%;89,07%;81,50%;44,80%;99,80%;64,56%;48,65%;29,49%;14,67%;32,38%;9,08%;3,08%;20,33%;22,47%
2;2 - Privado Nacional;dez/12;575.115.815;3.402.801;37.533.084;53.598.177;45.590.275;8.265.593;2.345.125;12.376;150.747.431;537.037;6.637.903;13.318.952;15.882.587;3.722.616;1.055.742;4.808;41.159.645;2.185.122;25.113.418;5.027.696;51.315;17.217;972;383.675;32.779.414;633.602;27.575.280;4.245.884;531.294;61.862;44.933;354;33.093.208;304.150;10.704.656;15.156.509;5.117.728;2.275.692;1.465.259;0;35.023.994;1.709.566;6.565.203;10.501.986;6.848.949;1.992.625;330.451;17.649;27.966.431;184.297;6.585.244;22.107.194;35.502.375;11.157.985;6.886.687;759.407;83.183.190;22.553;2.027.971;9.151.959;1.520.279;355.606;2.757.809;78;15.836.254;20.362;658.543;3.622.553;9.585.158;3.885.885;2.621.733;46.736;20.440.970
2%;2 - Privado Nacional;dez/12;38,94%;45,60%;53,60%;47,86%;41,54%;35,31%;33,08%;13,34%;45,71%;40,33%;38,56%;50,80%;46,55%;20,45%;8,39%;0,30%;36,98%;55,46%;67,65%;40,76%;4,38%;7,20%;1,56%;87,75%;59,27%;42,98%;49,94%;36,46%;21,95%;67,86%;75,56%;5,71%;46,67%;40,26%;44,14%;41,17%;56,28%;30,95%;23,99%;0,00%;41,50%;51,23%;41,37%;58,48%;47,95%;42,59%;24,61%;59,22%;48,64%;19,12%;28,01%;30,34%;25,78%;14,79%;5,30%;2,15%;17,48%;15,34%;24,91%;34,62%;9,07%;13,45%;54,45%;0,20%;26,74%;42,84%;29,26%;43,49%;51,22%;84,44%;66,82%;79,67%;53,90%
3;3 - Privado com Controle Estrangeiro;dez/12;227.261.606;1.477.612;13.999.058;18.386.088;15.237.545;3.163.121;827.661;6.728;53.097.813;295.375;8.634.778;8.980.310;8.083.404;1.545.270;483.156;560.848;28.583.141;1.045.361;8.271.771;2.738.990;366.552;159.608;60.023;53.553;12.695.858;195.485;11.062.593;3.530.832;384.860;17.729;14.535;5.844;15.211.878;141.234;8.124.226;13.472.704;3.536.019;1.612.124;1.267.932;16.131;28.170.370;1.023.649;5.566.252;6.033.967;5.784.628;1.531.417;498.825;2.887;20.441.625;235.850;3.655.902;9.504.605;15.136.330;4.327.579;688.127;26.937;33.575.330;7.622;1.114.113;3.547.948;311.573;133.587;37.951;0;5.152.794;4.045;928.387;3.484.725;3.069.086;297.937;1.180.634;0;8.964.813
3%;3 - Privado com Controle Estrangeiro;dez/12;15,39%;19,80%;19,99%;16,42%;13,88%;13,51%;11,68%;7,25%;16,10%;22,18%;50,16%;34,25%;23,69%;8,49%;3,84%;34,58%;25,68%;26,53%;22,28%;22,21%;31,31%;66,76%;96,49%;12,25%;22,96%;13,26%;20,04%;30,32%;15,90%;19,45%;24,44%;94,25%;21,45%;18,70%;33,50%;36,60%;38,89%;21,93%;20,76%;100,00%;33,38%;30,67%;35,08%;33,60%;40,50%;32,73%;37,15%;9,69%;35,55%;24,46%;15,55%;13,04%;10,99%;5,74%;0,53%;0,08%;7,05%;5,19%;13,68%;13,42%;1,86%;5,05%;0,75%;0,00%;8,70%;8,51%;41,25%;41,84%;16,40%;6,47%;30,09%;0,00%;23,64%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/12;1.147.303.924;7.289.025;67.677.330;107.915.678;106.755.302;22.465.430;6.800.430;90.090;318.993.286;1.126.860;11.188.345;19.920.744;27.673.638;16.485.638;12.149.084;1.606.445;90.150.753;3.912.621;36.450.678;11.464.578;1.162.897;237.869;61.238;52.775;53.342.656;1.396.309;51.084.852;9.535.164;2.402.195;90.872;59.468;6.170;64.575.031;755.449;24.246.029;36.757.666;9.027.045;7.342.313;6.108.300;3.572;84.240.375;3.269.058;14.533.372;16.909.376;13.954.846;4.574.383;1.258.546;22.198;54.521.778;718.534;13.780.414;43.730.573;69.892.533;25.543.791;30.509.014;8.949.725;193.124.583;138.440;7.931.403;25.907.922;15.831.182;1.980.518;4.125.742;39.516;55.954.723;47.517;2.250.516;8.142.673;18.714.993;4.601.666;3.923.375;58.665;37.739.405
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/12;77,68%;97,67%;96,64%;96,36%;97,28%;95,97%;95,93%;97,10%;96,72%;84,62%;64,99%;75,98%;81,10%;90,58%;96,57%;99,06%;81,01%;99,31%;98,19%;92,95%;99,34%;99,49%;98,44%;12,07%;96,45%;94,71%;92,52%;81,89%;99,23%;99,68%;100,00%;99,51%;91,07%;100,00%;99,98%;99,85%;99,27%;99,87%;100,00%;22,14%;99,82%;97,96%;91,59%;94,17%;97,71%;97,77%;93,72%;74,48%;94,83%;74,53%;58,62%;60,01%;50,75%;33,86%;23,46%;25,30%;40,58%;94,19%;97,42%;98,00%;94,50%;74,90%;81,46%;100,00%;94,48%;99,97%;100,00%;97,76%;100,00%;100,00%;100,00%;100,00%;99,51%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/12;47.529.518;29.199;810.537;907.395;628.251;414.764;17.491;0;2.807.637;140.362;5.257.068;4.820.335;3.838.760;746.659;38.731;0;14.841.916;0;0;0;0;0;0;0;0;24.236;2.155.882;1.868.664;5.493;135;0;0;4.054.410;0;3.899;56.587;64.956;8.429;0;12.559;146.431;18.715;1.097.875;700.259;118.590;42.790;2.635;0;1.980.864;158.947;2.405.561;6.355.751;10.837.835;3.252.993;275.642;26.466;23.313.195;3.679;22.218;69.856;119.691;54.644;14.395;0;284.484;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/12;3,22%;0,39%;1,16%;0,81%;0,57%;1,77%;0,25%;0,00%;0,85%;10,54%;30,54%;18,39%;11,25%;4,10%;0,31%;0,00%;13,34%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,64%;3,90%;16,05%;0,23%;0,15%;0,00%;0,00%;5,72%;0,00%;0,02%;0,15%;0,71%;0,11%;0,00%;77,86%;0,17%;0,56%;6,92%;3,90%;0,83%;0,91%;0,20%;0,00%;3,45%;16,49%;10,23%;8,72%;7,87%;4,31%;0,21%;0,07%;4,90%;2,50%;0,27%;0,26%;0,71%;2,07%;0,28%;0,00%;0,48%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b3S;b3S - Cooperativa de Crédito Singulares;dez/12;13.086.330;91.403;1.150.801;2.230.129;1.967.158;457.565;160.858;2.692;6.060.607;8.437;196.744;507.013;788.805;231.492;92.239;594;1.825.324;27.122;663.110;833.171;7.725;1.217;972;384.453;1.917.770;44.981;1.895.242;205.281;2.519;151;0;31;2.148.203;0;0;0;0;0;0;0;0;42.935;197.911;288.800;135.361;36.188;29.803;7.420;738.417;5.352;39.223;30.263;33.963;8.589;326;0;117.715;1.117;45.448;179.958;48.248;1.986;1.536;0;278.293;0;0;0;0;0;0;0;0
b3S%;b3S - Cooperativa de Crédito Singulares;dez/12;0,89%;1,22%;1,64%;1,99%;1,79%;1,95%;2,27%;2,90%;1,84%;0,63%;1,14%;1,93%;2,31%;1,27%;0,73%;0,04%;1,64%;0,69%;1,79%;6,75%;0,66%;0,51%;1,56%;87,93%;3,47%;3,05%;3,43%;1,76%;0,10%;0,17%;0,00%;0,49%;3,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,29%;1,25%;1,61%;0,95%;0,77%;2,22%;24,89%;1,28%;0,56%;0,17%;0,04%;0,02%;0,01%;0,00%;0,00%;0,02%;0,76%;0,56%;0,68%;0,29%;0,08%;0,03%;0,00%;0,47%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;dez/12;835.693;13;113.504;518.670;61.988;24.135;355;0;718.664;0;1.097;2.934;6.557;282;0;0;10.869;0;6.185;36.531;0;0;0;0;42.716;0;794;0;0;0;0;0;794;0;0;0;0;0;0;0;0;197;14.826;25.205;752;0;0;164;41.144;1;3.077;9.127;9.120;172;7;0;21.505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/12;0,06%;0,00%;0,16%;0,46%;0,06%;0,10%;0,01%;0,00%;0,22%;0,00%;0,01%;0,01%;0,02%;0,00%;0,00%;0,00%;0,01%;0,00%;0,02%;0,30%;0,00%;0,00%;0,00%;0,00%;0,08%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,09%;0,14%;0,01%;0,00%;0,00%;0,55%;0,07%;0,00%;0,01%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;dez/12;261.200.922;1.375;42.145;134.967;158.581;32.147;108.000;0;477.215;37.509;30.832;86.363;201.983;151.793;129.440;0;637.921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.127;1.391;0;0;2.517;4.220;7.283;11.231;54.170;22.948;50.071;0;149.922;68.785;7.194.491;22.475.773;56.183.235;46.268.021;98.822.643;26.394.535;257.407.482;3.207;139.830;270.433;725.299;577.184;809.912;0;2.525.864;0;0;0;0;0;0;0;0
b4%;b4 - Banco de Desenvolvimento;dez/12;17,68%;0,02%;0,06%;0,12%;0,14%;0,14%;1,52%;0,00%;0,14%;2,82%;0,18%;0,33%;0,59%;0,83%;1,03%;0,00%;0,57%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,02%;0,00%;0,00%;0,00%;0,13%;0,05%;0,06%;0,38%;0,49%;3,73%;0,00%;0,26%;7,13%;30,60%;30,85%;40,80%;61,32%;75,99%;74,60%;54,09%;2,18%;1,72%;1,02%;4,33%;21,83%;15,99%;0,00%;4,26%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n1;n1 - Não Bancário de Crédito;dez/12;7.081.769;51.703;235.963;281.056;170.024;15.255;1.680;0;755.682;18.553;542.050;879.422;1.611.142;583.889;171.738;14.630;3.821.424;12;4.093;19;2;0;0;0;4.127;8.749;77.957;34.718;10.583;10;0;0;132.018;0;0;0;0;0;0;0;0;2.127;16.536;21.875;18.767;2.620;1.806;0;63.732;12.458;85.950;265.134;754.681;374.332;432.823;9.495;1.934.874;542;2.893;8.448;28.240;29.802;113.091;0;183.018;12;24;186.635;112;92;18;0;186.894
n1%;n1 - Não Bancário de Crédito;dez/12;0,48%;0,69%;0,34%;0,25%;0,15%;0,07%;0,02%;0,00%;0,23%;1,39%;3,15%;3,35%;4,72%;3,21%;1,37%;0,90%;3,43%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,59%;0,14%;0,30%;0,44%;0,01%;0,00%;0,00%;0,19%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,06%;0,10%;0,12%;0,13%;0,06%;0,13%;0,00%;0,11%;1,29%;0,37%;0,36%;0,55%;0,50%;0,33%;0,03%;0,41%;0,37%;0,04%;0,03%;0,17%;1,13%;2,23%;0,00%;0,31%;0,03%;0,00%;2,24%;0,00%;0,00%;0,00%;0,00%;0,49%
