Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/03/2013;289576563;26309164;47852261;77862974;100918672;34940;36598551
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/03/2013;251653266;24094553;160537;2458763;224939413;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/03/2013;227527659;14554960;14924600;58068464;65450381;61300;74467955
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/03/2013;212093379;45684479;28893354;66035036;12923319;79256;58477935
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/03/2013;107224610;13008859;21068567;13413410;59706788;26985;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/03/2013;97392372;9185032;16063923;46577285;17097860;25064;8443208
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/03/2013;41015897;809671;1493182;17271083;15273570;1103;6167287
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/03/2013;38929509;3138589;3204451;12673000;13124952;12042;6776474
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/03/2013;19874363;2490482;1600201;5917213;7870990;159;1995318
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/03/2013;13209398;1703167;4249894;3177231;4078395;710;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/03/2013;11756324;951171;1140923;5510630;4082618;6426;64555
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/03/2013;11093559;393849;496701;6334690;3212943;17;655359
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/03/2013;10550748;201763;720127;1645487;7982978;392;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/03/2013;8968231;653979;63125;1341892;5540333;0;1368902
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/03/2013;8780450;673942;1383079;5709690;1013734;4;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/03/2013;8361627;543415;463704;4338633;3015672;205;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/03/2013;8344810;647214;876816;4281022;1233764;15;1305979
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/03/2013;6176836;238589;160845;2737667;3038976;759;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/03/2013;6079413;357546;823055;1320972;3577836;3;0
FIBRA;49951;b1;C;2;;199;SAO PAULO;SP;01/03/2013;5817774;1002942;1964328;1066127;37337;417;1746624
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/03/2013;4936977;41396;3221;83788;671733;0;4136838
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/03/2013;4909870;183678;451507;1761504;2513097;84;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/03/2013;4827142;1059724;1846651;1737908;182857;2;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/03/2013;4767896;513155;1015400;1001873;1933767;0;303700
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/03/2013;4267654;210225;241399;675107;3140413;510;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/03/2013;4117947;133129;224617;1596433;2160326;3442;0
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/03/2013;4055461;97329;97168;2406132;1452937;110;1786
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/03/2013;3336656;72;1179580;452579;1409340;0;295085
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/03/2013;3164089;10958;37342;40677;3075112;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/03/2013;3116775;72982;776941;1917621;349229;1;0
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/03/2013;2805477;180931;1023167;1007938;593429;12;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/03/2013;2800223;71410;539159;627879;1561773;2;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/03/2013;2658337;2334;12012;721169;1356395;0;566426
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/03/2013;2509693;25067;8976;285885;2189763;1;0
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;01/03/2013;2463397;194844;45107;974371;1145650;0;103425
BANCO CNH CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/03/2013;2246664;686189;216462;823347;520666;0;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/03/2013;1802932;196135;1517486;5932;83380;0;0
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/03/2013;1711206;77365;261902;1225548;145991;400;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/03/2013;1674233;16765;93821;86966;1476589;92;0
