Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/03/2013;485721995;147200279;109272438;140942086;24819862;8536716;3906356;1467715;1729678;11248314;36598551
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/03/2013;387713654;105416338;118696046;25966357;18974850;9950216;3604581;3191040;2606658;13804730;85502838
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/03/2013;383530305;40533924;184062465;54506041;70778848;13562242;4671932;1748198;1255585;12411068;0
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/03/2013;325730877;37823191;108732027;41578850;54458075;7298334;2713550;2155878;1750259;10620165;58600548
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/03/2013;251653948;90957773;119900501;31915374;7769266;217370;628994;19379;55153;190139;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/03/2013;210750261;34261510;103006975;18405279;13821366;5187776;2290629;3613405;1554641;9006924;19601756
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/03/2013;62758816;6007672;32608194;9379134;6367050;1705851;1145232;577472;506982;2465910;1995318
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/03/2013;58487798;22478838;18220549;4824400;1968793;742091;369855;423092;462772;2220929;6776478
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/03/2013;48465374;27032647;9297291;2790222;1234673;369057;259627;208288;174635;928905;6170028
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;01/03/2013;23369176;0;21125470;817622;290637;209853;112182;126037;80724;606652;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/03/2013;23243405;3402653;10613103;4437768;1787640;1101877;432448;603996;114531;684834;64555
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/03/2013;22628068;4786006;9199975;3612251;1666059;1137762;424056;304972;237067;1259920;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/03/2013;21367269;416823;14794808;2729977;1926966;393449;208930;163352;112577;620387;0
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/03/2013;12600108;599648;7938280;1698536;751577;302837;176928;168709;159235;804356;0
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/03/2013;12047750;4605176;3847948;1289244;763219;339298;217733;80756;141714;107303;655359
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/03/2013;11445143;3269010;4400489;2283027;226951;135149;144811;278874;118465;588367;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/03/2013;9724888;1562449;3381283;2701871;318167;101921;84420;38732;25154;57714;1453176
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/03/2013;9447314;12466;3298754;5467994;243865;200785;41675;27404;29008;125364;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/03/2013;9207052;2432134;4969021;695470;271026;292151;180275;80541;58224;228210;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/03/2013;9202651;8541888;506233;43418;68724;21088;15073;1915;0;4312;0
FIBRA;49951;b1;C;2;;199;SAO PAULO;SP;01/03/2013;9190904;337061;4246317;1956871;346246;164065;72815;54551;63140;203215;1746624
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/03/2013;8626441;353971;2693354;3133297;963063;97496;13414;18242;10763;36765;1306077
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/03/2013;8328779;1058564;5328933;1743545;148301;11077;7018;6291;4430;20620;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/03/2013;8209177;3076161;3821274;591812;352147;93345;52646;26945;107790;87056;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/03/2013;7798461;9756;6812631;262908;521560;48125;37118;32975;28303;45085;0
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/03/2013;7267314;25989;3190727;3230846;263822;129258;91039;63656;34103;236089;1786
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/03/2013;6933521;913916;1987250;3429495;153544;55669;31162;20405;8801;38193;295085
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/03/2013;6640383;3723732;1422079;571857;377525;209217;97857;37845;29308;170964;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/03/2013;5820236;1109214;4013290;287681;100859;63106;43293;46090;31427;125275;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/03/2013;5608776;3643928;1757018;141734;29325;6761;4917;2552;1803;20738;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/03/2013;5223358;0;3888848;492021;424762;133849;49944;41794;22581;169558;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/03/2013;5211692;105499;513030;408718;1654;0;19268;0;0;26685;4136838
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/03/2013;5017131;1427936;2254998;995725;181743;54852;13351;8688;10190;69648;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/03/2013;4986415;917388;1473858;1576515;458378;77787;3038;25508;54328;93464;306150
BANCO CNH CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/03/2013;4285216;223086;1438249;1161424;936369;251166;18857;44173;14819;197074;0
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/03/2013;3642041;1900138;963720;312863;201753;120052;25155;14382;24756;79223;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/03/2013;3453717;79023;2245277;733666;293986;46785;17375;7436;17035;13136;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/03/2013;3340506;502113;1028263;1167909;486555;53614;34328;14890;14550;38284;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/03/2013;3190303;651226;1134089;716187;543959;57614;17384;19694;5462;44689;0
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/03/2013;3187777;485965;1986112;250212;96680;62366;38325;30849;28079;209189;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/03/2013;2988286;1268409;504973;485229;498945;132186;27874;20322;3372;46976;0
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/03/2013;2772474;0;2150348;90029;75181;84079;57536;47588;39717;227997;0
TOYOTA;51334;b2;C;3;;198;SAO PAULO;SP;01/03/2013;2688425;283506;1765983;318797;215445;66210;9164;5376;5748;18196;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/03/2013;2659120;1531840;109742;308426;44963;97723;0;0;0;0;566426
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/03/2013;2625067;33;2157533;120960;102711;77020;25066;42383;11788;87573;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/03/2013;2575930;563234;1082292;687311;125454;53917;16543;10099;9031;28048;0
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;01/03/2013;2517792;43892;984300;850730;307164;49044;108240;42840;4498;23660;103425
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/03/2013;2509693;1344034;571653;229652;112454;211721;16693;6448;489;16549;0
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/03/2013;2506530;0;1935474;404087;65591;19319;14893;14145;8801;44220;0
