Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/03/2013;289576563;1157860;11540073;23745591;24811151;6225786;2141153;0;69621614;26300;1884245;2314364;9815512;14233856;9389029;1650455;39313761;119007;2266058;958892;645869;0;0;0;3989825;573008;13177898;3452772;1349906;9971;0;481;18564036;297300;5163853;6954154;347710;64215;1258;0;12828491;287618;2719401;735138;1133114;692333;184519;2019;5754141;328510;5744178;13789553;24425073;8926851;9944835;3278693;66437693;65461;6705020;10966212;14455941;1535260;1233069;36965;34997927;0;25972;309437;1067714;59582;6694;1125;1470524;36598551
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/03/2013;251653266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55967;8583589;22646642;56610863;46422924;103592237;13741043;251653266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/03/2013;227527659;1032693;11597011;15954280;12979362;1670256;452131;9391;43695124;169192;1487038;3991274;5692634;1398603;557626;0;13296367;1133718;11184405;622033;0;0;0;0;12940156;193368;9218361;1730587;46094;1243;0;0;11189652;59254;3369035;3165462;2833621;468309;186069;0;10081751;777677;2345954;2371691;2942152;656560;127648;147;9221829;118515;4309081;7534369;16360500;5399422;3748989;296596;37767472;8445;1947902;3780389;613222;177952;296118;0;6824027;30413;627446;2425020;3711113;392747;855395;1192;8043325;74467955
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/03/2013;212093379;566702;9442102;14896867;15250148;3700476;1172345;0;45028640;219984;2306797;4641561;5274287;801290;35251;28;13279198;494600;8449125;2920452;3143;0;0;0;11867320;321214;9344887;1091044;4291;0;0;0;10761436;44818;3163848;5542760;5022778;1202894;383209;0;15360307;717692;1931994;1989017;2191943;774461;119558;76;7724741;54669;4167302;6938864;12874042;4410732;2665111;438036;31548756;10753;485749;1958685;266968;66053;2250849;0;5039057;15231;145610;1135460;6125835;3501814;2039869;42170;13005989;58477935
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/03/2013;107224610;1936232;38531723;3122017;5002701;610769;227458;0;49430900;591061;2181514;114924;206600;70199;5121;0;3169419;404012;907722;3030407;48125;38634;0;0;4428900;54960;1285279;83808;0;0;0;0;1424047;0;3947;76121;450341;3016326;3419943;0;6966677;102786;455200;183944;10054;8;0;0;751992;247539;2292635;2873664;6014541;4331492;13222993;5289193;34272057;0;0;0;0;0;0;0;0;14372;809851;1084053;4462215;281266;118014;10847;6780618;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/03/2013;97392372;1325739;7276919;10505103;10273925;2014393;668210;49160;32113449;120240;2251790;2423422;2285077;432690;630447;457644;8601310;869441;5646295;1439485;346736;157687;53534;1941;8515120;128590;3585759;486385;303303;13714;5476;668;4523894;82062;3054556;3260177;3369491;1094276;163284;0;11023846;1068372;2151544;1860848;2621713;700147;275784;2270;8680677;43651;480123;1417420;2467603;728569;325608;476;5463450;33;493602;1620515;210239;12361;6579;0;2343329;22213;773760;2553094;2901364;223442;1210216;0;7684089;8443208
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/03/2013;41015897;298173;5077618;3930131;3558494;840946;96242;0;13801603;43083;1590243;1669822;1559080;653100;178199;0;5693526;70737;1786927;50429;187;0;0;0;1908279;4439;1899272;434700;166207;4913;64;0;2509596;3276;824254;617034;76868;934;0;0;1522365;7227;83701;36643;3365;0;0;0;130937;54836;886866;2336083;3954116;899899;235292;0;8367093;354;337534;433693;28668;927;1200;0;802376;118;519;12670;99529;0;0;0;112835;6167287
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/03/2013;38929509;210613;3786041;4180597;2978713;600754;58265;0;11814983;10036;203561;463848;574217;73103;221;0;1324987;115466;1768673;734038;11;91;0;0;2618279;68214;2053510;291810;34079;26;0;0;2447637;57949;1997193;2643663;1604023;415911;146859;8652;6874251;40024;122096;88248;92183;48823;23941;562;415878;6251;866487;837516;1158994;266669;48593;0;3184510;5059;680945;1355727;138787;12180;1253;0;2193952;6769;276521;613255;381359;654;0;0;1278557;6776474
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/03/2013;19874363;180176;1724592;2091533;2422976;422197;187442;0;7028918;52571;299176;623783;967425;176584;538;49;2120126;4797;77139;19469;0;0;0;0;101404;3458;101703;7938;0;0;0;0;113099;51358;598416;875335;694588;493052;775218;0;3487967;210;25849;73419;8556;372;0;0;108407;6151;743688;973108;1565075;622835;579812;22139;4512807;1180;78878;247348;68874;6564;3473;0;406316;0;0;0;0;0;0;0;0;1995318
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/03/2013;13209398;2683;37081;106029;73944;21612;43;0;241392;25024;491415;723499;692118;80064;146;0;2012266;0;0;0;0;0;0;0;0;8628;1835415;424074;136;0;0;0;2268253;0;0;0;0;0;0;0;0;32;48896;12903;3737;3593;571;0;69732;81116;956019;2463212;3944547;1157669;15192;0;8617755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
