Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;mar/13;12.713.634;88.035.551
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;mar/13;16.301.875;94.138.148
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;mar/13;325.022;478.135
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;mar/13;77;149
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;mar/13;927.917;1.955.975
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;mar/13;39.062;66.091
BANESTES;30159;b1;C;1;;199;VITORIA;ES;mar/13;165.316;521.913
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;mar/13;1.078.346;4.397.166
BBM;30207;b1;C;2;;199;SALVADOR;BA;mar/13;2.447;8.600
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;mar/13;3.508.492;10.230.842
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;mar/13;8.250.772;31.269.748
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;mar/13;2.163.098;20.059.416
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;mar/13;81;319
H.H.PICCHIONI;30829;n2;C;2;;196;BELO HORIZONTE;MG;mar/13;4;4
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;mar/13;254.977;839.674
RURAL;31244;b1;C;2;;199;BELO HORIZONTE;MG;mar/13;73.222;230.384
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;mar/13;899.542;3.099.603
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;mar/13;373.440;614.777
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;mar/13;24.509;78.385
BRB;31976;b1;C;1;;199;BRASILIA;DF;mar/13;172.282;898.301
BIC;32119;b1;C;2;;199;SAO PAULO;SP;mar/13;95.887;195.922
PERNAMBUCANAS;40699;n1;C;2;;197;SAO PAULO;SP;mar/13;509.994;7.382.066
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;mar/13;1.652;10.618
BB;49906;b1;C;1;;199;BRASILIA;DF;mar/13;10.322.485;42.374.199
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;mar/13;285;576
FIBRA;49951;b1;C;2;;199;SAO PAULO;SP;mar/13;445.100;2.028.015
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;mar/13;6.883;16.158
FATOR;50122;b1;C;2;;199;SAO PAULO;SP;mar/13;13;47
MÁXIMA;50201;b1;C;2;;199;RIO DE JANEIRO;RJ;mar/13;0;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;mar/13;4.937;22.943
SOCOPA;50328;b1;C;2;;199;SAO PAULO;SP;mar/13;895;1.459
INTERCAP;50476;b1;C;2;;199;SAO PAULO;SP;mar/13;224;5.234
VR;50524;b1;C;2;;199;BARUERI;SP;mar/13;0;0
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;mar/13;884;2.248
UNILETRA;50593;n1;C;2;;197;VITORIA;ES;mar/13;7.845;55.582
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;mar/13;574.507;1.063.839
SANTINVEST;50816;n1;C;2;;197;FLORIANOPOLIS;SC;mar/13;5.618;58.005
BRASCAN;50885;b1;C;3;;199;RIO DE JANEIRO;RJ;mar/13;0;0
OMNI;50940;n1;C;2;;197;SAO PAULO;SP;mar/13;131.037;1.196.233
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;mar/13;45.086;125.550
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;mar/13;4.379.738;7.347.156
OBOE;51035;n1;I;2;;197;FORTALEZA;CE;mar/13;0;0
CREDIT AGRICOLE;51066;b1;C;3;;199;SAO PAULO;SP;mar/13;24;77
ING;51073;b1;C;3;;199;SAO PAULO;SP;mar/13;25;106
OPPORTUNITY;51107;b1;C;2;;199;RIO DE JANEIRO;RJ;mar/13;0;0
HSBC;51152;b1;C;3;;199;CURITIBA;PR;mar/13;2.145.613;12.388.479
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;mar/13;114;20.892
CM CAPITAL MARKETS;51248;n2;C;3;;196;SAO PAULO;SP;mar/13;0;0
BOFA MERRILL LYNCH;51255;b1;C;3;;199;SAO PAULO;SP;mar/13;14;39
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;mar/13;30.627;64.247
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;mar/13;168.411;326.299
TOYOTA;51334;b2;C;3;;198;SAO PAULO;SP;mar/13;70.277;82.893
PLANNER;51341;n1;C;2;;197;SAO PAULO;SP;mar/13;0;0
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;mar/13;60.537;113.486
BONCRED;51389;n1;C;2;;197;NOVO HAMBURGO;RS;mar/13;26;28
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;mar/13;289.635;307.488
MORGAN STANLEY;51413;b1;C;3;;199;SAO PAULO;SP;mar/13;0;0
BMW;51420;n1;C;3;;197;SAO PAULO;SP;mar/13;9.920;13.010
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;mar/13;519.686;1.228.956
RENDIMENTO;51468;b1;C;2;;199;SAO PAULO;SP;mar/13;3.468;12.489
BES;51482;b2;C;3;;198;SAO PAULO;SP;mar/13;79;203
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;mar/13;793.479;4.735.203
LECCA;51523;n1;C;2;;197;RIO DE JANEIRO;RJ;mar/13;13.787;62.715
WESTLB;51554;b1;I;3;;199;SAO PAULO;SP;mar/13;25.066;78.581
