Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/03/2015;390960765;1387978;13230525;24778670;31556356;8851960;4104583;62433;83972505;104095;2338023;2545216;10694463;13730410;22478153;5468711;57359072;197533;3355403;971371;518821;0;0;8886;5052015;619640;9870124;2108454;69695;78911;561067;229914;13537805;232915;6189639;8314971;223423;24330;1546;0;14986824;815513;5616629;5696918;12244263;8945275;5741164;72900;39132661;564561;7182619;18857918;26773451;11945406;17971120;8678911;91973987;94266;4904078;7699914;2009139;1214355;2011983;18189;17951925;5179;205987;1200740;3154074;489055;22419;0;5077454;61916517
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/03/2015;371000783;1339691;9277625;14344310;12468606;3472048;878041;6368;41786690;74997;1384694;4380321;5902298;1415768;172529;0;13330606;712976;9444279;406037;0;0;0;0;10563291;153227;11125411;1968912;51839;1414;2;0;13300806;100057;3224060;4415906;3233675;1068497;463436;0;12505631;733856;2866362;2449268;2415594;553389;136178;0;9154648;176962;3652880;10696321;16727160;6514743;5265985;288486;43322539;1043;1946812;4300046;714873;417602;107830;0;7488206;7176;770895;2831340;4968584;633551;976790;17953;10206288;209342078
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/03/2015;353056165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1641712;10971851;33486142;85620937;62539567;134162920;24038983;352462111;0;24102;77805;215439;128122;148586;0;594053;0;0;0;0;0;0;0;0;0
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/03/2015;265705422;959810;8599791;15756901;15253740;2234232;496434;0;43300908;187778;1926708;3948659;3968649;509897;50603;0;10592293;596459;9321353;3028955;2945;51;0;0;12949762;292975;8042750;1136570;402492;290820;0;0;10165607;143208;3837968;7022786;4672005;1086073;660253;0;17422293;984771;2634742;2140313;2387914;776811;158708;11259;9094518;125985;2977615;8450682;13043614;4704358;3575807;409950;33288012;13978;1164015;2867949;214303;1777090;739528;0;6776864;15379;208490;1654394;8166577;4449294;3573244;138893;18206271;103908893
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/03/2015;174662884;3088419;6662695;15895009;25480927;8306680;0;0;59433730;1458305;459711;1155681;2880442;1782732;427;4;7737303;785765;1330319;3788553;35704;19159;0;0;5959500;124774;1211353;92763;0;0;0;0;1428890;10946;862338;1540628;3267990;3777347;3983422;0;13442672;439053;1902077;683000;34941;8703;5984;0;3073758;372099;5332123;7593105;17793207;10694912;24297549;7025296;73108291;0;0;0;0;0;0;0;0;35668;3951266;2964594;2664007;419376;431729;12100;10478739;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/03/2015;133466086;864592;6610700;12559754;8900711;3079172;993718;307997;33316643;87556;893333;1893214;2205924;410948;725774;578737;6795485;321409;4585883;2085636;392071;161860;70238;319;7617416;60041;11197667;3412428;206368;605793;6151;625;15489073;66564;3679163;5112892;2302965;458171;180233;0;11799988;423686;828692;1267473;1669112;587424;256732;52277;5085397;98198;1100981;3642258;5484915;1827504;1636680;0;13790536;8159;698174;1639695;212616;67237;5431;0;2631311;37147;867047;3129965;3392398;241799;1543702;2268;9214326;27725910
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/03/2015;48394785;143455;4567920;4778771;4003079;803859;77014;0;14374098;18723;654859;911076;750095;69373;5898;0;2410025;71665;1707912;105181;13570;0;0;0;1898328;3827;1920622;288669;8672;52;58060;0;2279902;14886;1631658;1804962;803741;908635;785331;0;5949213;11559;78194;30054;10689;21377;21377;0;173250;59419;993537;2375220;2922157;777270;476368;0;7603971;3069;426023;268360;16170;9104;599;0;723324;0;15020;32887;264563;16846;0;0;329315;12653361
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/03/2015;47180130;357284;3085815;3813090;3375932;537161;40193;0;11209475;19867;200848;489561;581327;74325;91;0;1366019;96620;1656230;639138;78400;0;0;3421;2473809;41588;3403998;550342;8874;1233;822;909;4007767;282106;2442403;3954057;1521282;206483;28012;6838;8441182;226405;85760;51449;85678;68238;44140;2009;563679;27222;606896;1146735;1481609;375773;176933;0;3815168;10022;646394;2181249;186407;22076;9255;0;3055404;8054;386493;635117;407526;35742;2773;0;1475705;10771922
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/03/2015;18687036;461611;651723;1123887;1311139;494667;162731;0;4205759;28183;255366;448654;499395;25553;6;0;1257156;0;8943;3000;0;0;0;0;11943;255;24514;1736;0;0;0;0;26505;99828;814235;997229;1094562;1272459;168729;1880;4448922;636275;528884;72042;597;0;0;0;1237799;25373;258505;748365;1120373;587359;681463;658;3422096;1355;64545;178090;67562;32466;6350;0;350367;0;0;0;0;0;0;0;0;3726489
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/03/2015;15733506;275171;1070483;1359284;784467;291225;241802;187479;4209911;0;0;0;0;0;0;0;0;0;12114;15507;0;0;0;0;27621;2002;173788;529950;367107;141679;68292;1058;1283876;57250;628531;807334;1246593;150808;57842;0;2948358;395;4207;10124;22909;18590;48169;0;104393;0;3188;6282;47499;94920;505183;1144070;1801141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5358204
