Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;mar/15;663815559;354858595;82087760;103920239;21733707;4915439;10813228;4194118;2773139;14589628;63929706
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;mar/15;621151936;250007625;164754354;77378171;74390155;25098593;7267218;3323761;2608210;16323849;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;mar/15;574664447;152781674;126144687;24840348;13845997;7614629;3175981;2990030;3330225;11498965;228441911
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;mar/15;405978349;40804431;127123126;63367168;44565970;6283152;3734911;2427168;2031218;10940718;104700489
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;mar/15;353057765;84742453;162791999;93357995;10504249;849021;463918;46492;1132;300506;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;mar/15;257968170;84536853;83274878;17739691;10786632;7428307;3325365;1967190;1809536;6588310;40511408
HSBC;51152;b1;C;3;;199;CURITIBA;PR;mar/15;67511223;27133595;17851634;6095802;968547;591314;425457;676378;502924;2493650;10771922
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;mar/15;55983379;29648217;7719195;3233384;1218454;244130;197586;146311;74470;742383;12759249
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;mar/15;55585696;2714517;26092051;9350982;8309210;1113963;768874;385438;1391061;1733110;3726489
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;mar/15;29820160;5431765;13409514;6016482;1968381;1045145;283731;170278;163726;1097232;233906
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;mar/15;21243745;434668;15133237;2604865;1490963;619878;365671;126900;65917;401647;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;mar/15;18452767;2213016;4282673;2381366;930334;353603;1192785;0;38465;148867;6911659
PAN;31323;b1;C;2;;199;SAO PAULO;SP;mar/15;17889473;0;12286995;2716630;1251940;561050;239918;179655;133595;519690;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;mar/15;17457986;5319802;7256122;1890663;682775;951239;123906;274547;109161;849772;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;mar/15;13765315;13342077;394598;4809;7505;3957;8742;316;1350;1960;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;mar/15;13743280;5005663;4741318;1564610;999798;110355;202078;110462;404786;604211;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;mar/15;13253473;1729755;3262588;7252024;555227;132844;130561;13911;37509;139054;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;mar/15;12804609;386095;2676109;3832848;1181421;154839;129318;13345;1024;28378;4401233
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;mar/15;11566643;5262291;5224521;445680;169708;97370;56072;41467;121271;148264;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;mar/15;11554411;4530;10088629;521127;700834;56555;38000;22854;19858;102023;0
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;mar/15;11397208;2469;5080486;4137147;1485849;266365;61279;84567;37137;228379;13529
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;mar/15;10755031;203186;3658342;5187431;1168725;102702;222957;84635;61831;65221;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;mar/15;9430148;2080947;6266427;445362;178413;80924;81966;51021;40978;204109;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;mar/15;9350369;5776096;3060882;356028;119575;9901;5336;7843;990;13718;0
BRB;31976;b1;C;1;;199;BRASILIA;DF;mar/15;9256382;5826634;998532;1200972;411474;272919;158927;63894;71701;251328;0
BIC;32119;b1;C;3;;199;SAO PAULO;SP;mar/15;9032218;2593904;2197217;600465;914173;571935;347899;328032;197828;579527;701237
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;mar/15;8779662;732777;5171102;1168835;408169;348393;211485;137951;168172;432778;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;mar/15;7835063;0;5175421;1303568;432014;109827;70719;58933;53850;630732;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;mar/15;7654246;1112149;4547723;1731530;186272;29223;6401;4501;4477;31970;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;mar/15;6824157;913125;810551;810934;291745;94051;0;0;0;12799;3890953
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;mar/15;6704466;551768;2684625;1557875;1353621;360369;50297;50228;12328;83355;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;mar/15;6248433;455443;1578807;1827114;792846;135734;46963;27174;92972;15601;1275778
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;mar/15;5912400;123027;3284766;1765384;515061;83282;65049;13698;14625;47507;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;mar/15;5275499;1832065;1264272;905583;969213;196645;20625;21578;9035;56483;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;mar/15;4912566;0;3638999;424132;459492;136510;26127;26173;45671;155462;0
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;mar/15;4377011;80784;686789;2189326;262293;190419;99819;60404;32713;200545;573918
BANESTES;30159;b1;C;1;;199;VITORIA;ES;mar/15;4301120;2137399;1003139;475713;222928;122442;60234;94434;35844;148986;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;mar/15;4274035;1443451;1376039;1018278;251242;55428;16288;15052;9920;88338;0
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;mar/15;4236016;22302;3677704;94223;76582;51175;55109;42135;55411;161376;0
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;mar/15;4230567;0;3283531;132528;114338;120391;94478;81984;67978;335339;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;mar/15;4047095;617606;1130529;1561434;510466;62265;54112;17501;12572;80610;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;mar/15;3991561;2109734;622620;523933;213435;384341;102645;1071;12940;20841;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;mar/15;3791014;372165;2600028;381774;315929;67998;17512;6955;5866;22787;0
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;mar/15;3764057;0;2875379;688322;93196;22581;19979;11652;9679;43269;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;mar/15;3708593;692283;1559442;860295;227585;179181;8209;5124;32361;144113;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;mar/15;3671498;591534;1472573;749140;518472;117574;48970;38824;29857;104554;0
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;mar/15;3665273;1572443;1505951;134482;81381;35203;35357;15937;14759;269760;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;mar/15;3554106;1209751;1577632;597976;27095;63932;16825;14492;7180;39222;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;mar/15;3496375;1875900;212924;164611;0;0;0;0;0;0;1242940
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;mar/15;3231226;2345;1543775;457654;804374;220986;52559;28487;20826;100221;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;mar/15;3132424;NI;2824381;31141;74305;14636;11217;14821;13523;148400;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;mar/15;2835851;948866;172659;254;0;0;0;0;0;0;1714071
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;mar/15;2775758;127965;1254586;906798;119475;83662;40239;5072;6551;29778;201632
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;mar/15;2674476;38480;1099681;1086492;287810;53933;19191;61980;10305;16603;0
ING;51073;b1;C;3;;199;SAO PAULO;SP;mar/15;2381447;2287503;93944;0;0;0;0;0;0;0;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;;14;SAO PAULO;SP;mar/15;2246233;NI;1475042;137141;113327;110474;71944;54398;47710;236197;0
