Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/03/2015;390960765;14134508;57410093;101649816;155822052;27779;61916517
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/03/2015;371000783;5299944;17880614;64827813;73590750;59583;209342078
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/03/2015;353056165;27172950;4751449;22165333;298966433;0;0
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/03/2015;265705422;30590209;30459479;56770707;43894555;81579;103908893
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/03/2015;174662884;36384113;33598407;48647620;56004644;28100;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/03/2015;133466086;7795117;13454813;46168868;38286700;34678;27725910
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/03/2015;48394785;867734;1237878;14243264;19391317;1232;12653361
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/03/2015;47180130;5732713;2376903;12697259;15595031;6302;10771922
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/03/2015;18687036;57120;2946382;2028954;9927808;283;3726489
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/03/2015;15733506;3453750;331717;2988326;3601509;1;5358204
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/03/2015;14732194;604304;1770352;6886460;5229238;7934;233906
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/03/2015;13318155;1445988;4036493;3024092;4810555;1027;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/03/2015;12473141;215821;552893;4116246;3206930;59;4381192
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/03/2015;11997004;1823271;948961;1432936;7791673;164;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/03/2015;10219436;745566;1628389;6446299;1399177;5;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/03/2015;9564950;1372335;1164034;4086667;2941746;168;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/03/2015;9020407;351132;271835;996376;7400083;981;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/03/2015;8396130;549744;591569;3772595;3482212;10;0
BIC;32119;b1;C;3;;199;SAO PAULO;SP;01/03/2015;7833773;551887;840162;3899882;1840602;4;701237
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/03/2015;6717964;402766;519334;5621388;167325;7151;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/03/2015;6192652;85334;30167;555122;1631077;0;3890953
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/03/2015;5939816;500214;147494;1462597;2561170;0;1268339
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/03/2015;5428093;550660;1720014;632054;2525366;0;0
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/03/2015;5357889;214844;187909;2482340;2459133;135;13529
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/03/2015;5094881;139563;471659;2489514;1994140;4;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/03/2015;4606779;115760;813937;1215107;2461926;49;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/03/2015;4419547;420889;1056401;2045227;897012;18;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/03/2015;4190030;506848;1288655;2227975;166547;4;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/03/2015;3991561;3927;18126;377325;3592180;2;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/03/2015;3873989;125576;841761;2414574;492076;2;0
