Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/03/2015;663815559;378908135;47814640;23304768;1744600;331341;106309493;0;34401786;1847260;0;0;1031;3196977;2025821;63929706
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/03/2015;621151936;146461725;392872086;25036842;0;385;36834652;0;0;615011;1643199;0;55;16296555;1391427;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/03/2015;574664447;250670390;37548122;11098681;1869802;7856830;29212375;26521;206916;471328;178416;0;11191;14592;7057372;228441911
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/03/2015;405978349;179925758;38643732;33943691;4890;9997294;28220638;0;650901;3232125;0;0;18548;0;6640283;104700489
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/03/2015;353057765;98783442;12557;221263201;8732761;15911368;0;5883495;0;2138;2468803;0;0;0;0;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/03/2015;257968170;148921224;42590216;3485439;60282;307510;19245074;61998;0;180975;790766;0;16451;14992;1781834;40511408
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/03/2015;67511223;30098719;7065998;511813;82435;7204592;7633501;0;0;95887;85247;0;0;2744197;1216913;10771922
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/03/2015;55983379;24638020;334398;1601893;0;1534503;14841174;26096;0;215843;1917;0;5520;0;24766;12759249
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/03/2015;55585696;41810477;165218;1258812;49189;3100572;4995976;10143;0;0;71472;0;0;0;397347;3726489
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/03/2015;29820160;16896736;4721257;390900;0;1564063;5650438;0;0;39177;0;0;0;98826;224856;233906
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/03/2015;21243745;17430126;0;1172386;0;0;2629565;0;0;0;0;0;0;0;11668;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/03/2015;18452767;2422550;105270;1660794;0;0;6015221;0;0;437561;851672;0;5500;42531;9;6911659
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/03/2015;17889473;13799654;854481;0;0;0;2136956;0;0;444609;0;0;0;416810;236963;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/03/2015;17457986;13594099;912673;203855;0;26703;2623847;0;0;0;0;0;0;0;96810;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/03/2015;13765315;12009507;0;80881;0;1356752;310802;0;0;0;0;0;0;0;7372;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/03/2015;13743280;7151851;41975;1322749;0;2130533;952461;0;17;1960094;0;0;138349;0;45250;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/03/2015;13253473;11684598;305;105472;0;0;1440567;0;0;0;20181;0;0;2349;1;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/03/2015;12804609;3433771;772;251704;0;21101;4206981;19221;0;7881;24555;0;0;437330;62;4401233
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/03/2015;11566643;8298369;5338;2375911;0;0;0;0;0;448850;1453;0;662;435592;468;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/03/2015;11554411;11546549;0;0;0;0;0;0;0;0;0;0;0;0;7861;0
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/03/2015;11397208;6809020;0;16949;0;14491;2377355;1181974;123568;0;0;0;1200;766138;92985;13529
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/03/2015;10755031;9672978;0;1082031;0;0;0;0;0;0;0;0;0;0;22;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/03/2015;9430148;6439017;0;18237;0;2135676;438404;0;0;0;0;0;0;6765;392049;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/03/2015;9350369;8670845;34383;389417;0;0;163800;0;0;0;0;0;0;0;91924;0
