Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43344;70491597;172753844;36824048;203590258;7885308;491545056;441022242;17579906;83530210;5307009;20664507;166065;127247697;91831713;1151646708;1284959;222704103;1375635770;426393;92746041;1468808203
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43344;74380669;132665152;3111457;249351954;594904;460104136;315334914;10873309;18138129;42245240;44326791;3100908;118684377;65297574;959421001;31827170;289420788;1280668959;2491463;139082261;1422242684
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43344;28276249;291400033;391528;186088554;9701505;515857869;162048754;64044932;0;17276065;12406045;789572;94516614;294634469;1067057705;348180;170889822;1238295708;0;44300367;1282596075
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43344;33146256;106375341;604287;179637598;575962;320339443;227165260;26457704;12526429;120886897;3317025;575149;163763203;55535437;766803343;15685978;164031597;946520918;363575;115742117;1062626611
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43344;0;0;0;0;10021864;10021864;10239907;0;694338;1738757;17413465;0;19846560;322311083;362419414;777372;347679406;710876192;0;80603675;791479867
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43344;17135161;44429151;3490199;184768733;264188;250087431;117545393;26402049;13420610;33568815;5044650;3784384;82220509;64225678;514079011;16933683;169264726;700277420;354937;68259003;768891359
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43344;750642;2103428;899393;18810433;182;22564077;44935214;833192;7497735;25247599;2049105;25219417;60847047;15000459;143346797;2030877;20827652;166205326;84600;10765158;177055084
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43344;376714;0;269436;25813422;0;26459572;56194442;1879604;1000593;5940599;4510426;155954;13487175;5372842;101514031;5740082;35169655;142423767;107506;19143996;161675268
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43344;98434;0;1970092;8902492;0;10971018;20767059;474646;1979397;23612418;678339;1707009;28451809;4394068;64583953;3558720;19022665;87165338;41005;9290864;96497207
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43344;3691936;0;22917;11330145;183155;15228154;7021435;0;0;63828;0;351057;414884;14673022;37337494;9902972;26182630;73423096;49825;8715559;82188480
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43344;0;0;0;0;0;0;0;0;0;0;0;0;0;6400179;6400179;43866;60743377;67187422;0;13124617;80312039
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43344;2842685;9019984;124966;37218188;7431;49213254;3421508;876423;0;1749397;0;0;2625820;2783661;58044244;31293;10553223;68628760;16250;7251662;75896672
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43344;289814;2307026;1451821;5972442;1913743;11934847;1340811;0;160923;0;1236112;0;1397035;2771629;17444322;0;37469046;54913369;0;3875169;58788537
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43344;561451;0;127140;4606996;164812;5460400;1864904;0;483855;3800030;0;1861202;6145086;7287487;20757876;3682261;27650085;52090223;14900;3395221;55500343
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43344;44989;4832272;31997055;465380;0;37339696;2933012;0;202745;0;0;0;202745;2658008;43133462;0;6918379;50051842;133;1751876;51803851
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43344;177599;0;20041;6003955;0;6201595;5542756;0;0;0;0;204293;204293;10331759;22280403;7229338;14882333;44392073;1417;4784562;49178053
