Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43344;113312719;8072953;121385672;15866217;137251889;713435244;6101698;339599;14647186;5268000;26356484;72833293;812625021;1445916778;0,1394;0,1494;0,1689;0,084;0,2606
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43344;68182230;24924278;93106507;38833560;131940068;614372921;22861616;2016;7148080;0;30011713;61081334;705465968;1169932517;0,0966;0,132;0,187;0,0796;0,1446
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43344;75036084;5308218;80344302;29796896;110141197;590790718;4204991;1848142;5917341;389369;12359843;53150786;656301347;1140599563;0,1143;0,1224;0,1678;0,0704;0,3797
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43344;114617108;0;114617108;52678983;167296091;473576926;60248968;0;4981058;0;65230025;36290499;575097451;896130702;0,1993;0,1993;0,2909;0,1279;0,0782
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43344;70697095;0;70697095;34736004;105433100;449935860;4397644;1720495;3854678;156801;10129618;71516630;531582108;1329671192;0,133;0,133;0,1983;0,0532;0,0928
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43344;56968906;5069162;62038068;5055469;67093537;371253682;3487817;0;20980668;1686465;26154950;42375553;439784185;690917102;0,1295;0,1411;0,1526;0,0898;0,1187
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43344;10596326;1197647;11793973;2662688;14456661;97483167;3199861;0;1379061;63038;4641959;7753348;109878474;202625973;0,0964;0,1073;0,1316;0,0582;0,3312
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43344;9184878;3593942;12778821;2099332;14878153;56118016;1252554;4619026;10714551;6714852;23300983;4370623;83789623;181341093;0,1096;0,1525;0,1776;0,0705;0,2918
