Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43344;12766958;434821291;168602588;580399218;-33015588;547383630;115064;230736;118007;-12649;451158;193450413;75765637;35684534;1468926210;118007;1468808203
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43344;28942852;315194317;229337390;459934054;-32693243;427240811;7622588;1755187;1086292;-306299;10157768;228439831;128685749;55330258;1423328976;1086292;1422242684
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43344;10610232;186599613;201416452;683962350;-35050737;648911613;0;0;0;0;0;81185866;140605210;13267088;1282596075;0;1282596075
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43344;15095876;111956291;292203564;344789500;-33332260;311457240;32488;3445454;1482520;-81463;4878998;169123613;89540804;69852745;1064109131;1482520;1062626611
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43344;503;67402553;167321475;316017248;-18452009;297565239;0;0;0;0;0;35073554;209836237;14280307;791479867;0;791479867
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43344;14940874;56923428;175611823;244351548;-16599958;227751590;20612;4694690;2099582;-73564;6741319;181170371;95251478;12600058;770990941;2099582;768891359
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43344;1584632;47853509;40929829;57799519;-2627067;55172452;6739;1548212;702407;-23105;2234253;15663343;9397299;4922173;177757491;702407;177055084
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43344;893836;61323163;37535530;17285265;-592885;16692380;0;0;0;0;0;32749507;2869259;9611594;161675268;0;161675268
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43344;405473;13249453;23705936;44842726;-2860535;41982191;327;221504;494;-671;221653;13694060;808323;2430611;96497700;494;96497207
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43344;1598306;16151581;29032625;7237377;-97958;7139419;959;49991;6315;-338;56927;24594126;3326667;295145;82194796;6315;82188480
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43344;422021;275566;3623408;0;0;0;0;0;0;0;0;3816205;60573950;11600890;80312039;0;80312039
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43344;778553;7640849;17890641;28661936;-2286240;26375697;244;82622;47848;-2277;128437;8246713;13396768;1486863;75944520;47848;75896672
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43344;117242;9577743;35019543;9667198;-642673;9024525;0;0;0;0;0;4143194;737964;168327;58788537;0;58788537
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43344;1069781;1993352;8958607;12823075;-512295;12310780;0;0;0;0;0;30732616;268766;166442;55500343;0;55500343
