Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2017;701167231;142116970;465791440;28894127;0;8;50236854;0;0;615817;4239112;0;0;9205271;67631;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2017;622171502;355124847;60624499;17844632;170154;35711;105452362;0;43101206;2188629;248109;0;0;4044265;104317;33232770
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2017;525772611;221067144;46450632;10142202;963778;4010921;28473288;115777;791091;468805;95898;0;0;5739;448237;212739100
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2017;421050975;197226299;55814901;26264098;14566;12639337;41289106;182798;370625;3569074;0;0;9051;0;504149;83166972
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2017;333189240;61585982;246;225898265;6839709;12387545;3033925;13161628;0;17097;10243956;0;0;20886;0;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2017;255829245;157465246;44542990;6937205;6453;199523;20931713;1079556;0;156390;590542;0;3459;10013;116172;23789983
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2017;52019503;23279998;495747;2732325;0;1758859;13641831;322110;0;109750;440;0;11419;0;760;9666263
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2017;46364428;37461246;11377;1086364;59571;1522942;4491500;111511;0;0;94917;0;0;0;13408;1511591
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2017;29473641;18727147;5571541;289331;0;1011126;3674263;0;0;45731;0;0;0;0;18602;135899
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2017;20266416;14348338;1137477;468809;0;0;4247322;58432;0;0;0;0;0;0;6038;0
