Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;03/2017;3.800.316;1.322.031;950;0;0;500.797;1.346.522;0;0;0;0;0;0;0;97;629.920
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;03/2017;3.781.127;3.551.101;0;0;0;3.432;148.730;14.858;0;45.473;0;0;0;12.323;5.210;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;03/2017;3.753.898;2.296.877;425.608;19.691;0;3.012;823.744;0;0;11.808;0;0;0;171.416;1.742;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S4;8;BELEM;PA;03/2017;3.724.960;3.720.454;0;0;0;155;0;0;0;4.142;0;0;0;0;209;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;03/2017;3.707.535;1.083.542;437.973;364.989;0;636.912;1.078.377;16.445;513;33.992;0;0;0;54.737;54;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;03/2017;3.433.343;2.503.760;0;929.583;0;0;0;0;0;0;0;0;0;0;0;0
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;03/2017;3.397.728;90.598;0;0;0;0;383.680;0;2.923.450;0;0;0;0;0;0;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;03/2017;3.377.880;3.377.770;0;0;0;0;0;0;0;0;0;0;0;0;110;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;03/2017;3.072.647;2.038.717;49.137;526.065;0;0;0;378.617;0;5.529;1.455;0;40.952;32.175;0;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;03/2017;2.968.399;2.966.841;0;0;0;1.557;0;0;0;0;0;0;0;0;1;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;03/2017;2.785.295;438.614;0;0;0;0;2.331.905;0;0;0;0;0;0;14.775;0;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;03/2017;2.777.454;2.639.061;0;0;0;0;0;0;0;0;0;0;0;0;138.393;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;03/2017;2.674.807;1.834.360;680;6;0;0;839.735;0;0;0;0;0;0;0;26;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;03/2017;2.378.287;1.835.707;0;191.624;0;0;155.584;0;0;0;0;0;0;195.372;0;0
INTERMEDIUM;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;03/2017;2.367.174;1.068.659;158.506;2.622;0;1.136.249;0;0;0;0;0;0;0;0;1.137;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;03/2017;2.353.866;395.270;0;35.472;79.510;0;929.346;0;0;0;0;0;0;0;0;914.268
BANCO CARGILL S.A.;3.609.817;b1;I;3;S4;8;SAO PAULO;SP;03/2017;2.346.769;584.339;0;0;0;0;0;0;0;0;0;0;0;1.762.430;0;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;03/2017;2.334.215;433.685;0;0;0;0;1.799.254;0;0;3.858;0;0;108;97.304;6;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;03/2017;2.250.650;2.183.693;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;66.957;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;S4;8;ARACAJU;SE;03/2017;2.237.422;1.659.639;424.885;1.421;0;0;122.656;0;0;4.937;0;0;0;18.577;5.307;0
DEUTSCHE;51.183;b1;I;3;S3;199;SAO PAULO;SP;03/2017;2.235.433;1.824.761;0;0;0;0;410.672;0;0;0;0;0;0;0;0;0
OMNI;50.940;n1;C;2;S4;197;SAO PAULO;SP;03/2017;2.200.128;2.187.238;0;0;0;0;0;0;0;0;0;0;0;0;12.890;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S5;9;BLUMENAU;SC;03/2017;2.110.801;1.984.361;125.589;0;0;0;0;0;0;0;0;0;0;0;851;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;S4;14;SAO PAULO;SP;03/2017;2.021.893;2.019.892;0;0;0;0;0;0;0;0;0;0;0;0;2.001;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;03/2017;2.019.098;75.882;0;0;0;0;1.360.627;0;0;294;0;0;0;519.871;0;62.423
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;03/2017;1.776.287;858.835;0;42.840;0;1.650;15.349;600.847;0;12.459;0;0;0;244.118;189;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;S3;25;BRASILIA;DF;03/2017;1.723.833;400.111;1.323.720;0;0;0;0;0;0;0;0;0;0;0;2;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;03/2017;1.558.954;1.144.938;0;325.895;0;0;0;88.121;0;0;0;0;0;0;0;0
