Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;mar/17;25.631.261;90.692.438
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;mar/17;25.172.924;92.443.187
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;mar/17;15.289.411;46.326.177
BB;49906;b1;C;1;S1;199;BRASILIA;DF;mar/17;12.691.661;35.482.575
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;mar/17;12.308.978;30.911.908
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;mar/17;3.189.937;4.795.602
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;mar/17;3.052.226;15.711.717
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;mar/17;2.625.209;6.012.785
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;mar/17;2.564.809;7.655.269
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;mar/17;2.409.646;4.298.140
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;mar/17;2.382.335;5.130.961
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;mar/17;2.175.381;5.175.318
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;mar/17;1.738.435;8.693.705
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;mar/17;1.105.057;1.752.912
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;S4;14;SAO PAULO;SP;mar/17;818.424;1.002.229
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;mar/17;788.245;1.224.195
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;mar/17;783.138;1.678.545
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;mar/17;768.862;4.897.209
OMNI;50940;n1;C;2;S4;197;SAO PAULO;SP;mar/17;737.371;1.114.419
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;mar/17;717.142;1.593.577
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;mar/17;691.304;998.212
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;mar/17;685.847;1.618.821
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;mar/17;643.514;793.928
BANCO CBSS S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;mar/17;520.872;1.393.044
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;mar/17;463.504;1.127.487
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;mar/17;462.709;520.191
DACASA FINANCEIRA;51891;n1;C;2;S4;197;VITORIA;ES;mar/17;403.452;879.752
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;mar/17;394.241;491.478
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;mar/17;373.832;378.642
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;mar/17;330.768;609.259
BANCO SEMEAR S.A.;795423;b1;I;2;S4;8;BELO HORIZONTE;MG;mar/17;284.460;419.759
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;mar/17;268.382;371.627
AGIPLAN;51956;b1;C;2;S4;199;PORTO ALEGRE;RS;mar/17;238.109;616.037
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4814563;n1;I;2;S4;14;BARUERI;SP;mar/17;224.816;519.087
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;mar/17;221.889;849.073
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;mar/17;213.359;483.290
INTERMEDIUM;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;mar/17;200.273;361.685
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;mar/17;195.163;297.003
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4379829;n1;I;2;S4;14;CURITIBA;PR;mar/17;182.974;234.759
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;mar/17;179.712;455.867
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S4;8;BELEM;PA;mar/17;153.048;527.212
AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762;n1;I;2;S4;14;VITORIA;ES;mar/17;143.828;193.206
HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS;7512441;n1;I;2;S4;14;DOIS IRMAOS;RS;mar/17;141.647;374.809
VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;5192316;n1;I;2;S4;14;SANTO CRISTO;RS;mar/17;132.743;320.228
ESTRELA MINEIRA CREDITO, FINANCIAMENTO E INVESTIMENTO S/A;5351887;n1;I;2;S4;14;ARAXA;MG;mar/17;129.665;167.534
LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11271860;n1;I;2;S4;14;ELDORADO;RS;mar/17;127.310;251.572
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;mar/17;123.986;607.601
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7747410;n1;I;2;S4;14;BARUERI;SP;mar/17;120.914;128.242
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;mar/17;119.932;132.466
AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36321990;n1;I;2;S4;14;VITORIA;ES;mar/17;119.687;167.759
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;mar/17;106.079;302.969
KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;6040559;n1;I;2;S4;14;FLORIANOPOLIS;SC;mar/17;105.782;191.230
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;S4;8;GUARULHOS;SP;mar/17;92.349;97.121
BANCO A.J. RENNER S.A.;92874270;b1;I;2;S4;8;PORTO ALEGRE;RS;mar/17;84.264;86.762
