Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2017;701167231;355084505;92808336;106707645;79187919;32816828;7783211;3876516;5211335;17690935;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2017;622171502;274403614;84297200;103283118;66754619;16391721;14150417;6433423;6484916;16739702;33232770
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2017;525772611;124982718;121003616;16647454;13884831;8664986;6888215;4112407;3826852;13022433;212739100
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2017;421050975;96078542;121090478;41776380;33555767;10402482;6445667;3338934;2879742;22316010;83166972
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2017;333189240;49915736;92874439;138612645;28830801;8889898;8409007;1179894;116138;4360681;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2017;255829245;81093201;90676785;18813323;13105907;11801422;3552173;2884964;2096447;8015039;23789983
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2017;52019503;28833976;8621582;2081615;1035436;245180;78739;177517;31366;1247829;9666263
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2017;46364428;2371106;21289115;7800781;8530938;1678271;583910;416007;436108;1746600;1511591
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2017;29473641;2639185;16277487;4833872;1716757;1033927;448136;364664;305486;1718228;135899
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2017;20266416;6586932;8453900;2377751;301081;1123387;346756;111792;126197;838619;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2017;19840200;0;15013530;1635976;1010535;693724;322099;180594;193316;790425;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/03/2017;16853045;16119392;679236;41892;2299;369;207;208;216;9224;0
