Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2017;333187749;19811459;5274159;40454641;267647491;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2017;314901491;11249829;37575081;78110092;156571026;1487;31393977
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2017;302285126;2802790;14993168;47922894;68000109;10239;168555925
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2017;251820331;26574091;23897302;58107614;60585793;9763;82645767
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2017;192106339;26413157;24213459;60220604;81256403;2714;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2017;123035536;5788010;15064852;39288144;47527866;4074;15362591
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2017;43113394;1256349;651423;10289846;21259248;79;9656449
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2017;13896721;2582714;445052;1222908;9646028;19;0
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2017;13208840;756226;400203;622804;9918017;0;1511591
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/03/2017;11663395;173489;905394;4860737;3697455;1;2026318
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2017;11410462;390336;1366202;5009552;4507994;478;135899
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/03/2017;10604245;328853;356014;9788988;130358;32;0
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2017;10437073;519766;151291;392182;6103063;0;3270771
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2017;9778436;975759;584207;3957657;4260813;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2017;8422314;712284;2175240;4188219;1346569;2;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2017;8012663;687631;525700;3292634;3506690;8;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2017;7850057;363615;526033;5883889;1075777;743;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/03/2017;7456792;449010;916940;5053863;1036979;0;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2017;7185069;261020;321759;3151681;3235381;33;215195
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2017;6736175;439793;57590;795733;5443059;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/03/2017;5778886;88597;325983;2967462;2396843;0;0
CREDIT SUISSE;30771;b1;C;3;S2;199;SAO PAULO;SP;01/03/2017;4827704;10907;60159;374060;2208169;0;2174409
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/03/2017;4500085;56634;186856;1228454;1270288;0;1757852
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2017;4053020;1932138;281830;1137631;503330;448;197642
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/03/2017;3927676;174493;352157;1314606;2086420;0;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2017;3697046;718379;489959;1739917;748790;0;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2017;3695110;0;123675;610846;2960589;0;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/03/2017;3688920;160611;16244;828421;2376080;0;307563
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/03/2017;3397694;254119;0;343032;2800543;0;0
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/03/2017;3362330;467687;10290;1048851;1210567;0;624935
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/03/2017;3334932;51957;674075;2276938;331962;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2017;3217533;1344585;714499;943826;214622;0;0
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/03/2017;2959283;310569;44084;1874424;730207;0;0
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/03/2017;2785295;616;28001;317159;2439519;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2017;2553210;106260;290386;1929564;226980;21;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/03/2017;2513186;14679;144938;220714;2132848;7;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;01/03/2017;2357579;271189;380274;985059;721057;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;01/03/2017;2353825;28551;0;481063;929942;0;914268
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/03/2017;2298542;24188;123016;341270;1810067;1;0
DEUTSCHE;51183;b1;I;3;S3;199;SAO PAULO;SP;01/03/2017;2235433;1725;30223;349213;1854272;0;0
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/03/2017;1948437;135;13801;531107;1340972;0;62423
