Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2019;675594499;349133445;82714602;97709893;79507550;28549757;9749542;8833634;2844142;16551934;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2019;616365953;277806528;65309454;132252959;54414669;10210041;12820396;4639460;3607062;18710385;36595000
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2019;588312308;131387357;144290082;21163340;16203004;7700007;4347676;3719402;3668637;12400024;243432778
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2019;474510727;122725850;143570162;33531154;39521517;6924120;5422692;4493136;3761935;16186041;98374120
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2019;309733714;100660580;101250895;27111991;24285167;11291355;3975292;3061636;1956826;9893431;26246541
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2019;292401931;41083095;96855946;104047193;25090019;3325796;7734134;231824;0;14033924;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2019;66412710;31091728;19436597;4141516;1604379;408641;743706;101521;80146;974829;7829646
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2019;50732651;3203640;21938614;9661350;9229567;1208416;573924;464205;1331046;1615601;1506289
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2019;33698540;3266787;18703559;5299754;2032917;1257571;656185;394236;374571;1589350;123611
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2019;21560276;2800424;4211587;11957789;1000184;747548;496175;12657;78682;255230;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;21452806;0;18144171;792660;568508;364868;251285;274057;221932;835327;0
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2019;21144565;2339231;4149488;2031235;586140;654980;816813;351773;42125;125442;10047339
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;18228088;961611;7755630;6578045;1176696;340892;72395;63989;22613;712109;544108
