Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2019;315134246;3580394;14892525;46301467;63086975;400938;10350;186861598
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2019;292400400;0;999914;3443755;275171657;12785074;0;0
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2019;276318190;14665834;19572609;48301419;58176657;37687822;9303;97904545
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2019;272071046;3812268;29039508;53780674;151843580;0;1289;33593727
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2019;149446604;8886718;15514396;24666929;100376457;0;2105;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2019;128379161;3223883;16459953;36298061;45441254;1083666;5441;25866904
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2019;45653124;321578;1529984;10621623;24945965;413277;337;7820360
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2019;20402804;550343;98200;495575;9597622;0;0;9661064
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;12812783;154045;1593780;4998457;4359016;0;1;1707484
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2019;11985720;946965;168706;534991;8816818;11951;0;1506289
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;11491249;717987;263083;4276391;5476395;221170;52;536172
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2019;11335334;106599;386498;1222867;7944288;1675081;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2019;10033171;112861;764075;3945724;4785878;424632;0;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/03/2019;9817906;322599;958741;4910939;3625627;0;0;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2019;9239948;311191;1217099;3368680;3898153;320725;488;123611
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2019;8691966;828376;78920;902602;6882068;0;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2019;8398245;536296;1678754;4727105;1456088;0;3;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;6830096;0;117152;726413;5986531;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2019;5866183;438695;312709;2176894;2937879;0;6;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;5756366;40636;97595;958465;1338384;17841;0;3303445
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/03/2019;4810733;1592711;482;2253699;963842;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/03/2019;4660198;101579;314513;2193358;2050748;0;0;0
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;4226315;194344;317051;1577351;2135581;1988;0;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;3991000;1099590;275453;744745;799194;1034251;496;37270
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2019;3977825;241809;1048668;2210358;433027;43962;0;0
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/03/2019;3631325;0;52898;1066059;1782595;0;0;729773
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;3426481;0;28405;168937;2369174;859966;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/03/2019;3386159;640902;1257737;1404850;82670;0;0;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/03/2019;3154161;72213;58867;203519;2819561;0;2;0
