Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;01/03/2019;20011274;234575;10763950;555135;986509;1235145;33786589;-14228917;-1697822;-96370;0;-4126708;-20149817;13636772;5056317;3119049;-4529491;-5135561;-1420649;1161562;7476466;-7140624;-1412932;12223841;5477;12229318;-1820917;-3822627;6585774;0
BB;49906;b1;S1;C;1;BRASILIA;DF;01/03/2019;19689847;30916;9743427;469165;172426;519306;30625087;-15286552;-2462247;-18213;0;-4966003;-22733015;7892072;3114336;2635059;-5018925;-4053050;-988574;1317191;3086703;-3389647;-3296906;4595166;147259;4742426;-255211;-515151;3972064;0
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;01/03/2019;19216326;322697;7644055;-609865;774812;1138681;28486708;-11095568;-2189750;-270847;0;-6288971;-19845135;8641572;3129340;2756176;-4293735;-5311413;-1097736;3014481;3229018;-3984372;-2558240;6083333;-108163;5975169;-116352;-3476;5855341;0
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;01/03/2019;18740637;0;6908976;-339094;26011;1584956;26921486;-10029822;-4511947;0;0;-2827353;-17369123;9552363;4918970;1619524;-5680775;-2449252;-931596;490719;1671602;-5047211;-5408019;4144344;-52075;4092269;128712;-598111;3622870;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;01/03/2019;12589311;403901;5641333;-1036211;2403500;988360;20990195;-7749802;-2272889;-332009;0;-2990918;-13345618;7644577;2701543;1212336;-1751943;-2637601;-904644;326943;3787976;-5269629;-2535019;5109557;13236;5122793;-1181242;-444127;3497425;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;01/03/2019;10484361;0;3293920;-5407;0;0;13772875;-907540;-9027497;0;-23239;-278510;-10236786;3536089;58344;0;-280328;-83171;-163947;9324690;268027;-269163;8854452;12390540;9228;12399769;-1321984;0;11077784;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;01/03/2019;2108850;182052;1709453;-206866;50494;118378;3962362;-2261585;-252819;-157493;0;48196;-2623701;1338661;233178;122957;-546203;-481861;-94234;173116;505029;-704423;-792440;546221;-4411;541810;2239;0;544049;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;01/03/2019;312320;0;2192611;-179390;1096722;19110;3441373;-1367566;-987281;0;0;-34581;-2389429;1051944;542372;3014;-151332;-268138;-37233;235203;784118;-1390016;-282012;769932;41778;811710;-46304;-146560;618845;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;01/03/2019;2390509;49371;568348;-49787;40111;8393;3006946;-1466783;-157207;-42171;0;-617683;-2283845;723101;116960;225988;-262251;-330469;-94810;91411;560049;-465977;-159099;564002;1186;565188;-177468;-51701;336019;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;01/03/2019;1620457;5065;371250;7426;18745;190896;2213839;-848082;-109974;-3388;0;-5803;-967247;1246593;40489;263478;-490709;-389660;-90422;87762;167089;-413009;-824981;421611;247;421859;-68295;-33607;319957;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;01/03/2019;1414216;188;31656;35992;456;0;1482508;-885057;-6;-213;0;-295737;-1181013;301495;30634;61475;-112108;-403291;-42355;9331;440863;-156346;-171798;129698;-7262;122435;-26328;0;96107;0
