Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2019;526147895;2861085;5301189;13518501;22799954;10278032;4813537;7849;59580146;615904;939803;1532163;1121934;98414;340;9526;4318084;132248;468590;859768;457443;19188;67;731;1938035;1360519;12952795;34632939;79501373;64055904;175174967;67454857;435133355;1473819;5979192;1926794;129226;16115;15320;0;9540465;156965;1339518;953038;644105;197522;72950;0;3364098;1574310;3539944;2797714;2279296;1090418;943123;48909;12273713;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2019;344294907;277387;4569028;12599474;26934229;17155945;10813610;368426;72718098;516390;2692952;8087199;9968459;4474804;2240927;806155;28786886;34351;453525;1138144;1608780;321224;45;102953;3659023;72255;624392;1335776;3566307;3505191;17656234;21616898;48377052;942080;21166208;4459182;285463;0;0;342827;27195760;2127687;16874235;49133017;37511488;25732986;20994043;178838;152552294;597020;885961;2712139;1557551;1105059;937915;208876;8004521;3001273
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2019;273178062;439109;4974273;12573486;20352837;8409170;1758002;62;48506940;530196;2767280;5249633;4306826;720097;15204;0;13589236;200620;2263744;5485906;7540814;1074082;1290;0;16566456;87369;723636;1684788;4374491;4121497;16409118;13733977;41134874;5232758;49291856;20883020;1034629;3154;1;0;76445419;1996;209574;534224;127868;48131;27652;0;949445;2121909;7392322;4898751;4024364;784545;192621;0;19414512;56571181
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2019;198192536;244797;5231973;13093672;21995047;9677447;3245810;444;53489191;966487;5471312;7054728;4860558;750309;135821;285;19239499;257954;3448225;8291567;11083859;1541460;4614;0;24627679;76992;748491;1633085;4226362;3927851;15838787;12755353;39206920;3826921;22584975;7130047;376492;8455;893;0;33927784;172024;2033524;5751141;4223325;1259845;559727;0;13999586;1429955;5430950;2474806;2757755;820660;317668;506;13232301;469575
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2019;181354553;570558;3129006;8101299;13336249;6225709;3071794;752;34435366;893423;1370117;2988288;4172642;1478392;318573;17423;11238857;595013;5734173;14431384;20813642;3315948;14301;3500;44907961;41398;1329462;3198904;6763323;4935258;11978652;5036109;33283106;2033211;21696267;7010136;705433;141074;54325;29;31640475;40957;1289763;2174156;1420822;791660;541086;0;6258444;2131758;5259569;3855378;4334061;2326188;1273037;30716;19210706;379637
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2019;38746931;61627;280872;641709;734533;144934;21182;0;1884856;17938;47576;86305;138143;3101;52;0;293115;690437;4768523;11297211;15492616;1825508;697;0;34074991;0;0;0;0;0;0;0;0;348271;1387032;552948;19036;0;0;0;2307287;138;12882;16777;11713;3177;1206;0;45894;1540;13179;31654;72728;11374;10155;158;140788;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2019;24458592;155224;1014481;2781414;5407881;3303802;1575720;66;14238587;27715;663433;1011319;205946;70015;7713;0;1986141;488;3053;6995;6884;1602;8;0;19029;3823;64457;148684;390445;363400;1422326;1069770;3462905;63880;980218;258328;1557;0;0;0;1303983;30475;414727;447642;377790;254391;176877;19815;1721718;115908;1036034;213595;200405;91988;68236;64;1726230;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2019;20759586;24867;698664;1909987;3653568;2044870;404011;0;8735966;6020;226388;323571;229199;48864;188;0;834231;73565;1334683;3367366;5019460;671855;481;0;10467409;19;67;386;886;468;389;2;2217;5248;191747;59717;92;0;0;0;256804;59;30057;68062;64664;28726;14685;0;206253;2659;151671;78012;12287;2791;0;0;247420;9286
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;19764955;98505;764399;2040448;3728479;1950828;767287;0;9349945;5247;18811;34320;17143;113;0;0;75634;205006;1009915;2395871;3327759;374807;52;0;7313411;871;4596;11590;25588;19019;40480;6754;108897;304039;1879951;207188;14565;1509;2;0;2407254;0;0;0;0;0;0;0;0;62093;37122;80153;138293;81336;107437;3380;509814;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2019;12868309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71900;951948;2082144;1356371;724028;424357;0;5610747;62492;1384792;1850571;2477167;1178982;303559;0;7257562;0
