Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2019;315134246;918878;8448137;13820134;13210880;2488027;375544;0;39261599;13723;749013;1702085;2246704;464675;19306;0;5195506;628071;8964700;255534;0;0;0;0;9848305;55902;12151975;2622473;64390;23538;3649;0;14921927;104617;4083589;6448124;3741531;3835780;1971109;0;20184750;803919;2915584;4087230;3286693;1173463;602849;0;12869738;227155;1566509;4080473;6371518;2711724;2186184;331660;17475223;2272;1374095;3286797;348890;219165;231407;0;5462626;117023;261656;1136572;1367483;126995;43196;49;3052975;186861598
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2019;292400400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;605811;12607290;24823491;60822998;43407524;118299375;31405376;291971866;0;12327;63120;152741;101600;98746;0;428534;0;0;0;0;0;0;0;0;0
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2019;276318190;605784;7477719;14480314;15074137;3503952;400470;200;41542575;130230;2123418;4203953;4771849;902254;93206;0;12224910;412150;6861041;1226434;300;0;0;0;8499925;143586;16253692;4492256;56033;6970;606;0;20953143;212542;10664030;18111955;4977178;4574180;4043974;0;42583858;1251749;4530227;3144763;3440247;1309805;1811107;843154;16331051;28163;2228491;4206661;8048371;4248569;7676363;404100;26840717;7535;921378;1584991;1058031;137811;90392;0;3800138;79564;266607;1083790;3116183;991765;93055;6363;5637328;97904545
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2019;272071046;652542;5941334;13701139;19087661;4947936;1634289;544783;46509684;508107;4657479;4825875;12309160;8939487;27197895;211550;58649552;153616;2162061;681997;44514;0;0;28751;3070939;119370;4584623;1312195;150915;44454;0;0;6211556;616322;11304357;12856046;3944765;6109666;3971212;0;38802368;1854134;3762510;2676513;3524556;2119676;3043098;933984;17914471;347632;3088252;6778696;11682270;7122789;13038037;7179858;49237534;79533;2094791;5365969;5331171;1271695;1362305;11;15505475;317600;459866;792546;891193;44798;0;69735;2575740;33593727
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2019;149446604;1724650;2821930;7596454;12639464;4676001;1632729;5025;31096252;30006;55320;171437;231530;256737;177379;227;922635;339775;393030;1215730;4209;0;0;0;1952744;21105;210277;13851;0;0;0;0;245233;122211;885059;1327849;3934601;4335;0;0;6274055;1497782;794001;944238;1296648;639271;390687;1056;5563683;247397;6259290;10524276;18254505;12679415;33637359;8553931;90156173;10187;1443284;2449646;28973;7886;2726;0;3942702;564863;1587042;3265480;3527737;190629;157339;37;9293128;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2019;128379161;632455;4570719;7434601;7183711;1814633;815592;443926;22895636;56528;973039;2202393;2900707;664932;149173;488;6947261;291952;4243065;1160911;276845;83430;70900;9625;6136729;85903;15160924;6916538;131008;17869;11800;5807;22329849;84424;6382526;5631261;1475525;537221;3104263;131780;17347000;855142;1981133;2099326;3214488;681114;370383;25337;9226922;164789;725087;1587133;2802801;1712753;3364724;613827;10971115;5692;1084882;3088510;373296;119080;59382;0;4730841;68772;485321;825655;495321;20826;30754;254;1926904;25866904
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2019;45653124;39865;3477330;4822186;4642849;1161549;127329;0;14271108;4155;428962;815423;794511;122918;22851;0;2188820;16298;852634;78451;7017;2371;0;0;956771;11993;4222447;1717654;17196;0;0;0;5969290;4274;2011935;2762808;1945584;533256;1869571;0;9127428;10516;293659;305774;108375;1809;0;0;720134;2129;208061;566225;1051453;504022;321565;0;2653455;165;517773;502456;304654;187768;137568;0;1650384;0;13037;39052;235618;7669;0;0;295375;7820360
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2019;20402804;266323;801842;550235;1138215;308237;1130098;0;4194950;0;0;0;0;0;0;0;0;0;10060;0;0;0;0;0;10060;1000;83725;65812;59318;969;761;0;211586;3858;362603;883920;1130745;172658;0;0;2553784;301122;58553;370125;131387;5100;464;0;866750;0;24993;50599;148595;154204;979073;1539427;2896891;0;0;2573;5146;0;0;0;7719;0;0;0;0;0;0;0;0;9661064
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;12812783;28180;772770;1568284;1292079;203146;5183;0;3869643;1587;213959;613180;594108;107891;3333;0;1534058;1241;85101;59117;0;0;0;0;145459;0;357082;234249;11312;0;0;0;602643;16795;723488;1321057;817629;67602;12489;0;2959060;103414;74349;69755;157169;28293;5343;0;438323;514;95353;115111;239883;107716;22024;0;580601;453;129535;386968;228771;105124;124661;0;975512;0;0;0;0;0;0;0;0;1707484
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2019;11985720;16170;328306;691118;881181;122128;30400;0;2069303;14947;195489;429941;459353;46176;57;0;1145963;0;0;1000;0;0;0;0;1000;0;1087321;358337;68402;73479;8879;0;1596419;52668;388943;1533283;967572;235619;7028;0;3185113;0;5975;61202;32468;29269;77975;674314;881205;6826;128641;268437;496384;313884;135245;0;1349418;4206;38142;101627;88231;15187;3617;0;251010;0;0;0;0;0;0;0;0;1506289
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;11491249;27307;556650;1241344;1133497;136712;5865;0;3101375;1556;113736;276053;402549;72183;515;5182;871775;19265;792959;821559;16640;0;0;0;1650423;45019;2961703;355619;9599;2720;0;0;3374661;65640;664449;527355;199022;2844;0;0;1459310;9065;41288;42383;2084;672;0;0;95492;1418;60263;129272;139275;12820;747;0;343795;0;14079;42858;1309;0;0;0;58246;0;0;0;0;0;0;0;0;536172
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2019;11335334;9458;1746517;625202;501784;330284;0;0;3213246;0;5372;15676;33056;8030;23;0;62156;0;201351;148604;0;0;0;0;349956;22;3690862;660231;16681;1793;0;0;4369589;0;746740;1080707;512082;52708;0;0;2392237;19261;276980;226;0;0;0;0;296466;0;333;982;1369;0;0;0;2685;0;143994;491990;13015;0;0;0;648999;0;0;0;0;0;0;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2019;10033171;0;0;0;0;0;0;0;0;0;514;366;401;366;0;0;1648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21199;313597;807499;1738800;956716;1288301;51188;5177301;2142;174923;683687;1652826;1130102;1210253;289;4854222;0;0;0;0;0;0;0;0;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/03/2019;9817906;9160;47131;107500;155056;35042;0;0;353889;5027;275940;728571;1641610;739244;39121;0;3429514;0;0;0;0;0;0;0;0;172;1199354;1052861;0;0;0;0;2252387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13835;484503;1136716;1643055;457171;46835;0;3782116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2019;9239948;63371;586263;1230231;1485996;364151;204231;31131;3965374;526;9845;22831;39703;20457;29283;0;122645;30892;382400;256523;266;111;0;0;670191;5215;121375;13998;0;0;0;0;140588;5082;406526;542110;4991;0;0;0;958710;60673;278234;267384;293730;215781;306574;127175;1549552;4948;65938;159970;312208;148485;106228;0;797778;2985;88759;206107;34126;21012;22546;0;375535;715;27650;71390;268191;159103;8915;0;535964;123611
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2019;8691966;0;86539;488877;891949;338698;25384;0;1831447;0;0;0;0;0;0;0;0;0;1010;15884;5032;0;0;0;21927;440;176663;68063;0;0;0;0;245166;54409;1657085;1943864;1416308;517261;59798;0;5648725;35436;52598;84405;66232;15382;15198;0;269250;0;3742;5987;8196;1192;0;0;19117;271;59756;162724;208297;137880;87407;0;656335;0;0;0;0;0;0;0;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2019;8398245;3939;40103;102344;135402;26056;3254;0;311097;17050;381279;938906;1244271;323755;2133;0;2907394;0;0;0;0;0;0;0;0;5427;261708;1882615;17443;7341;0;0;2174534;0;0;0;0;0;0;0;0;0;38393;0;0;0;0;0;38393;34186;419063;938477;1227366;343519;4215;0;2966827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;6830096;0;342506;281540;357000;8000;0;0;989047;0;0;0;0;0;0;0;0;0;172538;49494;25420;0;0;0;247452;0;660629;76285;5462;3361;0;0;745737;0;879521;2087077;403835;0;0;0;3370433;0;6381;84468;1308071;0;0;0;1398920;0;397;913;738;0;0;0;2048;0;13399;46806;16253;0;0;0;76459;0;0;0;0;0;0;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2019;5866183;31702;61766;141459;211725;47737;43194;23344;560928;17525;108993;251741;187300;48146;56272;0;669977;1080;2475;6567;61;0;0;0;10183;1075;7019;339;3;0;0;0;8437;490;49341;779089;0;0;0;0;828921;5215;13584;35982;77737;28693;65153;77308;303671;113;95182;197588;418674;378111;1432347;541885;3063899;10413;2566;26029;114731;266429;0;0;420168;0;0;0;0;0;0;0;0;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;5756366;7350;20097;47182;101479;12098;0;0;188207;231;6117;13277;25492;0;0;0;45117;0;0;0;0;0;0;0;0;1806;1821;3728;7746;3638;792;0;19531;9741;335785;831400;421353;46033;0;0;1644312;34446;23060;241403;121009;39353;1994;34874;496139;0;0;0;0;0;0;0;0;0;3289;53852;2474;0;0;0;59615;0;0;0;0;0;0;0;0;3303445
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/03/2019;4810733;3987;61063;189726;15619;0;0;0;270396;555;15323;68195;19533;0;0;0;103607;0;0;0;0;0;0;0;0;22403;2210740;1972895;81700;83087;65830;0;4436656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;45;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/03/2019;4660198;8103;51658;133639;169967;161576;16511;109483;650937;11971;53257;155920;237973;116256;35132;693;611201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2365;47037;92032;40113;3923;0;0;185470;42896;169659;435321;936963;599868;420612;21369;2626688;934;66571;212492;130183;93562;82160;0;585902;0;0;0;0;0;0;0;0;0
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;4226315;709;166332;486441;235540;3041;0;0;892063;669;117808;244449;231163;29878;3;0;623971;0;120506;80992;0;0;0;0;201498;3;850953;215407;872;0;0;0;1067236;0;133901;211518;162714;0;0;0;508132;10936;158;0;0;0;0;0;11094;145;52714;149869;397953;298259;18445;0;917386;0;3980;159;478;319;0;0;4936;0;0;0;0;0;0;0;0;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;3991000;7988;146902;328699;420792;11924;0;41603;957909;0;0;0;0;0;0;0;0;177;76866;30205;0;0;0;0;107249;16453;1975243;43670;25508;14116;500;5610;2081099;191;171282;209747;60406;0;0;14563;456190;62;2812;27246;19990;294;0;37593;87998;4309;17901;62830;109042;0;0;0;194082;0;45098;18105;6000;0;0;0;69202;0;0;0;0;0;0;0;0;37270
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2019;3977825;3929;1584578;525482;0;0;0;0;2113989;4776;62603;149676;222049;80277;376;0;519757;0;0;0;0;0;0;0;0;215065;35182;2452;198;0;0;0;252897;0;0;0;0;0;0;0;0;2680;17828;2291;3159;1546;0;0;27503;6782;84196;205646;354091;131951;326;0;782992;271;40605;24357;104738;76430;34283;0;280685;0;0;0;0;0;0;0;0;0
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/03/2019;3631325;2364;169643;318232;445847;40536;100;5751;982474;0;64605;106650;1750;130;0;0;173135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119797;586578;333473;12135;0;0;1051982;2696;41548;207377;357526;79733;5081;0;693961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;729773
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;3426481;0;21366;14827;106449;0;0;0;142642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1251814;1438602;259534;0;0;0;2949950;0;0;0;0;333889;0;0;333889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/03/2019;3386159;467;8188;21861;33240;14656;21092;0;99504;2309;98854;262073;420814;125582;269;0;909902;0;0;0;0;0;0;0;0;24;41930;62945;0;0;0;0;104900;0;0;0;0;0;0;0;0;0;148;431;585;0;0;0;1164;18279;257912;637432;1003167;324838;29059;0;2270688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/03/2019;3154161;9618;306943;534126;458146;42788;2441;0;1354061;58;131;319;1076;174;0;0;1759;3096;655192;158235;5008;0;0;0;821531;1165;202552;9191;0;0;0;0;212908;872;325926;242270;74685;1635;0;0;645388;449;61189;47983;8540;80;272;0;118514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;3068075;6170;404319;488212;627280;77961;58237;0;1662179;0;14318;3933;0;0;0;0;18251;4535;39312;16321;27032;0;0;0;87201;104;243670;45253;0;0;0;0;289028;1138;161535;314858;153412;100;0;0;631042;9490;17493;23940;65213;30300;29533;0;175968;63;12758;28517;33161;15375;4258;0;94132;549;2574;7197;0;0;0;0;10320;0;0;0;0;0;0;0;0;99955
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/03/2019;2949088;74756;95834;316860;248826;9048;6982;0;752306;0;0;0;0;0;0;0;0;946;22878;6464;0;0;0;0;30288;204;750724;163141;809;0;0;0;914878;51115;207632;154731;37304;1269;0;0;452051;23375;19375;29643;11594;0;0;0;83987;0;0;0;0;0;0;0;0;0;9849;117621;13006;0;0;0;140475;0;0;0;0;0;0;0;0;575102
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;2851148;0;29118;103915;173702;0;38294;0;345029;0;0;28986;0;362515;0;0;391501;0;0;0;0;0;0;245542;245542;0;250158;5765;0;0;0;0;255923;0;370999;1217940;7000;0;0;0;1595940;0;16397;817;0;0;0;0;17214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/03/2019;2803604;0;0;0;0;0;0;0;0;3880;355436;227537;267574;21019;5;0;875450;0;0;0;0;0;0;0;0;0;1180761;733355;0;0;0;0;1914116;0;0;0;0;0;0;0;0;0;665;11264;1411;699;0;0;14038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;2792565;0;0;34201;0;0;0;0;34201;0;0;0;0;0;0;0;0;0;11181;66732;0;0;0;0;77913;0;32131;0;0;0;0;0;32131;0;812713;1492751;342857;0;0;0;2648320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;2648547;1595;55367;145080;274019;2000;0;0;478061;0;0;144364;113255;113255;566275;339656;1276806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;377262;47767;103484;78648;0;0;607161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;286521
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/03/2019;2634245;0;2699;5309;4464;62;0;0;12534;526;85767;235020;540777;258573;2047;0;1122711;0;0;0;0;0;0;0;0;0;58776;0;0;0;0;0;58776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3668;148861;379518;701861;204472;1844;0;1440224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JOHN DEERE;50071;b1;C;3;S3;199;INDAIATUBA;SP;01/03/2019;2449027;0;123;0;0;0;0;0;123;1865;42964;69581;96701;31914;16604;0;259629;0;0;0;0;0;0;0;0;0;1224589;31105;11549;0;0;0;1267243;0;0;0;0;0;0;0;0;91;15575;23607;55902;29434;11846;0;136455;1114;12928;29813;33865;2302;0;0;80020;121;146213;62058;288901;154900;53363;0;705556;0;0;0;0;0;0;0;0;0
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/03/2019;2240049;0;0;0;0;0;0;0;0;11599;940029;571103;435737;33162;352;352;1992334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;558;209298;34517;3196;146;0;0;247715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;2078175;0;117530;92621;43425;4684;68;0;258329;954;83912;220574;238084;14907;0;0;558431;0;0;0;0;0;0;0;0;1286;112459;72368;29497;9323;0;0;224933;0;637025;292681;105560;0;0;0;1035266;27;0;0;0;0;0;0;27;96;562;440;92;0;0;0;1189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/03/2019;2052742;0;100714;203289;223500;0;0;0;527502;0;0;0;0;0;0;0;0;0;500;6052;0;0;0;0;6552;0;30153;3350;0;0;0;0;33503;0;499883;370100;238009;155868;0;0;1263860;0;1545;1955;100000;0;0;0;103500;0;3640;10604;13539;6687;1304;0;35774;0;9601;66984;5464;0;0;0;82050;0;0;0;0;0;0;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/03/2019;1850682;0;0;0;0;0;0;0;0;8;598;1454;3335;873;0;0;6268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47573;120885;0;0;0;0;168458;0;177542;256330;246394;0;0;0;680266;9;73834;179940;384189;193580;82954;0;914507;0;2705;7911;18679;18146;33742;0;81184;0;0;0;0;0;0;0;0;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2019;1845812;0;39517;92975;128181;51340;24;0;312037;437;15563;42109;88164;44982;7938;350;199543;0;0;8;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10789;162471;674205;1484;237;237;21;849445;119;21566;69639;186811;101509;29815;134;409594;0;2329;12283;24067;10904;25602;0;75185;0;0;0;0;0;0;0;0;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/03/2019;1807132;5054;104928;216176;228915;19722;2884;0;577680;0;0;0;0;0;0;0;0;2005;267366;0;0;0;0;0;269371;1741;429041;68167;6221;49;0;0;505218;0;164546;124904;33554;0;0;0;323005;31;965;14021;24584;10229;0;0;49830;0;833;2191;1630;0;0;0;4654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77374
