Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2019;675594499;110408786;493770014;26944258;0;0;22;28384443;0;0;399239;3794412;0;0;11833629;59696;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2019;616365953;372024565;62946916;13484782;4884000;54851;4866;81686552;0;38876622;1707592;321694;0;0;3685608;92904;36595000
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2019;588312308;250145932;47313364;5403523;2663432;812564;11350757;26211466;670;194738;334479;36985;0;0;4820;406801;243432778
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2019;474510727;241716833;57258913;7077141;3753964;15916;20902423;41491641;1030422;0;1876905;197696;0;392033;0;422720;98374120
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2019;309733714;210011873;45128783;4582640;1212833;0;124985;19984929;858095;0;531681;224657;0;768;690328;135601;26246541
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2019;292401931;49598481;32334;192676806;19743791;3882539;7795901;1355280;8466171;0;24197;8826431;0;0;0;0;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2019;66412710;39373921;297592;916119;782406;0;7267;16950272;224641;0;27105;104;0;2293;0;1343;7829646
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2019;50732651;42977699;716054;361447;6122;70752;550184;4152642;33824;0;0;44245;0;0;307932;5461;1506289
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2019;33698540;24517942;5457309;179069;16174;0;8733;3267480;15298;0;45316;0;0;0;51371;16238;123611
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2019;21560276;17578860;0;241487;61154;0;0;3676412;0;0;0;0;0;0;2362;0;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;21452806;20312499;280890;0;0;0;0;461561;0;0;281347;66214;0;0;39234;11062;0
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2019;21144565;2308504;68346;2580018;0;279679;0;5721101;0;0;39875;36227;0;0;63478;0;10047339
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;18228088;13698424;2948;44690;153883;0;109628;2300310;501605;220389;102;8152;0;852;641557;1438;544108
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;16951952;11015380;0;1050;0;0;4678504;1236499;0;0;0;0;0;0;0;20519;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2019;14490957;9926017;0;1056063;1086659;0;0;2174798;9125;0;0;0;0;0;238248;47;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2019;13531772;8709279;54580;3119420;205590;0;0;0;601326;0;526698;49852;0;18936;246088;2;0
