Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;mar/19;315.134.246;3.580.394;14.892.525;46.301.467;63.086.975;400.938;10.350;186.861.598
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;mar/19;292.400.400;0;999.914;3.443.755;275.171.657;12.785.074;0;0
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;mar/19;276.318.190;14.665.834;19.572.609;48.301.419;58.176.657;37.687.822;9.303;97.904.545
BB;49906;b1;C;1;S1;199;BRASILIA;DF;mar/19;272.071.046;3.812.268;29.039.508;53.780.674;151.843.580;0;1.289;33.593.727
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;mar/19;149.446.604;8.886.718;15.514.396;24.666.929;100.376.457;0;2.105;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;mar/19;128.379.161;3.223.883;16.459.953;36.298.061;45.441.254;1.083.666;5.441;25.866.904
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;mar/19;45.653.124;321.578;1.529.984;10.621.623;24.945.965;413.277;337;7.820.360
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;mar/19;20.402.804;550.343;98.200;495.575;9.597.622;0;0;9.661.064
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;mar/19;12.812.783;154.045;1.593.780;4.998.457;4.359.016;0;1;1.707.484
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;mar/19;11.985.720;946.965;168.706;534.991;8.816.818;11.951;0;1.506.289
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;mar/19;11.491.249;717.987;263.083;4.276.391;5.476.395;221.170;52;536.172
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;mar/19;11.335.334;106.599;386.498;1.222.867;7.944.288;1.675.081;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;mar/19;10.033.171;112.861;764.075;3.945.724;4.785.878;424.632;0;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;mar/19;9.817.906;322.599;958.741;4.910.939;3.625.627;0;0;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;mar/19;9.239.948;311.191;1.217.099;3.368.680;3.898.153;320.725;488;123.611
