cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;jun/16;980.262.863;5.440.352;18.494.781;39.990.574;47.443.980;20.725.587;1.921.669;854.852;134.871.794;296.615;1.176.656;3.013.124;7.461.875;5.607.215;20.061.168;4.710.349;42.327.001;1.302.027;4.297.000;5.594.987;438.743;3.657;0;72.718;11.709.132;563.885;8.038.068;1.919.963;545.197;217.012;59.507;526;11.344.159;508.701;10.561.759;21.916.843;17.242.333;11.825.029;5.069.395;0;67.124.060;5.556.101;7.333.094;10.218.431;18.406.673;18.053.155;10.035.144;385.692;69.988.291;5.900.784;27.255.242;59.218.657;132.277.166;94.906.035;186.459.068;45.921.941;551.938.893;202.579;2.871.794;10.970.924;7.463.627;2.515.607;4.106.834;7.742;28.139.107;291.334;4.888.458;5.531.940;7.179.034;852.012;417.554;507;19.160.838;
1%;1 - Público;jun/16;49,10%;47,16%;29,77%;40,07%;44,88%;61,87%;38,89%;68,57%;42,30%;25,37%;13,41%;15,72%;31,93%;68,56%;91,59%;67,38%;47,26%;30,43%;13,46%;44,34%;46,70%;1,72%;0,00%;25,86%;23,17%;30,98%;14,63%;12,94%;30,57%;19,87%;15,78%;3,94%;15,16%;26,10%;27,79%;33,80%;41,93%;61,44%;69,06%;0,00%;38,91%;49,38%;38,42%;42,76%;60,04%;83,06%;86,92%;59,50%;58,90%;84,76%;70,44%;68,80%;73,63%;84,20%;91,22%;94,26%;81,50%;82,03%;24,04%;42,85%;54,02%;49,91%;83,98%;48,02%;45,71%;58,25%;64,79%;38,24%;38,30%;23,03%;21,12%;13,97%;40,82%;
2;2 - Privado Nacional;jun/16;735.678.915;4.401.097;26.965.785;40.404.849;41.050.060;8.723.401;1.859.239;13.036;123.417.466;637.625;4.296.564;10.198.680;9.438.928;1.299.878;216.809;3.002;26.091.485;2.465.700;21.251.327;3.761.969;89.523;54.837;221.028;4.675;27.849.060;856.334;25.091.001;4.261.856;553.840;313.738;285.751;333;31.362.852;738.206;11.875.783;19.379.246;14.555.990;5.859.149;1.061.529;0;53.469.903;4.143.229;8.616.458;9.667.124;9.032.425;2.589.123;1.174.427;39.253;35.262.039;489.647;7.536.645;17.225.768;31.359.690;13.422.154;15.614.569;2.734.386;88.382.859;31.104;7.507.719;10.974.901;4.991.778;2.008.256;480.641;0;25.994.399;118.390;1.247.059;4.552.054;8.250.357;2.553.257;148.537;1.441;16.871.095;
2%;2 - Privado Nacional;jun/16;36,85%;38,15%;43,41%;40,49%;38,83%;26,04%;37,63%;1,05%;38,71%;54,53%;48,96%;53,20%;40,38%;15,89%;0,99%;0,04%;29,13%;57,62%;66,58%;29,81%;9,53%;25,80%;79,57%;1,66%;55,12%;47,05%;45,68%;28,73%;31,05%;28,73%;75,78%;2,49%;41,90%;37,87%;31,25%;29,89%;35,40%;30,44%;14,46%;0,00%;31,00%;36,82%;45,15%;40,46%;29,46%;11,91%;10,17%;6,06%;29,68%;7,03%;19,48%;20,01%;17,46%;11,91%;7,64%;5,61%;13,05%;12,59%;62,85%;42,87%;36,13%;39,85%;9,83%;0,00%;42,23%;23,67%;16,53%;31,47%;44,02%;69,00%;7,51%;39,73%;35,95%;
3;3 - Privado com Controle Estrangeiro;jun/16;280.629.644;1.694.742;16.659.554;19.404.835;17.221.631;4.047.701;1.159.804;378.810;60.567.076;235.099;3.302.683;5.959.178;6.472.234;1.271.584;1.626.412;2.277.475;21.144.666;511.600;6.368.698;3.260.957;411.247;154.018;56.760;203.759;10.967.038;399.673;21.795.265;8.650.840;684.666;561.138;31.830;12.486;32.135.897;702.474;15.562.328;23.547.203;9.320.631;1.562.980;1.209.868;3.148;51.908.633;1.553.157;3.136.175;4.009.973;3.218.944;1.093.940;335.589;223.224;13.571.002;571.163;3.899.915;9.631.181;16.010.174;4.383.590;2.340.616;64.394;36.901.034;13.277;1.565.208;3.657.160;1.361.749;516.086;303.068;8.382;7.424.930;90.414;1.409.599;4.380.500;3.313.970;295.102;1.411.250;1.679;10.902.514;
3%;3 - Privado com Controle Estrangeiro;jun/16;14,06%;14,69%;26,82%;19,44%;16,29%;12,08%;23,47%;30,39%;19,00%;20,11%;37,63%;31,08%;27,69%;15,55%;7,43%;32,58%;23,61%;11,96%;19,95%;25,84%;43,77%;72,47%;20,43%;72,47%;21,71%;21,96%;39,68%;58,32%;38,38%;51,39%;8,44%;93,56%;42,94%;36,04%;40,95%;36,31%;22,67%;8,12%;16,48%;100,00%;30,09%;13,80%;16,43%;16,78%;10,50%;5,03%;2,91%;34,44%;11,42%;8,20%;10,08%;11,19%;8,91%;3,89%;1,15%;0,13%;5,45%;5,38%;13,10%;14,28%;9,86%;10,24%;6,20%;51,98%;12,06%;18,08%;18,68%;30,28%;17,68%;7,97%;71,37%;46,29%;23,23%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/16;1.531.634.743;10.923.191;58.247.605;93.442.039;99.547.653;32.162.461;4.472.930;1.243.489;300.039.368;981.983;6.197.642;14.454.304;17.239.631;6.610.428;21.477.421;6.964.668;73.926.078;4.189.603;30.186.811;11.080.912;881.552;186.038;272.888;276.477;47.074.282;1.553.939;47.314.150;10.575.533;1.357.297;1.080.826;352.877;13.013;62.247.636;1.942.668;37.900.574;64.840.910;41.104.561;19.247.158;7.322.923;1.163;172.359.957;11.044.639;17.809.178;22.038.988;29.703.721;21.447.971;11.367.206;624.197;114.035.901;3.579.519;18.345.758;43.549.539;82.945.539;39.148.064;66.093.125;21.230.263;274.891.807;216.148;11.295.630;24.433.913;11.970.074;3.522.300;3.074.546;15.603;54.528.215;500.130;7.524.848;14.408.413;18.740.869;3.700.364;1.977.331;3.627;46.855.582;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/16;76,71%;94,69%;93,77%;93,63%;94,17%;96,02%;90,53%;99,74%;94,10%;83,98%;70,62%;75,40%;73,76%;80,83%;98,05%;99,63%;82,54%;97,90%;94,58%;87,82%;93,83%;87,54%;98,24%;98,34%;93,17%;85,39%;86,14%;71,30%;76,09%;98,99%;93,58%;97,51%;83,17%;99,66%;99,74%;100,00%;99,96%;100,00%;99,76%;36,93%;99,92%;98,15%;93,31%;92,23%;96,89%;98,67%;98,46%;96,30%;95,97%;51,42%;47,42%;50,59%;46,17%;34,73%;32,33%;43,58%;40,59%;87,52%;94,57%;95,43%;86,63%;69,89%;62,87%;96,77%;88,58%;100,00%;99,73%;99,61%;99,99%;100,00%;100,00%;100,00%;99,83%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/16;43.304.435;74.456;1.323.968;1.202.376;844.432;135.872;20.944;0;3.602.047;102.333;1.612.547;2.534.797;2.628.145;396.985;1.266;0;7.276.072;0;0;0;0;0;0;0;0;102.041;3.996.462;3.891.376;416.347;9.346;20.399;0;8.435.970;6.713;99.296;2.383;14.394;0;17.868;1.985;142.639;12.783;413.922;235.544;63.346;16.157;404;0;742.157;453.031;2.537.627;6.573.581;10.148.035;2.523.691;459.435;27.382;22.722.781;3.500;16.901;74.044;133.060;68.797;18.187;0;314.489;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/16;2,17%;0,65%;2,13%;1,20%;0,80%;0,41%;0,42%;0,00%;1,13%;8,75%;18,37%;13,22%;11,24%;4,85%;0,01%;0,00%;8,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,61%;7,28%;26,24%;23,34%;0,86%;5,41%;0,00%;11,27%;0,34%;0,26%;0,00%;0,04%;0,00%;0,24%;63,07%;0,08%;0,11%;2,17%;0,99%;0,21%;0,07%;0,00%;0,00%;0,62%;6,51%;6,56%;7,64%;5,65%;2,24%;0,22%;0,06%;3,36%;1,42%;0,14%;0,29%;0,96%;1,37%;0,37%;0,00%;0,51%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
