cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;set/17;881.019.008;2.241.689;12.119.217;31.885.046;57.983.971;31.389.164;15.164.421;410.772;151.194.279;1.428.199;4.677.076;10.884.977;11.644.934;4.360.617;1.835.360;1.211.013;36.042.176;399.589;1.850.441;4.303.772;4.852.783;444.942;1.220;40.425;11.893.171;1.590.389;13.292.339;35.398.872;81.295.304;65.495.360;182.499.248;82.378.080;461.949.592;2.702.426;25.636.465;5.342.126;392.068;6.025;4.529;690.921;34.774.561;2.847.925;17.303.881;43.926.003;38.036.665;24.464.298;22.618.367;855.008;150.052.147;3.013.590;8.390.073;7.685.516;6.270.686;3.562.427;2.660.596;629.091;32.211.979;2.901.103
1%;1 - Público;set/17;52,67%;60,51%;44,24%;45,43%;47,57%;52,53%;65,15%;99,69%;49,31%;23,89%;23,96%;34,90%;39,35%;51,73%;72,90%;99,49%;36,61%;14,71%;8,52%;8,50%;7,63%;5,66%;4,00%;94,26%;8,11%;87,62%;83,89%;85,72%;85,46%;84,99%;82,53%;75,55%;82,30%;16,06%;20,62%;13,25%;17,64%;3,87%;9,31%;99,99%;18,84%;78,36%;63,17%;61,33%;68,89%;74,84%;82,53%;100,00%;68,58%;31,68%;29,00%;33,34%;27,85%;38,66%;55,20%;89,83%;32,62%;5,02%
2;2 - Privado Nacional;set/17;578.887.764;1.035.733;12.133.371;30.156.825;50.907.884;22.859.810;6.081.825;1.017;123.176.466;3.924.362;13.389.614;16.812.090;13.737.225;2.917.046;617.832;6.086;51.404.254;1.546.499;11.879.432;27.597.936;35.192.997;4.489.537;16.696;0;80.723.097;180.378;1.396.422;3.163.024;8.056.087;7.361.089;28.421.409;22.473.432;71.051.840;11.186.759;73.930.969;27.630.765;869.129;30.925;2.203;8;113.650.757;577.315;8.284.438;21.144.650;9.379.464;4.418.514;3.168.852;0;46.973.232;4.698.015;14.613.512;9.681.275;10.284.426;3.323.087;1.237.438;63.830;43.901.582;48.006.537
2%;2 - Privado Nacional;set/17;34,60%;27,96%;44,29%;42,97%;41,76%;38,26%;26,13%;0,25%;40,17%;65,64%;68,59%;53,90%;46,42%;34,60%;24,54%;0,50%;52,21%;56,94%;54,73%;54,50%;55,37%;57,15%;54,79%;0,00%;55,08%;9,94%;8,81%;7,66%;8,47%;9,55%;12,85%;20,61%;12,66%;66,49%;59,47%;68,54%;39,11%;19,88%;4,53%;0,00%;61,57%;15,89%;30,25%;29,52%;16,99%;13,52%;11,56%;0,00%;21,47%;49,39%;50,51%;42,00%;45,68%;36,07%;25,67%;9,11%;44,46%;83,06%
3;3 - Privado com Controle Estrangeiro;set/17;212.959.124;427.161;3.143.818;8.145.148;13.000.013;5.506.130;2.028.310;240;32.250.821;626.159;1.454.673;3.493.997;4.209.817;1.152.552;64.471;164;11.001.834;769.781;7.977.057;18.740.356;23.519.376;2.921.384;12.558;2.463;53.942.976;44.235;1.157.020;2.735.755;5.773.087;4.208.966;10.207.482;4.180.502;28.307.046;2.934.415;24.758.068;7.339.227;961.159;118.648;41.889;33;36.153.439;208.942;1.802.272;6.556.537;7.793.556;3.805.670;1.618.934;0;21.785.910;1.801.194;5.927.332;5.683.593;5.958.104;2.328.432;922.149;7.383;22.628.187;6.888.913
3%;3 - Privado com Controle Estrangeiro;set/17;12,73%;11,53%;11,48%;11,60%;10,67%;9,21%;8,71%;0,06%;10,52%;10,47%;7,45%;11,20%;14,23%;13,67%;2,56%;0,01%;11,18%;28,34%;36,75%;37,01%;37,00%;37,19%;41,21%;5,74%;36,81%;2,44%;7,30%;6,62%;6,07%;5,46%;4,62%;3,83%;5,04%;17,44%;19,91%;18,21%;43,25%;76,25%;86,15%;0,00%;19,59%;5,75%;6,58%;9,15%;14,12%;11,64%;5,91%;0,00%;9,96%;18,93%;20,49%;24,66%;26,46%;25,27%;19,13%;1,05%;22,92%;11,92%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/17;1.555.620.976;3.662.860;26.601.636;68.292.163;118.886.206;58.522.002;22.646.987;411.647;299.023.501;4.923.665;15.282.630;24.501.684;23.986.371;6.949.917;1.966.770;1.211.269;78.822.305;2.406.522;17.990.021;42.059.623;53.422.952;6.860.222;26.975;42.888;122.809.203;1.805.662;15.766.822;41.099.490;94.646.824;76.784.425;220.611.215;108.785.659;559.500.097;14.635.795;113.601.972;36.061.159;1.906.188;153.192;48.585;690.954;167.097.845;3.296.295;22.048.521;54.662.515;47.028.258;28.891.299;25.013.931;855.008;181.795.827;8.536.689;25.716.980;19.867.515;20.848.633;8.645.094;4.496.772;663.962;88.775.646;57.796.553
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/17;92,99%;98,87%;97,10%;97,30%;97,53%;97,94%;97,30%;99,91%;97,52%;82,35%;78,29%;78,55%;81,06%;82,44%;78,12%;99,51%;80,06%;88,61%;82,88%;83,05%;84,04%;87,33%;88,52%;100,00%;83,79%;99,49%;99,50%;99,52%;99,50%;99,64%;99,77%;99,77%;99,68%;87,00%;91,37%;89,45%;85,77%;98,45%;99,93%;100,00%;90,53%;90,70%;80,50%;76,32%;85,18%;88,38%;91,27%;100,00%;83,08%;89,74%;88,89%;86,19%;92,61%;93,83%;93,29%;94,81%;89,91%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/17;33.543.310;1.629;32.605;77.733;93.520;17.580;21.827;0;244.895;55.304;77.556;81.841;38.088;5.088;8.207;0;266.085;247.193;3.050.933;6.995.104;8.140.167;756.092;1.025;0;19.190.514;0;0;0;0;0;0;0;0;884.996;3.392.832;1.504.662;195.405;0;0;0;5.977.894;68.122;385.119;1.967.026;3.155.994;1.622.282;509.675;0;7.708.219;13.473;34.486;46.059;49.657;10.998;1.029;0;155.703;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/17;2,01%;0,04%;0,12%;0,11%;0,08%;0,03%;0,09%;0,00%;0,08%;0,93%;0,40%;0,26%;0,13%;0,06%;0,33%;0,00%;0,27%;9,10%;14,06%;13,81%;12,81%;9,62%;3,36%;0,00%;13,09%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,26%;2,73%;3,73%;8,79%;0,00%;0,00%;0,00%;3,24%;1,87%;1,41%;2,75%;5,72%;4,96%;1,86%;0,00%;3,52%;0,14%;0,12%;0,20%;0,22%;0,12%;0,02%;0,00%;0,16%;0,00%
