Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43800;30226158;231079427;320030982;491574026;-36475543;455098483;7212911;779365;540219;-272914;8259581;284571986;139056716;60825364;1529148697;540219;1528608478
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43800;14709247;425463234;198592446;566647869;-37751311;528896558;36366;226650;71705;-3782;330939;196484658;76247701;31831415;1472556198;71705;1472484492
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43800;13058016;180434703;213295111;683657340;-34373778;649283562;0;0;0;0;0;90065383;133314563;14040086;1293491424;0;1293491424
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43800;18722672;58230763;332524032;376438407;-33440297;342998110;41663;4186657;1370804;-160382;5438742;195558532;103403096;76976906;1133852851;1370804;1132482047
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43800;9920180;43367493;187726972;280902611;-20456776;260445836;13178;4844277;2058502;-33907;6882049;239790048;91567237;17948462;857648278;2058502;855589775
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43800;1089;51365728;186820009;277975816;-13139055;264836761;0;0;0;0;0;37821094;178105169;9215939;728165789;0;728165789
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43800;1436626;35264557;32971012;66444012;-2635330;63808682;7945;1498743;481605;-14257;1974035;14522943;17133856;6187714;173299424;481605;172817820
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43800;1264638;26945152;45224493;27970872;-1261392;26709480;0;0;0;0;0;49691162;1485606;10649089;161969621;0;161969621
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43800;271869;3224523;29908927;49516883;-3346584;46170299;32;99166;1521;-2217;98502;12727806;2331159;2076750;96809836;1521;96808315
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43800;3322299;15858564;34179177;7156904;-172661;6984243;-74;76785;18573;-793;94491;27433840;4044260;292145;92209018;18573;92190446
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43800;228117;220870;2767597;70823;-4324;66498;0;0;0;0;0;4846324;71741636;11708673;91579715;0;91579715
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43800;1161174;1011687;24931591;32979599;-2510760;30468839;160;70940;39618;-2524;108195;7055826;15450788;1455763;81643863;39618;81604245
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43800;168525;3376358;39690024;10035283;-604169;9431114;0;0;0;0;0;5100772;631506;232473;58630771;0;58630771
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43800;178020;7465018;13252017;11690545;-3717;11686828;0;0;0;0;0;3010403;20702425;134108;56428819;0;56428819
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43800;17386;11819389;17994059;5243171;-87531;5155640;0;0;0;0;0;4810785;13740411;201382;53739052;0;53739052
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;43800;801460;16785317;15065565;5120191;-167442;4952750;0;0;0;0;0;11365410;4739;86648;49061888;0;49061888
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43800;40031;31229793;6902032;1391044;-4392;1386652;0;0;0;0;0;6069366;7193;93997;45729064;0;45729064
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43800;105150;2394321;7149318;12185718;-513104;11672614;0;0;0;0;0;19873672;186223;173493;41554793;0;41554793
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;43800;4525;7485880;1649733;946857;-8566;938291;0;0;0;0;0;30416861;1071;8572;40504934;0;40504934
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43800;297187;5326154;8970018;13536183;-255689;13280494;0;0;0;0;0;7989142;323935;70378;36257309;0;36257309
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43800;363417;4879675;1813809;17083533;-1118655;15964877;39740;1191211;171066;-19787;1382230;10168532;202640;956028;35731208;171066;35560143
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;43800;4211;1242794;2131437;22485395;-1597776;20887619;0;0;0;0;0;7523883;499574;619431;32908950;0;32908950
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43800;382464;3486170;3679215;19944162;-938111;19006052;0;0;0;0;0;5536349;49344;26171;32165765;0;32165765
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S4;C;2;RIO DE JANEIRO;RJ;43800;99654;9222871;19092591;388;-2;386;0;0;0;0;0;1440825;85387;563091;30504806;0;30504806
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;C;2;SAO PAULO;SP;43800;570765;3268283;9630571;253971;-6079;247891;0;0;0;0;0;12147511;41840;37212;25944074;0;25944074
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;43800;253326;7431837;10201724;3835288;-275912;3559375;0;9747;5286;-22;15011;895951;890727;317624;23565574;5286;23560288
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43800;20821;3249840;3543487;1009569;-1202;1008367;0;0;0;0;0;15640716;9824;38491;23511546;0;23511546
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;43800;267326;7944035;10647943;1147403;0;1147403;0;0;0;0;0;2198073;4;18723;22223506;0;22223506
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;43800;15131;816403;197969;17468512;-649570;16818942;702;139996;24369;-3461;161605;3183101;31069;24467;21248687;24369;21224318
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;43800;5226;2769085;1674176;779868;0;779868;0;0;0;0;0;15953465;2318;35858;21219997;0;21219997
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;43800;56335;2398431;12551020;3521876;-371440;3150435;0;0;0;0;0;1792189;250284;280147;20478841;0;20478841
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43800;248675;7374641;9289341;586133;-155;585978;0;0;0;0;0;2356226;99504;60303;20014668;0;20014668
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;43800;263223;676570;2233642;11033503;-582314;10451189;0;0;0;0;0;4472669;252522;612459;18962274;0;18962274
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;43800;93818;498446;5226504;8715026;-390250;8324776;0;106460;17712;-7420;116752;3915037;266563;43758;18485654;17712;18467942
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;43800;46044;3076057;743001;408203;-937;407266;1854;422731;30329;-15445;439468;12835851;3009;5383;17556080;30329;17525751
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;43800;140248;432452;3396359;10376808;-371023;10005785;0;0;0;0;0;2047088;780781;315853;17118566;0;17118566
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;43800;28;587838;2477238;13497209;-316526;13180683;0;0;0;0;0;506902;65191;53971;16871850;0;16871850
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;S5;C;2;SAO PAULO;SP;43800;180302;2298;792449;0;0;0;0;0;0;0;0;621380;14346132;583432;16525993;0;16525993
PAGSEGURO;1000084813;n4;;I;2;SAO PAULO;SP;43800;432136;41033;1528749;0;0;0;0;0;0;0;0;849162;9822614;3413323;16087016;0;16087016
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;43800;1511;691399;3894378;7107332;-86439;7020893;1627;468469;121840;-6289;585648;1400773;315234;363844;14273681;121840;14151840
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;43800;59236;633256;218373;10275099;-230675;10044424;0;40439;397;-339;40497;2428283;7349;169004;13600422;397;13600025
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;43800;76711;47145;645;11200298;-362000;10838298;530;203574;13231;-4377;212958;1896384;10975;9955;13093071;13231;13079839
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;43800;71927;699824;2950169;4494571;-234798;4259773;0;0;0;0;0;3342464;660202;868119;12852477;0;12852477
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;43800;3248;4229714;6256435;0;0;0;0;0;0;0;0;928157;965;17072;11435591;0;11435591
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;43800;4481;0;293113;3349257;-1113737;2235521;0;0;0;0;0;7584654;52116;842462;11012346;0;11012346
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;43800;578;1126617;9208278;0;0;0;0;0;0;0;0;323991;4;341154;11000622;0;11000622
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;43800;3912;281521;0;9983219;-314980;9668239;32;5253;3108;-78;8315;492838;20183;10735;10485743;3108;10482635
