Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43800;5263574;91189;1183278;-615106;101085;41922;6065941;-2386329;-191420;-83375;0;-1822504;-4483628;1582312;249241;457479;-887128;-794834;-220474;173286;1236935;-1115561;-901057;681255;-161276;519979;247054;-85411;681622;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43800;3347764;14388;740793;75527;59183;346627;4584282;-1615129;-153170;-11650;0;7199;-1772749;2811533;411513;558507;-997644;-887011;-240041;32450;424482;-1469187;-2166930;644603;-6689;637914;126018;-74862;689070;0
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;43800;3926687;133;59347;-29137;535;8783;3966347;-1683468;-7;-133;0;-906446;-2590054;1376293;82250;136898;-273656;-1151714;-127965;13362;671599;-616843;-1266069;110223;-52623;57600;244521;0;302121;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43800;378856;24465;1953378;544941;0;65140;2966780;-842453;-428488;-20978;-359905;-221715;-1873539;1093241;541722;31598;-428777;-377291;-96092;0;416825;-167319;-79334;1013907;4426;1018333;-130230;-60978;827124;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43800;1382260;0;1140388;0;97822;12310;2632781;-369104;-820685;0;0;-181622;-1371411;1261370;1395889;53681;-1002588;-664601;-145766;0;1000963;-625609;11968;1273338;-2507;1270832;-220008;-58916;991908;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;43800;2214096;0;166502;100485;3075;0;2484158;-986864;-22838;-17;0;-346660;-1356379;1127779;17801;6348;-99135;-737196;-61693;14188;373573;-754859;-1240973;-113194;-1052;-114246;394076;-42006;237824;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43800;1689896;252497;188313;-108837;122434;0;2144303;-601907;-60465;-174338;0;-158599;-995309;1148994;42905;67809;-201865;-332986;-93983;31564;304321;-129545;-311779;837215;-3351;833865;-134809;-57557;641498;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43800;1181194;0;356071;403430;128304;0;2068999;-410945;-614897;0;0;-180851;-1206694;862306;230565;64330;-247376;-462987;-66322;3003;213122;-447332;-712997;149308;-1850;147458;7627;-17406;137679;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43800;1495961;0;244934;35359;218467;0;1994721;-91255;-1227066;0;0;-412245;-1730566;264155;56924;5283;-112040;-100068;-35249;0;7707;-14885;-192326;71829;9;71838;124879;-17587;179129;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43800;902904;0;685971;70273;0;0;1659148;-539115;-683710;0;-1938;-56481;-1281243;377905;171152;12261;-109477;-79887;-34482;0;201369;-252667;-91730;286175;-1511;284664;67618;-76160;276121;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;43800;283832;0;836665;465884;191;0;1586573;-548138;-794343;0;0;38632;-1303849;282724;745699;0;-417564;-104404;-83404;38300;147713;-169971;156371;439095;615;439710;115412;0;555122;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43800;885370;0;663806;-41394;19366;58334;1585483;-906755;-213773;0;0;-2323;-1122851;462632;175044;794;-52375;-484054;-33332;3305;108074;-81417;-363961;98672;-9;98663;-28536;-4045;66082;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;43800;1423915;0;102137;0;0;0;1526052;-56;-11;0;-253;-545927;-546247;979805;2671;15468;-16999;-651232;-77343;0;232228;-28048;-523255;456550;855;457405;-19548;-274;437583;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;43800;1407123;60222;31646;-290;0;0;1498700;-387175;-87609;-50696;0;-196178;-721658;777043;94182;56817;-1909;-218262;-65440;0;170591;-425602;-389623;387419;-18549;368870;-28362;0;340508;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43800;561901;0;855245;-797;1669;24227;1442245;-1066928;-56830;0;0;-38807;-1162564;279681;450548;29;-78566;-115658;-72629;11463;322680;-723156;-205289;74392;-1113;73279;-19456;-7682;46140;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;43800;1253958;0;122191;0;2233;13665;1392047;-286913;-1504;0;0;-75735;-364152;1027895;48081;92029;-445455;-236170;-63593;42438;68500;-142228;-636397;391498;-3464;388034;-66616;-44302;277116;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43800;44602;0;936702;58356;321785;1561;1363006;-416511;-416838;0;0;11117;-822232;540774;656331;479;-393406;-137758;-85395;0;105557;-30210;115597;656371;-130;656241;-157876;-10935;487429;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;43800;1338335;0;8095;0;0;0;1346430;-40435;0;0;0;-699909;-740344;606085;343622;262444;-84106;-488149;-107954;-582;75997;-179533;-178262;427823;10;427834;-127923;0;299911;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;43800;564328;14024;438372;78325;136646;3;1231700;-435066;-409035;-10456;0;-174059;-1028615;203085;18545;1233;-89010;-60514;-9585;-352;157428;-229977;-212231;-9147;1661;-7486;101430;0;93944;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;43800;1028858;0;96704;10951;8109;2905;1147527;-196362;-1676;0;0;-173796;-371834;775693;20883;101696;-219325;-304299;-52108;8383;28953;-263569;-679385;96309;-81550;14759;74782;-19104;70436;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;43800;1070493;0;33232;0;0;0;1103726;-58399;0;0;-5;-478696;-537100;566626;176395;58581;-30741;-304624;-70879;0;46893;-194585;-318961;247665;454;248119;-96902;-177;151040;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S4;C;2;RIO DE JANEIRO;RJ;43800;2592;0;1087712;-42318;21871;0;1069858;-609728;-2782;0;0;-7482;-619992;449865;1694905;389197;-383929;-1377001;-150980;0;178594;-145634;205153;655018;-3992;651026;-120357;-342881;187788;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;43800;437387;2057;569819;0;2343;15605;1027211;-580689;-4390;-1690;0;-74492;-661260;365950;74515;112186;-175978;-147059;-37400;10451;22018;-96840;-238107;127843;-2436;125407;8825;-29488;104745;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;43800;9227;0;1613673;-671758;27075;0;978218;-357251;-22444;0;0;0;-379695;598523;219918;0;-205665;-111901;-37948;0;32467;-308370;-411498;187025;0;187025;11704;0;198729;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43800;22245;0;422294;153602;355484;0;953625;-144968;-127964;0;0;-124;-273057;680568;522532;4708;-290216;-114339;-58538;0;18637;-396559;-313775;366793;-31;366762;-77958;0;288805;0
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;43800;551321;0;383503;-73991;20130;0;880963;-310189;-4079;0;0;-112441;-426709;454254;52565;13008;-206628;-304636;-35617;-12234;104943;-118215;-506814;-52560;-17442;-70003;115604;-61056;-15454;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;43800;789887;0;65971;0;706;7181;863745;-146520;-362;0;0;-49835;-196717;667028;10768;56743;-255944;-188989;-38714;0;49304;-30577;-397408;269620;56;269676;-74012;-21002;174662;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;43800;228702;0;609013;0;2494;0;840210;-99503;-271435;0;0;-103580;-474519;365691;334066;79421;-292604;-152036;-55629;0;468494;-412990;-31279;334412;-62053;272359;-30602;-25600;216157;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;43800;802869;18108;19138;0;0;0;840115;-259041;0;-15756;0;-86890;-361687;478428;122559;41312;-79073;-279358;-47791;17698;62708;-49346;-211291;267136;899;268036;5202;-11801;261436;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;43800;28327;168568;267519;365763;0;0;830177;-37096;-526292;-140601;-31673;5446;-730217;99960;15433;52;-53829;-62505;-7072;0;64225;-35725;-79421;20539;1342;21881;-35056;0;-13175;0
AGIBANK - PRUDENCIAL;1000083694;b1;S4;C;2;PORTO ALEGRE;RS;43800;760449;0;27393;12;35;0;787888;-61831;0;0;0;-271874;-333704;454184;5694;11766;-51220;-281546;-34418;6469;1027;-19852;-362080;92104;36;92140;-18526;0;73614;0
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;43800;767470;6691;13844;-6718;0;0;781287;-111183;-4308;-3225;0;-154595;-273311;507976;51016;33387;-30845;-256744;-29803;1399;32474;-289297;-488413;19563;171;19734;34232;0;53966;0
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;43800;509579;105595;190299;-89528;13475;0;729421;-289909;-81250;-88711;0;4905;-454964;274456;34612;20500;-111388;-71773;-20618;5672;63208;-84161;-163948;110508;9366;119875;-30630;-4629;84615;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;43800;600383;0;93023;15;0;0;693421;0;-304904;0;0;-31145;-336048;357373;21406;0;-91506;-29220;-16363;0;14642;-31500;-132540;224832;2038;226871;-58490;0;168381;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43800;81367;0;219403;85855;234605;0;621229;-55320;-361031;0;0;2313;-414038;207191;13797;428;-61086;-47971;-8491;0;246505;-330824;-187642;19549;-8110;11440;-9794;0;1645;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;43800;573042;41538;1306;-1442;0;0;614444;-183846;-110416;-28700;0;6091;-316871;297573;3;14095;-45589;-57998;-28377;0;21111;-27217;-123972;173601;397;173998;3965;0;177964;0
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;43800;64956;0;215822;193217;138650;0;612644;-57266;-456109;0;0;-12961;-526336;86308;35791;0;-34661;-27782;-7398;0;14746;-30411;-49715;36593;0;36593;15207;-464;51336;0
PEFISA S.A. - PRUDENCIAL;1000080305;n1;S4;I;2;SAO PAULO;SP;43800;600549;0;10233;0;21;0;610803;-26031;0;0;0;-211839;-237870;372933;48187;90256;-16291;-158590;-31806;17;44754;-292248;-315722;57211;-2636;54575;-21275;0;33301;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;S4;I;3;RIO DE JANEIRO;RJ;43800;28293;561789;3317;0;0;0;593399;-52905;0;-459514;0;16195;-496223;97177;0;0;0;-26976;-3406;0;11776;-18665;-37270;59906;73;59979;-26963;0;33016;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;43800;499283;26644;21418;35329;0;0;582675;-100274;-158512;-22679;0;-28403;-309868;272807;0;36570;-35958;-115204;-22649;0;18714;-11053;-129581;143226;-7208;136018;-24573;-5332;106113;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;43800;552565;0;12486;6549;0;0;571600;-40580;-12897;0;0;-255466;-308944;262656;393600;106569;-86637;-325931;-70756;0;41401;-164723;-106477;156179;256;156435;-56935;-2226;97274;0
REALIZE CFI - PRUDENCIAL;1000084703;n1;S4;I;3;PORTO ALEGRE;RS;43800;521525;0;8882;5915;0;0;536322;-10662;-24218;0;0;-215997;-250877;285446;51927;66883;-15083;-110104;-34501;0;24685;-30580;-46773;238673;-406;238267;-95209;0;143058;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;43800;429026;0;44485;12474;0;0;485984;-106506;-48958;0;0;-92199;-247663;238321;442739;47376;-15015;-470104;-71752;0;61850;-25937;-30843;207478;1012;208490;-37535;0;170956;0
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;43800;343096;0;133383;2248;26;0;478753;-132275;-954;0;0;-77520;-210748;268005;60287;7652;-89338;-191336;-18798;3484;28356;-33260;-232953;35052;-4810;30242;3736;0;33978;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;43800;464923;6946;9022;-8968;0;0;471922;-58084;-145462;-6392;0;-80579;-290517;181405;3233;29;-23106;-41573;-11622;4630;3691;-3188;-67906;113499;-2469;111030;23266;-2857;131439;0
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;43800;401470;0;62574;0;0;0;464043;-175443;-27;0;0;-17533;-193002;271041;7449;107;-34079;-120353;-13376;26089;2796;-7761;-139128;131914;166;132080;-8616;-7174;116290;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;C;3;INDAIATUBA;SP;43800;443149;0;3848;0;0;0;446997;-15631;-185297;0;0;-69054;-269982;177015;33037;316;-32556;-24404;-11158;0;7451;-2753;-30067;146948;302;147250;-35559;-2091;109600;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;43800;364572;0;78403;0;0;0;442975;-93364;-7341;0;0;-79208;-179914;263062;44104;23895;-65074;-90789;-343;0;3007;-28334;-113534;149528;-352;149176;0;-8432;140744;-54153
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;S4;I;3;BARUERI;SP;43800;196;418574;0;0;0;0;418770;0;-23063;-337884;0;3319;-357628;61142;0;0;-8;-14735;-9370;0;3062;-365;-21415;39727;3636;43363;-3393;0;39970;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;43800;69030;0;139869;82027;116858;0;407783;-12842;-307796;0;0;447;-320192;87592;43053;57;-49096;-28198;-10342;24;5847;-7319;-45974;41618;-479;41139;4737;-1364;44512;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;43800;196197;0;74992;85279;11813;0;368280;-192865;-33919;0;0;-29722;-256507;111774;27331;3270;-69038;-36171;-8761;331;21625;-24425;-85839;25934;-1274;24660;100119;0;124780;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;C;2;SAO PAULO;SP;43800;75281;0;303388;-12478;0;0;366191;-111227;-8910;0;-3064;-398583;-521784;-155594;574862;61372;-214321;-659137;-114473;0;632551;-380996;-100142;-255736;578;-255157;81965;0;-173192;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;43800;243248;114070;3483;1084;0;0;361885;-3496;-106371;-87834;0;-20936;-218637;143248;0;594;-29233;-26339;-7892;2025;21897;-17388;-56336;86912;73;86985;-23532;0;63454;0
BANCO DIGIO - PRUDENCIAL;1000084655;b2;S4;I;3;BARUERI;SP;43800;354578;0;5637;0;0;0;360215;-28837;0;0;-108;-165865;-194810;165406;30183;12540;-20862;-151341;-19485;0;38066;-75395;-186293;-20888;861;-20027;35655;-5872;9756;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;43800;292227;0;59814;-534;0;6579;358085;-97594;-2290;0;0;-53972;-153856;204230;30168;39781;-92478;-91408;-19518;4995;23323;-39703;-144840;59390;-1265;58125;1470;-6387;53208;0
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;43800;273060;0;68549;-4025;16053;0;353637;-146396;-3737;0;0;-39813;-189946;163690;1336;20574;-45069;-55895;-12571;-45;13446;-15749;-93973;69718;-704;69013;5527;-14646;59894;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;43800;49002;0;157813;90398;44448;0;341662;-52030;-212929;0;0;-763;-265722;75940;19183;18;-35708;-19997;-5730;0;9527;-6436;-39143;36796;60;36856;-14094;-1623;21139;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;43800;182172;0;114911;-15661;55277;0;336699;-260347;-30617;0;0;-146743;-437707;-101008;16557;4932;-43643;-50707;-3437;1197;10366;-20645;-85379;-186388;5032;-181356;153552;-19765;-47569;0
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;43800;170570;0;99881;5766;52287;0;328504;-134697;-81251;-188;0;-873;-217008;111496;33977;10397;-38100;-34765;-10275;0;123048;-96001;-11720;99776;-6110;93666;-17002;-26318;50346;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;43800;250096;0;77446;0;0;0;327542;-79441;-19256;0;0;-61199;-159896;167646;20606;1258;-56022;-45941;-1904;0;15206;-14726;-81523;86123;777;86899;357;-4598;82659;-51463
MÁXIMA - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;43800;236379;0;37841;3980;48988;0;327188;-121823;0;0;0;-13268;-135091;192097;1972;2023;-22397;-166696;-12045;1239;62096;-12563;-146370;45727;-3170;42557;-10133;-2000;30424;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;43800;75701;0;132333;69988;45269;0;323291;-29578;-142665;0;0;-4088;-176331;146960;7505;0;-32786;-12107;-6518;0;2138;-28026;-69794;77165;-9;77157;-3878;-2028;71251;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;43800;284609;0;9877;9568;331;0;304385;-14018;-111989;0;0;-46072;-172079;132306;8656;8377;-61114;-20369;-8747;0;13892;-42075;-101381;30925;-14451;16474;65385;-5333;76526;0
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;43800;12177;0;295152;-8729;4105;0;302705;-265875;-6235;0;0;4460;-267649;35056;3886;0;-24685;-14151;-1073;0;3198;-10695;-43521;-8465;7;-8458;12375;-1246;2671;0
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;43800;129060;0;141166;0;0;27402;297629;-174849;0;0;0;-55244;-230093;67535;0;3070;-63743;-19319;-6153;0;3707;-11397;-93835;-26300;2374;-23926;0;0;-23926;0
RENDIMENTO - PRUDENCIAL;1000080659;b1;S4;C;2;SAO PAULO;SP;43800;84864;0;21399;-3347;188536;0;291452;-37554;-6075;0;0;-8852;-52481;238971;65330;7811;-94794;-73550;-17994;0;16903;-72160;-168454;70517;-177;70341;-23351;-4681;42309;0
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;43800;243340;19737;2841;0;0;0;265917;-394;-113092;-13912;0;-21236;-148634;117284;51844;4784;-20664;-54233;-13993;-60;7313;-3246;-28256;89028;414;89442;-2007;-1289;86147;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;43800;229;0;257815;0;0;0;258044;-250104;0;0;0;0;-250104;7941;2;0;-10573;150697;0;973;952;-150000;-7950;-9;13;4;0;0;4;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;43800;246241;0;6469;-783;0;0;251927;-102001;0;0;0;-8465;-110466;141461;23864;0;-11902;-22124;-8577;0;8609;-7587;-17717;123744;-73;123670;-28499;-759;94412;0
BEXS - PRUDENCIAL;1000080862;b2;S4;C;2;SAO PAULO;SP;43800;0;0;3468;-590;247201;0;250080;0;0;0;0;0;0;250080;15;11;-14833;-77842;-11696;0;1996;-87709;-190058;60022;-3;60018;-22755;-962;36301;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;43800;220482;0;27458;0;0;137;248077;-43384;-22434;0;0;-42759;-108576;139501;54438;19083;-66276;-72385;-3211;0;8163;-41643;-101832;37669;-545;37124;0;-7916;29208;-13208
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;S4;C;2;UBERLANDIA;MG;43800;226171;0;18643;0;0;0;244814;-44129;-4280;0;0;-125577;-173987;70827;56413;64608;-86513;-118147;-20065;8733;40241;-29028;-83759;-12932;-2608;-15540;32136;-3408;13188;0
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;S4;I;3;SAO PAULO;SP;43800;91590;0;7555;143787;0;0;242932;-7617;-77979;0;-81117;-716;-167430;75503;140;0;-5581;-357;-4307;0;77;-4159;-14186;61316;-23;61294;-2877;0;58416;0
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;S4;C;3;SAO PAULO;SP;43800;174418;38555;4;27085;0;0;240063;-33281;-88802;-23286;0;-17848;-163217;76846;1942;1408;-24208;-20340;-5760;0;34300;-2710;-15369;61478;-2078;59399;-18448;0;40952;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;43800;0;0;225861;0;0;0;225861;-221064;0;0;0;0;-221064;4797;0;0;-11304;127191;0;460;812;-122029;-4870;-73;73;0;0;0;0;0
SAX S.A. CFI - PRUDENCIAL;1000083515;n1;S4;C;2;BARUERI;SP;43800;221296;0;2083;0;0;0;223379;-11565;-74918;0;0;-107127;-193610;29769;3168;36639;-12561;-60069;-9794;0;67954;-25678;-341;29428;1299;30727;-16026;0;14701;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;43800;846;0;267757;-281441;228589;0;215751;-68349;-103123;0;0;0;-171472;44279;407392;0;-156068;-72696;-34197;0;13620;-4403;153648;197927;0;197926;-46680;-2696;148550;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;43800;186898;0;25048;0;0;67;212013;-42381;-13585;0;0;-28694;-84660;127353;43055;15581;-53774;-56608;-1299;0;8791;-40931;-85185;42168;520;42688;-866;-6538;35283;-8241
