Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43800;117328438;11367960;128696398;11899108;140595506;784730173;8447621;1291730;11786335;3475826;25001513;81567796;891299482;1546563840;0,1316;0,1444;0,1577;0,0832;0,2788
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43800;91271701;9559967;100831668;24443737;125275405;680907697;8376867;763111;3909804;521706;13571488;64572141;759051325;1228715207;0,1202;0,1328;0,165;0,0821;0,3826
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43800;71289093;25091108;96380201;35770231;132150432;612629806;17019137;822622;3550907;0;21392666;77379504;711401976;1137503369;0,1002;0,1355;0,1858;0,0847;0,1428
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43800;139005088;0;139005088;52678983;191684071;450484371;24118911;0;2728586;0;26847497;43896228;521228095;792912834;0,2667;0,2667;0,3678;0,1753;0,0435
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43800;62312231;1114800;63427031;32668669;96095699;423300877;929880;0;2859635;220364;4009878;79510550;506821306;1323695223;0,1229;0,1251;0,1896;0,0479;0,1053
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43800;61389509;5092153;66481661;5083808;71565469;408843994;5034146;5966;13385037;1810059;20235208;47965481;477044683;780532943;0,1287;0,1394;0,15;0,0852;0,1652
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43800;17431374;388094;17819468;4047788;21867256;70166108;1675705;4786763;54406425;9370500;70239393;5938507;146344008;196500902;0,1191;0,1218;0,1494;0,0907;0,43
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43800;11726494;1223088;12949583;3860411;16809993;106257588;2810015;0;1722850;2343588;6876453;7408475;120542515;196473317;0,0973;0,1074;0,1395;0,0659;0,3587
