cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;jun/21;1.122.975.147;2.808.204;12.374.337;34.848.604;71.193.808;46.510.934;40.252.233;1.727.510;209.715.629;1.271.755;5.952.583;14.787.312;18.661.748;7.130.271;3.793.719;382.601;51.979.988;33.703;502.477;1.345.355;2.077.142;495.625;293;96.634;4.551.229;960.519;14.757.708;40.639.100;95.200.366;78.973.888;233.715.843;108.752.195;572.999.621;3.020.433;33.920.673;8.489.001;541.468;25.471;24.668;198.329;46.220.043;1.352.472;22.700.779;61.346.907;62.683.916;30.714.797;26.673.302;284.775;205.756.948;2.006.699;7.778.491;8.356.865;4.164.297;2.329.759;2.819.951;255.310;27.711.372;4.040.317
1%;1 - Público;jun/21;44,96%;55,34%;37,77%;38,10%;40,96%;46,03%;54,46%;99,83%;43,71%;25,82%;21,86%;25,82%;29,64%;34,80%;44,42%;83,23%;28,58%;1,19%;1,78%;1,86%;1,93%;2,63%;0,38%;95,59%;1,98%;83,60%;72,52%;71,75%;72,19%;72,93%;75,12%;79,79%;74,83%;15,20%;17,19%;10,93%;6,58%;2,66%;9,49%;99,97%;15,18%;77,78%;63,21%;62,85%;64,78%;65,61%;73,81%;98,96%;65,27%;24,71%;23,86%;23,31%;12,59%;16,71%;28,98%;45,03%;20,70%;4,66%
2;2 - Privado Nacional;jun/21;1.033.816.814;1.359.349;16.041.724;44.850.744;81.364.850;42.760.642;25.294.902;1.282;211.673.493;3.002.829;19.045.133;36.831.578;35.899.452;10.783.052;4.070.487;60.354;109.692.887;1.864.980;17.273.764;44.157.716;65.060.850;11.080.549;41.368;35;139.479.261;147.776;4.173.275;11.798.456;27.092.469;21.703.438;57.835.419;20.786.870;143.537.702;13.013.377;126.901.306;54.377.404;5.954.361;659.899;99.997;25;201.006.369;209.361;10.616.505;28.335.861;23.615.784;10.366.514;7.187.390;150;80.331.565;4.245.442;17.369.041;17.614.109;18.861.563;6.783.872;3.694.107;157.045;68.725.179;79.370.357
2%;2 - Privado Nacional;jun/21;41,39%;26,79%;48,96%;49,03%;46,81%;42,32%;34,22%;0,07%;44,12%;60,96%;69,93%;64,30%;57,02%;52,62%;47,66%;13,13%;60,31%;65,94%;61,21%;60,94%;60,53%;58,89%;54,34%;0,03%;60,65%;12,86%;20,51%;20,83%;20,54%;20,04%;18,59%;15,25%;18,75%;65,48%;64,30%;70,04%;72,39%;68,98%;38,46%;0,01%;66,01%;12,04%;29,56%;29,03%;24,41%;22,15%;19,89%;0,05%;25,48%;52,28%;53,28%;49,14%;57,02%;48,66%;37,96%;27,70%;51,33%;91,54%
3;3 - Privado com Controle Estrangeiro;jun/21;340.962.457;907.185;4.345.943;11.768.233;21.252.181;11.775.435;8.366.612;1.680;58.417.269;650.977;2.236.975;5.662.307;8.400.912;2.577.564;676.255;16.762;20.221.752;929.610;10.445.256;26.956.608;40.339.080;7.238.647;34.461;4.420;85.948.083;40.713;1.419.972;4.206.231;9.590.862;7.607.481;19.555.790;6.762.906;49.183.956;3.840.496;36.531.617;14.775.421;1.730.077;271.317;135.327;43;57.284.298;176.991;2.593.300;7.928.345;10.458.631;5.730.270;2.278.757;2.847;29.169.140;1.868.938;7.449.001;9.875.539;10.050.543;4.827.755;3.218.031;154.607;37.444.414;3.293.545
3%;3 - Privado com Controle Estrangeiro;jun/21;13,65%;17,88%;13,27%;12,87%;12,23%;11,65%;11,32%;0,10%;12,18%;13,22%;8,21%;9,89%;13,34%;12,58%;7,92%;3,65%;11,12%;32,87%;37,01%;37,20%;37,53%;38,47%;45,27%;4,37%;37,37%;3,54%;6,98%;7,43%;7,27%;7,03%;6,29%;4,96%;6,42%;19,32%;18,51%;19,03%;21,03%;28,36%;52,05%;0,02%;18,81%;10,18%;7,22%;8,12%;10,81%;12,24%;6,31%;0,99%;9,25%;23,01%;22,85%;27,55%;30,39%;34,63%;33,07%;27,27%;27,97%;3,80%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/21;2.255.671.183;4.997.067;31.671.936;88.390.437;168.002.352;97.618.192;70.616.068;1.730.068;463.026.121;3.987.814;19.843.578;42.233.406;47.771.408;15.764.060;6.199.763;400.380;136.200.410;2.533.411;23.712.646;60.682.532;89.669.001;15.791.837;57.701;101.089;192.548.217;1.119.707;20.266.407;56.401.196;131.343.545;107.852.848;309.886.924;135.859.861;762.730.488;15.059.991;160.470.709;63.950.674;7.189.623;929.074;259.988;198.397;248.058.455;1.548.094;27.838.919;73.785.266;77.796.106;37.982.606;31.501.596;287.622;250.740.210;7.330.121;28.515.188;31.121.372;28.687.078;11.771.707;7.711.188;526.409;115.663.063;86.704.219
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/21;90,31%;98,47%;96,67%;96,64%;96,66%;96,61%;95,54%;99,98%;96,50%;80,96%;72,86%;73,73%;75,87%;76,93%;72,59%;87,09%;74,88%;89,57%;84,02%;83,75%;83,43%;83,93%;75,80%;100,00%;83,72%;97,45%;99,58%;99,57%;99,59%;99,60%;99,61%;99,68%;99,61%;75,78%;81,31%;82,37%;87,40%;97,11%;100,00%;100,00%;81,46%;89,03%;77,52%;75,59%;80,40%;81,14%;87,17%;99,95%;79,54%;90,26%;87,48%;86,82%;86,73%;84,44%;79,23%;92,85%;86,39%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/21;52.332.155;1.512;11.159;29.167;38.190;7.783;1.092;0;88.903;35.861;84.249;171.658;218.821;41.470;7.187;0;559.247;222.382;3.394.606;8.640.111;12.376.101;1.859.890;5.064;0;26.498.154;0;0;0;0;0;0;0;0;1.643.156;7.928.864;3.416.601;568.823;81;0;0;13.557.525;45.640;724.819;2.241.958;4.480.783;2.630.004;788.682;0;10.911.886;5.735;540.614;41.788;65.836;35.533;26.933;0;716.439;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/21;2,10%;0,03%;0,03%;0,03%;0,02%;0,01%;0,00%;0,00%;0,02%;0,73%;0,31%;0,30%;0,35%;0,20%;0,08%;0,00%;0,31%;7,86%;12,03%;11,92%;11,52%;9,89%;6,65%;0,00%;11,52%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;8,27%;4,02%;4,40%;6,92%;0,01%;0,00%;0,00%;4,45%;2,62%;2,02%;2,30%;4,63%;5,62%;2,18%;0,00%;3,46%;0,07%;1,66%;0,12%;0,20%;0,25%;0,28%;0,00%;0,54%;0,00%
