cat;Categoria;Data;Qt_Operações
C;C - Conglomerado;jun/21;326.844.230
C%;C - Conglomerado;jun/21;66,94%
I;I - Instituição independente;jun/21;161.453.581
I%;I - Instituição independente;jun/21;33,06%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/21;358.295.494
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/21;73,38%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/21;13.059.636
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/21;2,67%
b3S;b3S - Cooperativa de Crédito Singulares;jun/21;12.138.293
b3S%;b3S - Cooperativa de Crédito Singulares;jun/21;2,49%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;jun/21;512
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/21;0,00%
b4;b4 - Banco de Desenvolvimento;jun/21;103.736
b4%;b4 - Banco de Desenvolvimento;jun/21;0,02%
n1;n1 - Não Bancário de Crédito;jun/21;53.215.623
n1%;n1 - Não Bancário de Crédito;jun/21;10,90%
n2;n2 - Não Bancário de Mercado de Capitais;jun/21;176
n2%;n2 - Não Bancário de Mercado de Capitais;jun/21;0,00%
n4;n4 - Instituições de Pagamento;jun/21;51.484.341
n4%;n4 - Instituições de Pagamento;jun/21;10,54%
1;1 - Público;jun/21;83.362.478
1%;1 - Público;jun/21;17,07%
2;2 - Privado Nacional;jun/21;326.387.294
2%;2 - Privado Nacional;jun/21;66,84%
3;3 - Privado com Controle Estrangeiro;jun/21;78.548.039
3%;3 - Privado com Controle Estrangeiro;jun/21;16,09%
