cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;dez/16;852.056.705;2.163.042;11.902.006;30.682.008;55.247.156;29.134.901;14.615.854;358.309;144.103.276;1.797.485;5.461.416;10.392.015;12.274.481;4.563.579;1.869.664;954.362;37.313.001;507.511;2.403.059;5.658.442;7.084.926;789.395;2.722;25.706;16.471.761;1.621.257;12.814.050;33.785.200;77.609.849;62.209.680;171.794.837;77.270.820;437.105.692;3.145.458;27.040.960;4.972.421;228.640;47;0;672.568;36.060.094;2.911.144;10.942.311;50.946.544;35.767.745;23.332.666;23.874.845;1.108.083;148.883.338;3.042.418;8.083.262;7.670.085;5.403.706;2.546.218;2.451.759;467.778;29.665.225;2.454.319
1%;1 - Público;dez/16;52,71%;60,82%;45,14%;46,05%;48,05%;52,76%;70,32%;99,66%;50,06%;28,08%;27,27%;34,19%;42,10%;56,27%;75,86%;98,51%;38,26%;15,78%;10,79%;11,02%;11,44%;11,57%;6,52%;91,48%;11,31%;88,05%;83,56%;85,45%;85,17%;84,59%;82,03%;74,54%;81,78%;17,09%;21,49%;13,16%;13,12%;0,03%;0,00%;99,94%;19,53%;76,53%;68,97%;62,87%;69,57%;75,37%;83,57%;99,99%;69,98%;31,17%;29,77%;30,48%;25,23%;31,04%;54,57%;83,01%;30,66%;4,31%
2;2 - Privado Nacional;dez/16;567.653.993;1.022.803;11.805.733;29.184.835;49.206.926;21.921.506;4.991.088;1.019;118.133.910;4.227.911;12.964.519;17.376.919;13.416.927;2.637.338;530.391;14.306;51.168.312;1.861.479;12.045.150;27.537.594;33.794.797;3.854.110;23.191;4;79.116.324;175.893;1.394.659;3.036.683;7.812.086;7.175.080;27.503.254;22.051.668;69.149.323;12.401.634;75.965.082;26.166.862;584.812;11.054;428;369;115.130.243;659.911;4.195.244;23.144.091;8.889.543;4.050.242;3.080.624;67;44.019.722;4.965.437;14.622.844;10.838.203;10.332.348;3.359.078;1.299.348;90.079;45.507.337;45.428.822
2%;2 - Privado Nacional;dez/16;35,11%;28,76%;44,78%;43,81%;42,80%;39,70%;24,01%;0,28%;41,04%;66,06%;64,73%;57,16%;46,02%;32,52%;21,52%;1,48%;52,47%;57,88%;54,08%;53,65%;54,58%;56,47%;55,52%;0,01%;54,33%;9,55%;9,09%;7,68%;8,57%;9,76%;13,13%;21,27%;12,94%;67,38%;60,38%;69,26%;33,55%;7,83%;0,98%;0,05%;62,37%;17,35%;26,44%;28,56%;17,29%;13,08%;10,78%;0,01%;20,69%;50,88%;53,85%;43,07%;48,25%;40,95%;28,92%;15,98%;47,04%;79,72%
3;3 - Privado com Controle Estrangeiro;dez/16;196.886.364;370.488;2.657.781;6.756.259;10.512.651;4.164.290;1.178.221;214;25.639.904;375.075;1.603.881;2.628.897;3.461.884;909.821;64.644;163;9.044.365;846.993;7.825.956;18.135.151;21.038.904;2.181.032;15.856;2.390;50.046.281;44.176;1.126.642;2.716.976;5.696.466;4.155.161;10.130.207;4.342.493;28.212.121;2.858.273;22.806.794;6.639.354;929.559;130.098;43.457;26;33.407.561;232.831;728.099;6.950.420;6.755.625;3.576.425;1.611.527;0;19.854.928;1.751.401;4.448.438;6.653.450;5.679.310;2.297.822;741.970;5.696;21.578.088;9.103.116
3%;3 - Privado com Controle Estrangeiro;dez/16;12,18%;10,42%;10,08%;10,14%;9,14%;7,54%;5,67%;0,06%;8,91%;5,86%;8,01%;8,65%;11,87%;11,22%;2,62%;0,02%;9,27%;26,34%;35,13%;35,33%;33,98%;31,96%;37,96%;8,50%;34,36%;2,40%;7,35%;6,87%;6,25%;5,65%;4,84%;4,19%;5,28%;15,53%;18,13%;17,57%;53,33%;92,14%;99,02%;0,00%;18,10%;6,12%;4,59%;8,58%;13,14%;11,55%;5,64%;0,00%;9,33%;17,95%;16,38%;26,44%;26,52%;28,01%;16,51%;1,01%;22,30%;15,97%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/16;1.502.990.144;3.521.214;25.666.812;65.030.377;112.435.666;54.202.499;20.354.496;359.116;281.570.179;4.621.637;15.137.850;23.104.860;23.882.044;6.848.478;1.994.894;954.676;76.544.439;2.808.088;18.218.871;41.900.809;51.484.882;5.904.827;37.492;28.099;120.383.069;1.832.569;15.255.518;39.357.602;90.694.979;73.221.722;208.934.211;103.410.603;532.707.204;16.272.630;116.456.932;34.276.495;1.509.348;139.765;43.809;672.594;169.371.572;3.464.038;12.702.972;63.881.169;43.753.612;27.324.491;25.911.904;1.108.041;178.146.227;9.100.134;23.856.805;21.862.874;19.973.182;7.770.239;4.202.960;515.003;87.281.196;56.986.257
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/16;92,97%;99,01%;97,35%;97,61%;97,80%;98,16%;97,93%;99,88%;97,81%;72,21%;75,58%;76,01%;81,92%;84,44%;80,94%;98,54%;78,49%;87,32%;81,79%;81,63%;83,15%;86,52%;89,76%;100,00%;82,66%;99,52%;99,48%;99,54%;99,54%;99,57%;99,76%;99,75%;99,67%;88,41%;92,56%;90,73%;86,59%;98,98%;99,83%;99,95%;91,75%;91,07%;80,07%;78,83%;85,10%;88,26%;90,71%;99,99%;83,73%;93,25%;87,86%;86,89%;93,27%;94,72%;93,54%;91,39%;90,21%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/16;32.810.750;884;9.914;21.826;25.433;2.596;0;0;60.653;4.261;20.156;46.816;31.671;3.911;2;0;106.817;265.821;3.196.502;7.369.127;8.067.006;695.811;959;0;19.595.225;0;0;0;0;0;0;0;0;952.705;3.069.670;1.229.319;179.629;0;0;0;5.431.323;60.012;200.517;1.946.801;3.123.083;1.558.746;543.379;0;7.432.538;8.233;42.100;72.755;50.720;10.349;38;0;184.194;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/16;2,03%;0,02%;0,04%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,07%;0,10%;0,15%;0,11%;0,05%;0,00%;0,00%;0,11%;8,27%;14,35%;14,36%;13,03%;10,20%;2,30%;0,00%;13,46%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,18%;2,44%;3,25%;10,31%;0,00%;0,00%;0,00%;2,94%;1,58%;1,26%;2,40%;6,07%;5,03%;1,90%;0,00%;3,49%;0,08%;0,16%;0,29%;0,24%;0,13%;0,00%;0,00%;0,19%;0,00%
