cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;dez/16;913.410.718;5.486.532;20.947.014;30.367.385;44.191.364;16.180.325;3.734.916;1.311.971;122.219.506;278.896;1.298.710;3.468.454;8.364.529;5.403.169;21.106.265;3.858.930;43.778.953;1.137.056;3.463.808;4.307.619;352.493;561;0;99.542;9.361.078;504.841;6.224.545;1.560.330;516.639;122.011;49.393;178;8.977.938;637.169;8.334.878;18.670.934;18.125.576;8.690.884;4.074.765;0;58.534.206;5.287.184;7.011.522;10.087.201;18.364.270;18.249.275;7.912.842;731.335;67.643.630;4.035.978;24.941.484;62.550.323;126.952.103;85.881.646;171.418.769;44.896.730;520.677.033;347.877;2.931.265;11.114.244;6.415.768;2.739.778;4.037.241;14.145;27.600.317;276.879;4.665.828;5.996.621;7.097.064;610.486;367.867;124.762;19.139.508
1%;1 - Público;dez/16;48,17%;49,80%;33,58%;33,20%;43,25%;58,18%;52,79%;89,46%;40,29%;22,52%;14,17%;19,37%;35,79%;70,04%;93,83%;89,34%;50,78%;31,38%;12,59%;40,10%;44,73%;0,29%;0,00%;39,85%;21,44%;36,19%;10,29%;8,31%;36,00%;13,35%;15,71%;1,20%;10,77%;34,80%;24,73%;29,95%;47,58%;56,52%;62,82%;0,00%;37,09%;48,91%;32,84%;39,71%;58,99%;81,34%;79,40%;75,96%;55,42%;82,83%;72,14%;70,44%;72,94%;84,75%;90,68%;90,74%;81,08%;87,18%;32,74%;32,19%;47,90%;52,48%;82,15%;71,69%;40,93%;35,86%;66,31%;42,79%;39,79%;18,96%;19,62%;97,53%;42,64%
2;2 - Privado Nacional;dez/16;745.576.083;4.646.128;27.666.712;46.015.499;44.974.914;8.006.256;2.139.206;14.829;133.463.544;784.235;4.994.222;8.995.172;8.723.605;1.343.295;273.240;3.048;25.116.817;2.167.637;19.694.937;3.716.830;98.875;37.196;484.665;4.020;26.204.160;609.012;32.486.589;5.712.337;593.887;279.178;233.530;0;39.914.534;551.023;14.272.624;25.239.682;13.134.338;5.461.336;1.423.108;0;60.082.112;4.454.671;10.946.717;11.920.593;9.574.028;3.023.297;1.796.386;76.246;41.791.939;332.777;6.459.599;17.727.401;32.629.463;11.960.888;15.028.645;2.678.227;86.817.002;34.033;4.693.440;18.822.615;5.096.615;1.868.817;515.324;125;31.030.968;248.142;1.205.732;4.794.100;8.849.674;2.423.763;189.138;1.725;17.712.274
2%;2 - Privado Nacional;dez/16;39,32%;42,17%;44,36%;50,31%;44,02%;28,79%;30,23%;1,01%;43,99%;63,32%;54,50%;50,24%;37,33%;17,41%;1,21%;0,07%;29,14%;59,83%;71,56%;34,60%;12,55%;19,43%;90,26%;1,61%;60,03%;43,66%;53,69%;30,43%;41,39%;30,54%;74,30%;0,00%;47,89%;30,09%;42,35%;40,49%;34,48%;35,52%;21,94%;0,00%;38,07%;41,21%;51,27%;46,93%;30,76%;13,48%;18,02%;7,92%;34,24%;6,83%;18,68%;19,96%;18,75%;11,80%;7,95%;5,41%;13,52%;8,53%;52,42%;54,52%;38,05%;35,79%;10,49%;0,63%;46,02%;32,14%;17,13%;34,21%;49,61%;75,26%;10,09%;1,35%;39,46%
3;3 - Privado com Controle Estrangeiro;dez/16;237.270.609;884.799;13.757.152;15.073.814;13.012.250;3.623.834;1.201.529;139.808;47.693.186;175.384;2.870.693;5.442.323;6.283.413;967.716;1.114.443;457.305;17.311.276;318.570;4.362.199;2.718.229;336.736;153.689;52.328;146.215;8.087.966;281.112;21.791.888;11.498.553;324.450;512.858;31.395;14.713;34.454.967;642.862;11.092.598;18.420.352;6.835.883;1.224.262;988.293;4.430;39.208.679;1.067.736;3.390.988;3.394.929;3.190.969;1.163.099;257.126;155.156;12.620.002;503.926;3.173.246;8.518.070;14.474.082;3.496.561;2.581.264;1.905.975;34.653.124;17.136;1.329.159;4.590.036;1.882.334;612.408;361.996;5.461;8.798.530;247.005;1.165.255;3.221.826;1.890.122;186.326;1.317.714;1.435;8.029.681
3%;3 - Privado com Controle Estrangeiro;dez/16;12,51%;8,03%;22,06%;16,48%;12,73%;13,03%;16,98%;9,53%;15,72%;14,16%;31,33%;30,39%;26,88%;12,54%;4,95%;10,59%;20,08%;8,79%;15,85%;25,30%;42,73%;80,28%;9,74%;58,54%;18,53%;20,15%;36,02%;61,26%;22,61%;56,11%;9,99%;98,80%;41,34%;35,11%;32,92%;29,55%;17,94%;7,96%;15,24%;100,00%;24,84%;9,88%;15,88%;13,36%;10,25%;5,18%;2,58%;16,12%;10,34%;10,34%;9,18%;9,59%;8,32%;3,45%;1,37%;3,85%;5,40%;4,29%;14,84%;13,29%;14,05%;11,73%;7,37%;27,68%;13,05%;31,99%;16,56%;22,99%;10,60%;5,79%;70,29%;1,12%;17,89%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/16;1.456.470.145;10.570.045;57.709.023;83.635.968;95.341.220;25.988.944;6.501.553;1.460.425;281.207.179;1.055.769;6.670.824;13.014.540;16.769.441;6.208.401;21.998.554;4.313.548;70.031.078;3.533.644;25.981.999;9.104.505;735.870;177.706;530.897;245.757;40.310.378;1.132.688;53.203.315;13.362.860;1.382.211;902.013;313.892;14.891;70.311.870;1.830.378;33.700.080;62.329.588;38.069.826;15.376.482;6.468.213;2.435;157.777.002;10.634.064;20.695.409;24.193.704;30.146.413;22.132.803;9.856.389;945.521;118.604.302;1.843.143;16.921.278;43.951.900;80.602.353;35.876.637;66.748.023;22.416.156;268.359.492;387.325;8.418.262;32.983.709;11.365.330;3.573.085;2.980.023;19.730;59.727.465;771.610;7.028.524;13.972.415;17.825.976;3.220.550;1.874.715;127.922;44.821.714
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/16;76,81%;95,94%;92,53%;91,45%;93,31%;93,45%;91,89%;99,58%;92,69%;85,24%;72,80%;72,68%;71,75%;80,48%;97,80%;99,87%;81,24%;97,53%;94,41%;84,75%;93,37%;92,82%;98,86%;98,39%;92,34%;81,20%;87,93%;71,19%;96,32%;98,68%;99,86%;100,00%;84,36%;99,96%;100,00%;100,00%;99,93%;100,00%;99,72%;54,97%;99,97%;98,38%;96,94%;95,24%;96,84%;98,65%;98,90%;98,21%;97,17%;37,83%;48,94%;49,50%;46,31%;35,40%;35,31%;45,30%;41,79%;97,06%;94,02%;95,53%;84,85%;68,44%;60,64%;100,00%;88,58%;99,95%;99,88%;99,71%;99,94%;100,00%;100,00%;100,00%;99,87%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/16;41.228.053;80.816;1.554.725;1.410.959;776.795;355.885;55.330;0;4.234.510;79.706;1.512.084;2.618.535;3.020.933;351.898;26.941;0;7.610.097;0;0;0;0;0;0;0;0;136.800;3.447.160;5.051.951;43.760;11.650;0;0;8.691.322;675;21;1.380;25.971;0;17.954;1.995;47.996;7.300;92.875;160.920;64.520;10.813;360;0;336.787;408.460;2.353.100;6.091.822;8.740.822;1.972.886;371.516;22.994;19.961.599;740;18.202;76.315;145.914;68.800;20.955;0;330.926;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/16;2,17%;0,73%;2,49%;1,54%;0,76%;1,28%;0,78%;0,00%;1,40%;6,44%;16,50%;14,62%;12,93%;4,56%;0,12%;0,00%;8,83%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;9,81%;5,70%;26,91%;3,05%;1,27%;0,00%;0,00%;10,43%;0,04%;0,00%;0,00%;0,07%;0,00%;0,28%;45,03%;0,03%;0,07%;0,44%;0,63%;0,21%;0,05%;0,00%;0,00%;0,28%;8,38%;6,81%;6,86%;5,02%;1,95%;0,20%;0,05%;3,11%;0,19%;0,20%;0,22%;1,09%;1,32%;0,43%;0,00%;0,49%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
