cat;Categoria;Data;Qt_Operações
C;C - Conglomerado;dez/18;303.087.973
C%;C - Conglomerado;dez/18;74,96%
I;I - Instituição independente;dez/18;101.232.221
I%;I - Instituição independente;dez/18;25,04%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/18;336.266.779
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/18;83,17%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/18;9.990.702
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/18;2,47%
b3S;b3S - Cooperativa de Crédito Singulares;dez/18;9.330.397
b3S%;b3S - Cooperativa de Crédito Singulares;dez/18;2,31%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;dez/18;486
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/18;0,00%
b4;b4 - Banco de Desenvolvimento;dez/18;122.515
b4%;b4 - Banco de Desenvolvimento;dez/18;0,03%
n1;n1 - Não Bancário de Crédito;dez/18;42.775.565
n1%;n1 - Não Bancário de Crédito;dez/18;10,58%
n2;n2 - Não Bancário de Mercado de Capitais;dez/18;156
n2%;n2 - Não Bancário de Mercado de Capitais;dez/18;0,00%
n4;n4 - Instituições de Pagamento;dez/18;5.833.594
n4%;n4 - Instituições de Pagamento;dez/18;1,44%
1;1 - Público;dez/18;76.915.013
1%;1 - Público;dez/18;19,02%
2;2 - Privado Nacional;dez/18;265.146.750
2%;2 - Privado Nacional;dez/18;65,58%
3;3 - Privado com Controle Estrangeiro;dez/18;62.258.431
3%;3 - Privado com Controle Estrangeiro;dez/18;15,40%
