cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;dez/18;918.059.981;2.518.643;11.844.722;31.110.475;58.558.948;32.551.991;17.344.925;432.889;154.362.595;1.149.288;5.057.093;10.108.331;12.230.809;4.751.933;2.202.484;950.540;36.450.479;199.260;1.073.456;2.323.561;2.318.111;347.930;293;110.270;6.372.881;1.320.637;13.672.099;36.081.347;83.274.529;67.717.752;193.278.899;89.858.736;485.203.999;2.440.653;31.021.966;6.818.287;421.836;14.896;13.931;398.699;41.130.267;2.304.055;10.785.166;57.998.475;39.998.577;27.652.957;21.691.772;194.331;160.625.333;2.442.054;7.762.036;7.923.077;6.077.131;3.347.253;2.684.114;415.314;30.650.978;3.263.448
1%;1 - Público;dez/18;49,25%;60,26%;39,89%;41,02%;43,99%;49,63%;60,90%;99,59%;45,76%;18,57%;23,89%;29,08%;35,58%;42,70%;63,54%;97,49%;32,53%;7,86%;4,50%;4,07%;2,99%;3,35%;1,02%;96,99%;3,72%;85,12%;82,62%;84,39%;84,10%;83,71%;81,40%;74,43%;81,01%;14,12%;19,15%;12,81%;13,68%;8,24%;21,09%;99,99%;17,41%;78,56%;64,01%;60,77%;65,90%;73,21%;78,82%;99,51%;66,53%;25,98%;27,55%;28,42%;25,40%;33,16%;45,83%;77,45%;28,95%;5,38%
2;2 - Privado Nacional;dez/18;693.480.918;1.044.997;13.986.739;34.724.025;57.855.409;25.512.238;7.911.764;1.032;141.036.204;4.054.306;14.437.184;21.276.242;17.893.146;4.646.654;976.569;6.572;63.290.674;1.525.803;13.773.482;32.799.023;44.620.034;5.757.122;12.602;0;98.488.066;190.260;1.578.020;3.551.324;9.146.074;8.364.037;32.522.692;25.948.423;81.300.831;11.483.421;100.855.421;36.284.743;1.469.759;28.657;212;0;150.122.213;455.785;5.223.210;27.823.106;12.426.736;5.294.079;3.693.115;963;54.916.994;4.881.770;14.656.067;11.839.790;10.863.993;3.258.126;1.638.385;87.483;47.225.614;57.100.323
2%;2 - Privado Nacional;dez/18;37,20%;25,00%;47,10%;45,78%;43,46%;38,90%;27,78%;0,24%;41,81%;65,50%;68,21%;61,22%;52,06%;41,76%;28,17%;0,67%;56,48%;60,17%;57,71%;57,45%;57,63%;55,48%;44,13%;0,00%;57,45%;12,26%;9,54%;8,31%;9,24%;10,34%;13,70%;21,49%;13,57%;66,45%;62,27%;68,15%;47,65%;15,86%;0,32%;0,00%;63,55%;15,54%;31,00%;29,15%;20,47%;14,02%;13,42%;0,49%;22,75%;51,94%;52,02%;42,46%;45,40%;32,28%;27,98%;16,31%;44,61%;94,11%
3;3 - Privado com Controle Estrangeiro;dez/18;252.426.492;616.243;3.861.753;10.010.060;16.717.071;7.526.862;3.223.748;740;41.956.478;986.287;1.672.011;3.371.384;4.249.262;1.729.696;287.410;17.893;12.313.942;810.812;9.018.155;21.967.486;30.484.682;4.272.374;15.665;3.419;66.572.593;40.685;1.298.851;3.122.016;6.597.939;4.810.701;11.652.877;4.921.691;32.444.760;3.358.413;30.086.152;10.136.582;1.192.812;137.135;51.911;28;44.963.034;172.983;841.269;9.625.071;8.273.660;4.825.227;2.136.147;0;25.874.357;2.075.644;5.754.095;8.120.330;6.986.382;3.489.380;1.533.794;33.439;27.993.064;308.263
3%;3 - Privado com Controle Estrangeiro;dez/18;13,54%;14,74%;13,01%;13,20%;12,56%;11,48%;11,32%;0,17%;12,44%;15,93%;7,90%;9,70%;12,36%;15,54%;8,29%;1,84%;10,99%;31,97%;37,79%;38,48%;39,37%;41,17%;54,85%;3,01%;38,83%;2,62%;7,85%;7,30%;6,66%;5,95%;4,91%;4,08%;5,42%;19,43%;18,58%;19,04%;38,67%;75,90%;78,59%;0,01%;19,03%;5,90%;4,99%;10,08%;13,63%;12,77%;7,76%;0,00%;10,72%;22,08%;20,42%;29,12%;29,20%;34,57%;26,19%;6,24%;26,44%;0,51%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/18;1.711.292.208;4.128.126;28.754.202;73.686.439;129.406.543;63.777.398;27.241.282;434.262;327.428.253;4.962.871;16.349.083;25.638.435;26.804.555;9.024.346;2.695.547;968.689;86.443.526;2.266.629;19.932.495;47.383.952;64.413.838;8.799.616;23.323;113.689;142.933.542;1.526.350;16.457.969;42.530.096;98.541.335;80.615.256;236.817.835;120.486.956;596.975.797;14.537.032;142.481.340;45.855.407;2.421.250;168.321;65.972;398.727;205.928.049;2.645.506;13.184.391;73.254.722;50.556.198;32.890.126;25.075.523;194.672;197.801.138;7.950.494;24.424.403;24.002.364;21.787.555;9.251.855;5.198.860;494.339;93.109.870;60.672.033
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/18;91,81%;98,76%;96,84%;97,15%;97,20%;97,23%;95,65%;99,91%;97,06%;80,18%;77,24%;73,77%;77,98%;81,09%;77,76%;99,35%;77,14%;89,38%;83,52%;83,00%;83,20%;84,80%;81,66%;100,00%;83,38%;98,37%;99,45%;99,47%;99,52%;99,66%;99,73%;99,80%;99,67%;84,11%;87,97%;86,13%;78,50%;93,16%;99,87%;100,00%;87,18%;90,20%;78,25%;76,75%;83,29%;87,07%;91,11%;99,68%;81,93%;84,58%;86,70%;86,08%;91,06%;91,65%;88,77%;92,19%;87,95%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/18;41.529.047;2.948;54.223;139.863;228.650;100.424;33.265;0;559.373;49.995;92.241;135.604;73.786;7.362;6.875;0;365.864;213.732;3.197.673;7.803.616;10.152.705;1.091.163;1.876;0;22.460.765;1.818;8.681;23.088;42.445;27.769;32.654;498;136.952;1.081.026;4.872.219;2.113.925;374.828;11;0;0;8.442.008;39.300;202.521;2.333.494;3.524.154;2.110.472;773.942;0;8.983.882;7.574;332.559;52.904;91.817;49.048;46.247;54;580.203;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/18;2,23%;0,07%;0,18%;0,18%;0,17%;0,15%;0,12%;0,00%;0,17%;0,81%;0,44%;0,39%;0,21%;0,07%;0,20%;0,00%;0,33%;8,43%;13,40%;13,67%;13,11%;10,51%;6,57%;0,00%;13,10%;0,12%;0,05%;0,05%;0,04%;0,03%;0,01%;0,00%;0,02%;6,26%;3,01%;3,97%;12,15%;0,01%;0,00%;0,00%;3,57%;1,34%;1,20%;2,44%;5,81%;5,59%;2,81%;0,00%;3,72%;0,08%;1,18%;0,19%;0,38%;0,49%;0,79%;0,01%;0,55%;0,00%
