cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;dez/18;785.720.859;3.126.241;10.041.218;23.130.017;36.746.812;13.378.845;4.484.510;894.512;91.802.155;458.565;2.982.860;9.402.174;13.698.571;9.996.959;28.444.983;379.718;65.363.830;545.802;2.437.728;2.289.207;67.241;144;0;34.786;5.374.908;188.160;5.413.234;2.497.600;241.550;49.446;0;0;8.389.990;629.091;12.601.968;16.808.511;8.738.062;11.524.393;6.259.895;0;56.561.919;3.389.752;4.647.466;5.151.153;5.682.256;3.384.217;3.956.057;1.170.566;27.381.467;1.600.056;21.680.497;48.090.931;98.639.859;69.172.543;171.283.527;43.832.268;454.299.680;96.084;2.791.404;10.517.338;9.056.428;2.977.059;2.830.280;129;28.268.723;924.919;2.129.053;4.522.021;5.259.660;452.621;187.066;66.878;13.542.220
1%;1 - Público;dez/18;44,29%;48,13%;21,82%;26,72%;36,58%;50,05%;51,07%;64,53%;33,21%;48,51%;26,68%;36,41%;40,73%;66,68%;95,93%;48,15%;55,86%;26,08%;9,79%;24,85%;13,20%;0,13%;0,00%;14,59%;14,02%;22,17%;6,28%;7,46%;20,72%;15,10%;0,00%;0,00%;6,85%;43,93%;28,44%;26,81%;29,07%;62,86%;28,43%;0,00%;31,63%;45,14%;29,75%;27,15%;28,05%;40,35%;54,28%;39,44%;33,80%;73,65%;74,84%;74,37%;78,22%;84,14%;92,09%;94,19%;84,65%;76,19%;35,34%;46,10%;69,51%;71,20%;76,81%;51,14%;54,64%;74,77%;67,05%;54,81%;47,60%;26,98%;46,03%;90,49%;52,35%
2;2 - Privado Nacional;dez/18;734.681.327;2.473.931;25.663.839;49.128.918;50.553.121;10.330.543;3.376.920;42.392;141.569.665;375.989;4.291.339;9.199.039;10.660.962;2.167.542;410.541;29.064;27.134.476;1.246.586;18.416.629;4.915.955;131.269;7.440;1.233.821;6.362;25.958.063;345.148;49.774.061;13.629.729;510.270;149.507;29.622;413.934;64.852.272;430.607;17.288.876;26.479.089;13.476.446;4.939.896;12.579.011;14.472;75.208.396;2.917.004;7.741.632;10.869.541;9.151.436;3.509.698;2.903.028;1.572.700;38.665.037;294.440;4.813.254;10.876.900;19.006.506;9.254.861;11.007.101;2.101.514;57.354.577;21.813;2.772.956;7.565.623;2.649.428;625.356;522.177;123;14.157.476;251.781;685.802;2.614.486;5.303.416;1.214.268;176.845;6.644;10.253.241
2%;2 - Privado Nacional;dez/18;41,41%;38,08%;55,78%;56,75%;50,32%;38,65%;38,46%;3,06%;51,21%;39,77%;38,39%;35,62%;31,70%;14,46%;1,38%;3,69%;23,19%;59,57%;74,00%;53,36%;25,77%;6,74%;94,92%;2,67%;67,69%;40,67%;57,74%;40,69%;43,77%;45,67%;27,74%;98,59%;52,91%;30,07%;39,02%;42,24%;44,84%;26,95%;57,14%;100,00%;42,05%;38,85%;49,56%;57,29%;45,17%;41,85%;39,84%;52,99%;47,73%;13,55%;16,62%;16,82%;15,07%;11,26%;5,92%;4,52%;10,69%;17,30%;35,11%;33,16%;20,33%;14,96%;14,17%;48,86%;27,36%;20,35%;21,60%;31,69%;48,00%;72,38%;43,51%;8,99%;39,63%
3;3 - Privado com Controle Estrangeiro;dez/18;253.593.947;895.802;10.307.828;14.304.268;13.162.946;3.020.480;919.882;449.349;43.060.556;110.785;3.905.151;7.222.954;9.274.191;2.827.144;794.952;379.763;24.514.939;300.149;4.033.270;2.007.045;310.857;102.863;66.041;197.253;7.017.478;315.291;31.009.096;17.368.109;413.889;128.429;77.156;5.917;49.317.888;372.426;14.416.015;19.399.861;7.841.713;1.867.682;3.177.193;0;47.074.889;1.202.095;3.231.737;2.950.558;5.424.060;1.492.328;428.541;224.728;14.954.046;277.953;2.474.279;5.696.252;8.461.222;3.784.045;3.699.277;603.543;24.996.570;8.220;2.334.636;4.732.329;1.323.276;579.121;332.305;0;9.309.886;60.345;360.270;1.114.350;486.220;10.855;42.503;386;2.074.928
3%;3 - Privado com Controle Estrangeiro;dez/18;14,30%;13,79%;22,40%;16,52%;13,10%;11,30%;10,48%;32,41%;15,58%;11,72%;34,93%;27,97%;27,57%;18,86%;2,68%;48,16%;20,95%;14,34%;16,21%;21,79%;61,03%;93,13%;5,08%;82,74%;18,30%;37,15%;35,97%;51,85%;35,51%;39,23%;72,26%;1,41%;40,24%;26,01%;32,54%;30,95%;26,09%;10,19%;14,43%;0,00%;26,32%;16,01%;20,69%;15,55%;26,78%;17,79%;5,88%;7,57%;18,46%;12,79%;8,54%;8,81%;6,71%;4,60%;1,99%;1,30%;4,66%;6,52%;29,56%;20,74%;10,16%;13,85%;9,02%;0,00%;17,99%;4,88%;11,35%;13,51%;4,40%;0,65%;10,46%;0,52%;8,02%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/18;1.362.233.788;6.160.954;39.978.170;76.116.243;89.659.749;23.807.551;7.902.723;1.274.608;244.899.999;828.375;7.741.305;19.559.496;24.601.473;12.077.705;29.079.228;777.504;94.665.085;1.936.164;23.139.512;7.272.025;416.837;105.665;1.288.503;232.038;34.390.744;518.377;76.183.335;24.028.880;1.019.749;238.162;37.275;419.851;102.445.630;1.373.497;44.282.053;62.687.461;30.056.220;18.329.598;21.994.753;14.472;178.738.053;7.352.199;14.555.424;17.542.714;18.395.030;7.723.962;6.841.610;2.949.154;75.360.092;1.186.097;13.231.936;31.651.814;53.461.925;31.983.194;66.128.725;18.681.343;216.325.034;115.776;7.245.671;21.151.003;10.653.547;2.665.496;2.185.111;152;44.016.756;1.237.045;3.175.113;8.250.825;11.034.880;1.677.668;406.096;73.908;25.855.535
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/18;76,79%;94,84%;86,88%;87,93%;89,25%;89,07%;89,99%;91,95%;88,59%;87,63%;69,25%;75,74%;73,15%;80,56%;98,07%;98,60%;80,90%;92,53%;92,98%;78,94%;81,83%;95,67%;99,13%;97,33%;89,67%;61,09%;88,38%;71,74%;87,48%;72,75%;34,91%;100,00%;83,59%;95,91%;99,94%;100,00%;100,00%;99,99%;99,90%;100,00%;99,94%;97,91%;93,18%;92,47%;90,80%;92,10%;93,88%;99,37%;93,04%;54,60%;45,68%;48,95%;42,39%;38,90%;35,56%;40,14%;40,31%;91,80%;91,73%;92,71%;81,77%;63,74%;59,30%;60,03%;85,08%;100,00%;100,00%;100,00%;99,87%;100,00%;99,92%;100,00%;99,94%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/18;45.974.637;27.019;1.966.672;1.531.618;704.883;139.322;4.911;0;4.374.425;40.970;2.201.941;3.245.167;4.536.909;1.429.439;58.259;389;11.513.072;0;0;0;0;0;0;0;0;238.973;6.110.683;8.643.121;140.310;88.690;69.287;0;15.291.064;58.627;24.806;0;0;2.372;21.346;0;107.151;9.169;379.584;101.113;429.244;19.837;3.636;8.888;951.471;69.922;1.615.697;3.990.451;5.724.763;1.720.649;217.291;3.647;13.342.420;1.610;17.588;95.101;157.448;91.691;31.595;0;395.034;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/18;2,59%;0,42%;4,27%;1,77%;0,70%;0,52%;0,06%;0,00%;1,58%;4,33%;19,70%;12,57%;13,49%;9,53%;0,20%;0,05%;9,84%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;28,16%;7,09%;25,80%;12,04%;27,09%;64,89%;0,00%;12,48%;4,09%;0,06%;0,00%;0,00%;0,01%;0,10%;0,00%;0,06%;0,12%;2,43%;0,53%;2,12%;0,24%;0,05%;0,30%;1,17%;3,22%;5,58%;6,17%;4,54%;2,09%;0,12%;0,01%;2,49%;1,28%;0,22%;0,42%;1,21%;2,19%;0,86%;0,00%;0,76%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
