Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2012;257093208;25379530;42155709;66192669;87107483;34918;36222898
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/09/2012;233164163;24285328;167477;3410573;205300785;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2012;211523462;13637873;16046731;58743690;61258492;65793;61770884
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2012;203894489;41226940;27962044;62815381;13163837;79576;58646711
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2012;94327951;10405885;15934533;43607856;16273488;23198;8082992
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2012;89743322;11044401;17450865;7387225;53835244;25587;0
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2012;39848850;761268;1814344;17515869;13758023;1233;5998113
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2012;39302913;1961951;12526413;10414683;6782162;9498;7608207
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2012;21319401;1464381;1904385;7450473;9013576;113;1486473
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2012;13220558;1630661;3965379;3217960;4405942;616;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2012;11310775;3101670;505723;270305;7357916;5991;69170
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/09/2012;10956563;569540;457730;6044664;3183734;24;700871
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2012;10600207;171775;381305;1928977;8117638;512;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2012;8750479;630817;547716;4538131;3033616;198;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/09/2012;8611117;704738;1378503;5447152;1080719;6;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/09/2012;8439563;3618868;474205;2441265;302663;10;1602552
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2012;6791598;512145;48918;591444;3663867;0;1975224
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/09/2012;5778906;308769;714558;1187520;3568048;11;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/09/2012;5613927;207187;138892;2614038;2652965;845;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/09/2012;5093453;141440;3090;84593;758973;0;4105356
FIBRA;49951;b1;C;2;;199;SAO PAULO;SP;01/09/2012;4786164;865628;1969752;994019;57240;467;899059
