Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;;C;2;SAO PAULO;SP;01/09/2012;16387434;3965038;6266976;-97403;264189;1194369;27980603;-9187436;-1060954;-3429453;0;-6177886;-19855729;8124874;2660271;1455663;-2584285;-3682394;-856718;1566534;2980837;-5486367;-3946459;4178415;96835;4275250;-241996;-650138;3383116;-1107132
BRADESCO;10045;b1;;C;2;OSASCO;SP;01/09/2012;12691490;2455765;6718319;-454004;250533;893897;22555999;-9046477;-752178;-2163060;0;-3528495;-15490209;7065790;1836836;1264458;-2578575;-3346225;-751927;1378331;944113;-2250276;-3503265;3562525;-94912;3467613;-602380;0;2865233;-1007670
BB;49906;b1;;C;1;BRASILIA;DF;01/09/2012;14877677;217540;5994017;-172618;104192;1365251;22386060;-11561925;-1139417;-167928;0;-2949087;-15818357;6567704;2693078;1623289;-3888630;-3612104;-828039;393564;2152501;-1508985;-2975326;3592378;63114;3655492;-448256;-358605;2848631;-817566
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;01/09/2012;10457730;1300096;2939707;-108210;169534;675693;15434550;-5082545;-403073;-1633727;0;-3314412;-10433758;5000792;1719222;763080;-1593277;-3018896;-773414;85904;1135616;-3036426;-4718190;282603;531886;814489;21641;-212199;623931;-26
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;01/09/2012;8716634;0;4456495;-108009;4912;1347061;14417094;-6865669;-1690096;0;0;-1944222;-10499987;3917107;3055243;588962;-3203985;-1947750;-470879;-14847;1641675;-2342550;-2694132;1222975;-41653;1181322;523528;-354643;1350207;-250790
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;01/09/2012;7618091;0;2920991;-151205;0;0;10387876;-409280;-7470219;0;-1348;-228666;-8109513;2278364;135568;0;-151937;-71944;-125190;674601;132200;-570185;23113;2301477;-1272;2300205;-258373;-20;2041811;0
HSBC;51152;b1;;C;3;CURITIBA;PR;01/09/2012;2522086;345657;988828;-66695;182581;227761;4200217;-1599446;-158374;-285134;0;-1010122;-3053076;1147140;241860;377071;-691582;-990974;-130397;168346;732870;-525039;-817846;329295;-5600;323694;51175;-80650;294219;-191000
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;01/09/2012;2315958;494542;1095964;-65833;22632;44520;3907783;-1875659;-162231;-398874;0;-1332028;-3768791;138991;125757;130625;-220700;-384131;-100525;18179;53306;-551979;-929468;-790476;-43422;-833899;372685;-36235;-497450;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;01/09/2012;1423076;768958;695686;-96742;45130;41781;2877888;-1148726;-151980;-750641;0;-218159;-2269506;608383;132579;54633;-264034;-190622;-69411;51859;213501;-48900;-120396;487987;-2002;485984;-189344;0;296640;0
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;01/09/2012;135097;0;1879651;-279687;0;14145;1749206;-955430;-277188;0;-2925;-32574;-1268116;481090;332394;9371;-76313;-132772;-54287;21298;411110;-53315;457486;938576;1853;940429;-260397;-254649;425383;0
