Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;set/12;16.157.199;162.953.137
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;set/12;12.039.061;87.136.156
BB;49906;b1;C;1;;199;BRASILIA;DF;set/12;9.967.246;41.188.376
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;set/12;8.481.700;35.260.945
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;set/12;8.278.977;31.480.469
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;set/12;4.526.702;7.411.673
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;set/12;3.597.646;10.773.396
HSBC;51152;b1;C;3;;199;CURITIBA;PR;set/12;2.224.858;12.375.944
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;set/12;2.199.306;20.360.606
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;set/12;1.025.491;4.144.049
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;set/12;959.345;3.303.250
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;set/12;872.613;1.731.809
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;set/12;774.371;4.099.306
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;set/12;761.122;4.390.403
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;set/12;586.148;1.055.914
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;set/12;491.212;631.201
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;set/12;473.850;1.156.029
PERNAMBUCANAS;40699;n1;C;2;;197;SAO PAULO;SP;set/12;464.209;4.228.142
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;set/12;437.694;712.682
FIBRA;49951;b1;C;2;;199;SAO PAULO;SP;set/12;437.589;1.845.901
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;set/12;365.729;571.331
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;set/12;361.577;409.012
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;set/12;330.931;485.348
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;set/12;325.711;635.948
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;set/12;268.607;286.053
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;;14;SAO PAULO;SP;set/12;265.935;589.392
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;set/12;241.716;691.851
DACASA FINANCEIRA S.A.-SOC. DE CRED. FINANC. E INVESTIMENTO;27406222;n1;I;2;;14;VITORIA;ES;set/12;223.159;1.009.066
BRB;31976;b1;C;1;;199;BRASILIA;DF;set/12;168.269;879.384
BANESTES;30159;b1;C;1;;199;VITORIA;ES;set/12;159.423;519.992
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;set/12;155.578;314.371
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;set/12;152.916;10.482.343
BANCO INTERMEDIUM S/A;416968;b1;I;2;;8;BELO HORIZONTE;MG;set/12;144.649;309.057
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;set/12;135.374;248.552
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;set/12;122.376;531.412
OMNI;50940;n1;C;2;;197;SAO PAULO;SP;set/12;118.104;1.070.092
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;set/12;110.310;438.144
BANCO FICSA S.A.;61348538;b1;I;2;;8;SAO PAULO;SP;set/12;97.579;176.231
RURAL;31244;b1;C;2;;199;BELO HORIZONTE;MG;set/12;92.043;267.384
BIC;32119;b1;C;2;;199;SAO PAULO;SP;set/12;87.976;162.765
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;set/12;87.394;259.771
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;set/12;73.921;163.631
BANCO SEMEAR S.A.;795423;b1;I;2;;8;BELO HORIZONTE;MG;set/12;71.786;281.199
TOYOTA;51334;b2;C;3;;198;SAO PAULO;SP;set/12;63.214;73.251
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;set/12;58.811;113.575
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;;8;GUARULHOS;SP;set/12;56.559;61.376
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;set/12;49.211;63.719
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;set/12;48.404;128.326
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4814563;n1;I;2;;14;BARUERI;SP;set/12;47.084;547.378
BANCO A.J. RENNER S.A.;92874270;b1;I;2;;8;PORTO ALEGRE;RS;set/12;46.490;51.421
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;set/12;46.479;66.521
QUERO-QUERO FINANCIADORA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;5192316;n1;I;2;;14;SANTO CRISTO;RS;set/12;46.320;488.926
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;;9;BRASILIA;DF;set/12;45.686;81.213
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;set/12;44.429;77.681
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4379829;n1;I;2;;14;CURITIBA;PR;set/12;42.517;111.795
WESTLB;51554;b1;I;3;;199;SAO PAULO;SP;set/12;42.284;92.153
AGIPLAN FINANCEIRA S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO;13660104;n1;I;2;;14;PORTO ALEGRE;RS;set/12;39.957;82.878
FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;411939;n1;I;2;;14;JUNDIAI;SP;set/12;38.673;49.581
BANCO GERADOR S.A.;10664513;b1;I;2;;8;RECIFE;PE;set/12;37.925;79.367
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;set/12;36.059;116.923
HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS;7512441;n1;I;2;;14;DOIS IRMAOS;RS;set/12;35.420;594.131
KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;6040559;n1;I;2;;14;FLORIANOPOLIS;SC;set/12;34.472;132.973
