Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2012;430617289;110622164;95367062;132091574;30695462;8395467;3070246;1694185;1944074;10514155;36222898
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2012;371031144;94575965;120057699;31548215;17147270;11566678;3906387;2878933;2862606;14957426;71529965
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2012;323707855;31521737;159447830;48987679;57031511;9343519;2304141;1468188;1193590;12409660;0
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2012;310752340;34122864;104181676;38125273;51659568;7029662;2533701;2130226;1786748;10400438;58782184
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/09/2012;233164956;85893123;111363440;27087731;7041303;275113;830199;80802;0;593246;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2012;206265119;30714833;103355692;16457786;14543450;4787596;2407672;4292969;1558515;8132682;20013925
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2012;67578143;7506113;40561193;6871408;4225411;1480184;1163971;619257;735572;2928561;1486473
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2012;59360195;20804877;18722791;5134706;2443505;794779;482765;407313;626235;2335018;7608207
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2012;47329059;25797536;9890998;1874962;1595627;855008;397836;119240;150007;642527;6005317
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2012;24119247;0;21943690;801425;307970;262436;130320;113770;81108;478528;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2012;22603937;3983093;10213352;3546496;1618612;1014428;384396;323145;261023;1259394;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2012;22201406;3272550;10498660;3993906;1722218;651939;575827;658653;133522;624961;69170
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2012;20708988;418382;13925138;2923190;1884579;436629;246372;138445;134633;601620;0
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/09/2012;11847594;2941295;4622349;1661953;814024;450369;125262;57746;201532;272194;700871
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/09/2012;11522064;599738;7457163;1202994;618445;283765;231106;200786;187502;740565;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2012;11368689;2877721;4471001;2257955;390264;693124;89020;41932;92440;455232;0
