Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44166;119960363;17196237;137156600;14087682;151244283;921933967;10461476;718949;11748766;4551300;27480490;92792430;1042206887;1903298308;0,1151;0,1316;0,1451;0,0721;0,2403
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44166;108982064;9299771;118281835;17441839;135723674;779588540;6608819;83779;6953760;1044195;14690553;64413820;858692912;1436809012;0,1269;0,1377;0,1581;0,0823;0,3007
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44166;104315243;27932263;132247506;29676974;161924480;677256134;15794579;512858;4817959;0;21125396;67683128;766064658;1402479252;0,1362;0,1726;0,2114;0,0943;0,1412
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44166;70761659;1713241;72474900;29380930;101855830;482125149;699110;0;17914810;75753;18689672;77269928;578084749;1474282399;0,1224;0,1254;0,1762;0,0492;0,1206
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44166;71006316;6565209;77571525;6554451;84125976;478313563;6856063;382748;7376466;1230981;15846259;57419401;551579222;1009249737;0,1287;0,1406;0,1525;0,0769;0,1503
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44166;147082035;0;147082035;47411085;194493120;404083882;28280666;0;2017615;0;30298282;37814843;472197007;863048786;0,3115;0,3115;0,4119;0,1704;0,0531
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44166;21710355;377350;22087705;4045185;26132890;120997356;11060982;2578704;10991670;4228069;28859425;7025255;156882035;299772589;0,1384;0,1408;0,1666;0,0737;0,498
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44166;13433026;2730610;16163636;3046411;19210047;120405015;619307;0;4291368;797832;5708507;5463280;131576803;241579305;0,1021;0,1228;0,146;0,0669;0,3513
