Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44166;4410499;37581;663932;-647151;46102;10019;4520982;-1503531;-67236;-34084;0;-1274024;-2878875;1642108;290611;457323;-669530;-856435;-220510;139898;1393071;-1606102;-1071675;570433;29285;599718;121501;-109220;611999;0
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;44166;4097879;0;102692;-93588;881;0;4107863;-776799;-10;0;0;-695022;-1471831;2636033;99607;184236;-299083;-1659336;-169364;4268;269449;-585858;-2156081;479951;32754;512705;-171586;0;341119;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;44166;2962015;8293;325341;-155268;0;106488;3246868;-736820;-65004;-7891;-14046;-271159;-1094919;2151949;388297;543198;-1157621;-797892;-230965;38546;591108;-998327;-1623657;528292;-6352;521940;-115107;-56655;350178;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;44166;2332252;0;218098;22847;0;0;2573197;-563447;-7350;0;-16323;-426675;-1013796;1559401;29948;6566;-131948;-903376;-70410;62986;345900;-613596;-1273929;285472;-1114;284358;-30577;-32289;221492;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;44166;1988259;299348;111099;-325314;296384;0;2369775;-340418;-11505;-219680;0;-369930;-941534;1428242;58553;64158;-232256;-320745;-101130;9475;284207;-271956;-509695;918546;15559;934105;-327191;-79362;527553;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;44166;668974;0;619034;614029;444540;0;2346577;-257472;-1262154;0;0;40703;-1478922;867655;862162;0;-669259;-156086;-91698;40055;231815;-173621;43368;911023;-3;911020;34918;0;945938;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;44166;280762;20543;1661870;-73024;383442;14179;2287773;-681860;-100696;-17896;0;-81779;-882231;1405542;619323;24589;-531789;-330395;-99372;0;212023;-176688;-282310;1123232;3476;1126708;-274837;-75614;776256;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44166;1203571;0;479130;-10479;217592;8181;1897996;-185869;-307888;0;0;-229469;-723226;1174770;1435818;52315;-1125728;-696343;-188537;0;1243681;-822621;-101415;1073355;4783;1078137;-349799;-41655;686683;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;44166;85676;0;1529744;-85904;36611;0;1566128;-850151;-344;0;0;-6837;-857332;708796;1892677;671270;-613520;-1966835;-213640;-8151;443241;-211767;-6724;702072;-47923;654149;-60661;-451588;141900;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;44166;1484612;39532;30002;-21579;0;0;1532567;-253213;-68717;-31417;0;-171023;-524371;1008196;94215;64025;-1998;-215251;-56021;0;140833;-610066;-584263;423933;-13209;410724;-160655;0;250069;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;44166;1430507;0;83783;-9112;1451;8869;1515499;-196338;-3081;-1017;0;-137901;-338338;1177161;62460;101733;-435767;-295244;-73098;41352;58417;-206083;-746229;430932;3747;434679;-126536;-40051;268092;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;44166;949023;0;428901;-51146;16199;26981;1369959;-575103;-242402;0;0;-963;-818469;551490;185150;2311;-49922;-593255;-50359;496;188132;-134166;-451612;99878;-8;99870;-43332;-5082;51456;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;44166;717993;0;569870;-10608;51446;0;1328702;-278065;-502165;0;0;-100753;-880983;447719;161924;13395;-124364;-86650;-32103;0;897493;-934006;-104311;343408;-9934;333474;-90644;-63368;179463;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44166;1190346;0;7244;0;0;0;1197590;-18470;0;0;0;-659786;-678256;519334;377968;271167;-102751;-486194;-91115;-492;85115;-279206;-225510;293824;464;294288;-115520;0;178768;0
PAGSEGURO;1000084813;b1;;C;2;SAO PAULO;SP;44166;1145071;0;12083;0;0;0;1157154;-18533;0;0;-2372;-3477;-24382;1132771;2848449;1;-223143;-824268;-308121;202929;143283;-1893405;-54274;1078497;-13678;1064819;-195507;-79951;789360;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;44166;621488;0;393503;-118828;206813;0;1102976;-321435;-43855;0;0;-222795;-588085;514891;332314;45962;-282752;-385372;-74981;-2670;691955;-723859;-399405;115487;-1305;114181;1437;-13539;102079;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;44166;1063681;0;30880;-16425;10207;1186;1089529;-80159;-2639;0;0;-161759;-244557;844972;20812;98936;-241809;-357342;-56688;25098;86438;-312979;-737535;107437;-3225;104213;-13004;-12079;79130;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;44166;552003;0;487729;-1199;1423;11393;1051350;-591712;-69058;0;0;-27828;-688598;362752;508042;23;-83646;-193477;-80041;20037;256381;-671798;-244479;118273;-1895;116378;-38519;-8187;69672;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;44166;982951;0;42177;0;0;0;1025128;-118;0;0;-362;-313876;-314357;710771;1045;20525;-12942;-585865;-53009;0;157383;-75124;-547988;162783;534;163317;-59902;-287;103127;0
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;44166;891289;5761;10403;-319;0;0;907134;-80349;-2671;-3132;0;-110844;-196996;710138;41719;43846;-39100;-260971;-27993;12579;29742;-433819;-633998;76140;9;76149;1929;0;78078;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;44166;13424;0;255194;22962;523601;0;815181;-72129;-207081;0;0;-154;-279364;535817;762957;3797;-324010;-111956;-72652;0;12689;-272306;-1482;534334;0;534334;-201289;0;333045;0
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;44166;34201;0;809435;-36333;6174;0;813476;-727061;-8448;0;0;3409;-732100;81375;8069;0;-31178;-14862;-4290;0;1801;-11520;-51980;29395;-577;28818;-13258;-1599;13961;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44166;752741;0;29884;0;2094;3503;788222;-74247;-576;0;0;-90434;-165257;622964;10059;60034;-228751;-200450;-39314;0;17326;-18302;-399398;223566;-4626;218941;-93558;-18179;107204;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;44166;43649;0;-362684;1101992;0;0;782958;-238349;-85986;0;-1511070;-899;-1836304;-1053345;599160;727;-392472;-160580;-67618;0;1744636;-20422;1703431;650086;-1255;648831;-238682;-10221;399929;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;44166;713348;23406;17220;0;0;0;753973;-133018;0;-21986;0;-105356;-260360;493613;142098;37609;-77945;-311924;-127608;21271;143890;-42282;-214890;278723;5642;284366;-62244;-15033;207089;0
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;44166;642405;0;80301;-2956;0;0;719749;-234443;-130;0;-4484;-27439;-266496;453253;320330;18599;-284741;-458376;-67887;-9486;213979;-358130;-625713;-172459;-347;-172806;41951;-10825;-141680;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;44166;391841;992;314804;0;1686;9919;719242;-295647;-2290;-851;0;-25386;-324174;395068;66678;106438;-175735;-134031;-34991;9386;9269;-65709;-218696;176373;-1811;174562;-46137;-21340;107085;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;S4;I;3;RIO DE JANEIRO;RJ;44166;10219;707136;409;0;0;0;717764;-38507;0;-604729;0;7946;-635291;82473;0;0;0;-28508;-3524;0;1594;-3361;-33799;48674;1019;49692;-23148;0;26544;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;44166;637509;0;43875;316;0;0;681701;0;-299288;0;0;-24094;-323382;358319;21415;0;-105941;-31102;-16022;0;12342;-16928;-136237;222082;-2160;219922;-97420;-6282;116221;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;44166;10023;0;1872941;-1259156;49931;0;673739;-192015;-12423;0;0;3478;-200961;472778;327222;0;-348136;-140561;-50011;0;20417;-167903;-358973;113805;0;113805;11796;0;125600;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;44166;613639;48852;6955;-13303;0;0;656144;-183226;-99168;-39605;0;-118885;-440883;215260;0;12147;-33495;-59652;-18036;0;25311;-32101;-105827;109434;3034;112468;-40234;0;72233;0
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;44166;469822;86755;143052;-52957;3061;0;649732;-159933;-49093;-72577;0;-29930;-311533;338199;45425;32123;-115774;-74550;-24133;2022;106227;-204528;-233187;105012;211;105223;-30190;-6485;68548;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;44166;604243;0;26146;0;0;0;630388;-34080;-17332;0;-32;308292;256848;887237;156338;61938;-37942;-368372;-45843;0;12584;-625898;-847196;40041;503;40543;-16016;0;24527;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;;C;2;SAO PAULO;SP;44166;360464;0;381303;-116558;0;0;625208;-212002;-7172;0;-56;-525546;-744776;-119568;968411;113471;-368284;-744154;-205766;-1717;936057;-754879;-56861;-176429;0;-176429;41262;0;-135168;0
AGIBANK - PRUDENCIAL;1000083694;b1;S4;C;2;PORTO ALEGRE;RS;44166;611025;0;10254;-807;36;0;620508;-47180;0;0;0;-73511;-120692;499816;5029;11887;-46861;-336442;-32273;14288;4702;-31552;-411223;88593;55;88648;-22070;0;66578;0
MÁXIMA - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;44166;553915;0;5663;-8487;56668;0;607758;-196329;-1326;0;0;-20222;-217877;389881;3286;563;-33061;-265025;-20663;11815;15344;-18806;-306546;83335;643;83978;-32491;-2850;48638;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;44166;575912;0;6104;0;0;0;582015;-31374;0;0;0;-296455;-327829;254187;465385;119449;-70834;-399663;-81407;0;34989;-165669;-97750;156436;1400;157836;-51049;-4907;101879;0
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;44166;536269;0;39733;0;0;0;576002;-193794;0;0;0;-92228;-286023;289979;3240;93;-38537;-222635;-17783;14043;18010;-8176;-251745;38234;556;38790;-3659;-7932;27200;0
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44166;33872;0;163287;-173289;503197;0;527067;-92244;-131315;0;0;97;-223463;303604;32983;4;-71916;-32944;-8058;0;146297;-354269;-287903;15701;0;15701;4583;-2718;17566;0
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;44166;479108;0;95032;-48583;985;0;526541;-84355;-916;0;0;-116973;-202244;324298;116163;14453;-116345;-348180;-30280;31920;70181;-94283;-356370;-32072;11123;-20950;30076;-210;8917;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;44166;512272;2172;11243;-32920;0;0;492767;-48151;-175872;-2092;0;-53968;-280082;212685;4700;105;-23601;-35249;-12060;0;70;-2322;-68356;144329;563;144892;-49567;-1708;93617;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;44166;390;0;130139;357479;0;0;488007;-73702;-443;0;-133420;0;-207566;280442;428240;0;-194346;-77541;-42371;0;11104;-242576;-117490;162952;0;162952;-46940;-6106;109907;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44166;441119;0;144184;-280936;167649;0;472016;-69025;-75993;0;0;-369671;-514689;-42673;50741;3096;-122100;-111097;-33674;0;746284;-285356;247894;205221;285;205506;-49131;-19175;137200;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;44166;288129;159864;2153;6683;0;0;456830;-1119;-131000;-127459;0;-11878;-271457;185373;0;705;-33145;-36196;-9697;2765;20436;-9485;-64617;120757;-24;120733;-40574;0;80159;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;44166;408180;0;37137;0;0;0;445317;-43036;-4869;0;0;-109319;-157224;288092;51002;29883;-67527;-105520;-364;0;6080;-60263;-146710;141382;715;142097;1;-5949;136147;-30982
ICBC DO BRASIL BM S.A. - PRUDENCIAL;1000081830;b1;S4;I;3;SAO PAULO;SP;44166;94178;0;24225;0;321621;0;440025;-12439;-307429;0;0;-17584;-337451;102573;8209;28;-15206;-8269;-2104;0;6046;-90043;-101339;1234;-8403;-7169;299;0;-6870;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;44166;217315;0;209129;0;0;0;426444;-39296;-114923;0;-13637;-61956;-229812;196632;314112;91669;-290983;-153303;-55512;0;516262;-455183;-32937;163695;501;164196;12485;-20048;156633;0
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;S4;I;3;BARUERI;SP;44166;607;422973;0;0;0;0;423580;0;-20681;-356989;0;-8650;-386320;37260;0;0;-8;-13824;-9012;0;3750;-377;-19471;17789;3890;21679;7157;0;28836;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;44166;359443;0;8308;0;0;0;367751;-8348;-171172;0;-1;-70040;-249562;118189;25278;516;-26347;-17851;-9489;0;38702;-1546;9264;127452;474;127926;-54117;-2408;71401;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;I;3;SAO PAULO;SP;44166;442070;8785;11633;-95617;0;0;366870;-50296;0;-6327;0;1737;-54886;311984;37;24404;-33101;-121517;-19368;0;65915;-17109;-100738;211246;-5739;205508;-86647;-9017;109844;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;44166;362169;0;15417;-27391;11022;0;361217;-20833;-84893;0;0;-182825;-288551;72666;5742;13116;-57744;-23581;-10241;0;45136;-44993;-72565;102;-1496;-1394;3467;-1920;153;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;44166;203225;0;74357;65599;7123;0;350304;-223628;-2147;0;0;-26176;-251951;98353;19727;7171;-70814;-39000;-5811;355;40876;-59962;-107457;-9104;12343;3239;-7147;0;-3908;0
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;44166;252212;0;57319;28594;0;0;338125;-78185;-6610;0;-7527;-26368;-118691;219434;1042;37702;-53478;-59161;-14612;4933;16651;-31447;-98369;121065;-1222;119843;-25715;-18998;75130;0
REALIZE CFI - PRUDENCIAL;1000084703;n1;S4;I;3;PORTO ALEGRE;RS;44166;328603;0;6326;-1346;0;0;333584;-11253;-2037;0;0;-196788;-210078;123506;51580;61848;-19119;-148531;-24076;0;3232;-88734;-163799;-40293;0;-40293;30076;0;-10217;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;44166;261846;0;27915;0;0;33043;322805;-52550;-3019;0;0;-10407;-65976;256829;27409;38697;-142592;-89782;-19758;6363;28500;-75540;-226704;30126;-2495;27630;4976;-3798;28808;0
BEXS - PRUDENCIAL;1000080862;b2;S4;C;2;SAO PAULO;SP;44166;0;0;1504;-3981;315597;0;313119;0;0;0;0;0;0;313119;98;0;-19532;-11553;-14667;0;3441;-221887;-264099;49020;-28;48992;-22285;-1178;25529;0
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;44166;300240;7700;3969;0;0;0;311909;-7311;-147015;-6044;0;-18326;-178695;133214;60065;4979;-23734;-74321;-15531;530;4089;-6485;-50408;82806;-1153;81653;-16955;-1422;63276;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;44166;400976;0;14727;-109134;0;0;306568;-64004;-109040;0;0;-50709;-223754;82814;556605;39897;-15616;-551177;-75648;0;259174;-28764;184471;267285;515;267801;-110089;0;157712;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;44166;273398;0;32522;0;0;0;305920;-38616;-14672;0;0;-58222;-111510;194410;34239;2372;-60081;-48659;-3208;0;13107;-15698;-77927;116483;712;117195;-5302;-8091;103802;-32312
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;;C;2;SAO PAULO;SP;44166;309781;0;-1654;-3326;0;0;304801;-106916;-8487;-214;0;-202373;-317990;-13189;915705;0;-409809;-338401;-116765;0;453525;-160368;343887;330698;-29317;301382;-111892;-43063;146427;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;44166;255116;18619;58388;-29644;0;2;302481;-113247;-4844;-15377;-38210;-100275;-271953;30528;27789;2694;-83448;-40891;-16712;-316;480416;-478574;-109042;-78514;-6556;-85070;123779;0;38709;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;44166;116427;0;119506;55678;0;0;291611;-257474;-8736;0;-15435;-4985;-286630;4981;13398;5985;-42370;-48955;-4310;-228;20012;-39734;-96202;-91221;7;-91214;42641;-15932;-64505;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;44166;118288;0;76092;-262315;332487;0;264552;-11731;-164208;0;0;-45652;-221591;42961;24586;51;-57372;-44921;-18691;39;181770;-67260;18201;61163;-80;61082;-27968;-1435;31679;0
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;44166;218134;30676;1533;0;0;0;250342;-31166;-88842;-28955;0;-8862;-157825;92517;68354;2505;-19919;-48994;-6234;2041;2353;-19737;-19630;72888;427;73314;-32176;-866;40272;0
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;44166;173699;0;11650;-10281;54550;0;229618;-38648;-45693;0;0;-18777;-103118;126500;4899;3087;-38355;-19374;-17380;114;740;-15125;-81392;45107;-1620;43488;-8362;0;35125;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;44166;208700;0;19384;0;0;64;228148;-24568;-28266;0;0;-17680;-70514;157634;69200;19567;-69013;-72550;-2084;0;15819;-45760;-84820;72814;2904;75718;0;-10050;65668;-7736
BANCO DIGIO - PRUDENCIAL;1000084655;b2;S4;I;3;BARUERI;SP;44166;218352;0;3298;0;0;0;221650;-9455;0;0;-142;-51973;-61571;160079;45376;20911;-28486;-151049;-18905;0;38177;-80778;-174753;-14675;751;-13924;6525;-6185;-13583;0
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;S4;C;2;UBERLANDIA;MG;44166;204486;0;10039;0;0;0;214526;-22647;-5966;0;0;-72789;-101401;113124;75634;59880;-82309;-111851;-18806;9112;31657;-33232;-69915;43209;481;43690;-4223;-11561;27906;0
BANCO C6;1000084844;b1;S4;C;2;SAO PAULO;SP;44166;167641;0;28501;9540;7878;0;213560;-63639;0;0;0;-40573;-104212;109348;36701;2273;-121867;-331185;-8882;-39383;30010;-254912;-687247;-577899;-99947;-677847;348586;-72033;-401294;0
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;44166;111829;0;82469;0;0;16990;211289;-89943;0;0;0;-2440;-92383;118906;0;3678;-66225;-15736;-6345;0;5420;-7690;-86898;32008;1198;33206;0;0;33206;0
FACTA S.A. CFI - PRUDENCIAL;1000083704;n1;S4;I;2;PORTO ALEGRE;RS;44166;209628;0;666;0;0;0;210294;-13232;0;0;0;-16114;-29347;180947;0;5;-1180;-57143;-4007;0;63;-35689;-97951;82996;-22;82974;-39102;-24;43848;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;44166;178564;0;25364;0;0;0;203928;-30418;-23151;0;0;-44788;-98357;105571;5237;5016;-32259;-28653;-193;0;42329;-38211;-46733;58838;-9155;49683;-164;0;49519;-10786
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;44166;185118;0;13294;0;0;85;198497;-20779;-18671;0;0;-46262;-85712;112785;56337;17549;-56113;-53071;-766;0;11204;-42421;-67281;45505;2078;47582;-494;-9042;38047;-4588
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;44166;176267;0;13027;0;0;94;189388;-18828;-17615;0;0;-35152;-71596;117792;49662;15892;-51915;-58392;-572;0;10074;-34880;-70131;47662;3907;51569;0;-8582;42987;-4763
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S5;I;2;CHAPECO;SC;44166;174819;0;12365;0;0;11;187195;-20957;-6644;0;0;-47431;-75032;112163;19446;19530;-39709;-37943;-1528;0;16380;-12638;-36463;75700;-6453;69247;1306;-6811;63741;-4068
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;44166;132515;0;163869;-115030;0;0;181353;-85437;-42978;0;-12620;22450;-118586;62767;30999;43465;-49764;-31556;-14889;0;390333;-223350;145238;208005;-6299;201707;-62158;-37406;102142;0
BCO A.J. RENNER S.A. - PRUDENCIAL;1000081799;b1;S4;C;2;SAO PAULO;SP;44166;168752;0;11231;0;0;0;179983;-65423;0;0;0;-47501;-112923;67060;19628;20470;-16915;-46532;-8551;0;791;-5927;-37036;30023;-428;29595;-8109;-3552;17934;0
