Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
BRADESCO - PRUDENCIAL;1000080075;b1;C;2;OSASCO;SP;44166;Sim;Sim;Não;1436809012;22379671;42736;S1
ITAU - PRUDENCIAL;1000080099;b1;C;2;SAO PAULO;SP;44166;Sim;Sim;Não;1903298308;147511580;42736;S1
SANTANDER - PRUDENCIAL;1000080185;b1;C;3;SAO PAULO;SP;44166;Sim;Sim;Não;1009249737;38167794;42736;S1
BB - PRUDENCIAL;1000080329;b1;C;1;BRASILIA;DF;44166;Sim;Sim;Não;1402479252;39746635;42736;S1
BTG PACTUAL - PRUDENCIAL;1000080336;b1;C;2;RIO DE JANEIRO;RJ;44166;Sim;Sim;Não;299772589;11636651;42736;S1
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;C;1;BRASILIA;DF;44166;Sim;Sim;Não;1474282399;NI;42736;S1
SAFRA - PRUDENCIAL;1000080109;b1;C;2;SAO PAULO;SP;44166;Sim;Sim;Não;241579305;6029213;42736;S2
BANRISUL - PRUDENCIAL;1000080154;b1;C;1;PORTO ALEGRE;RS;44166;Sim;Sim;Não;93927787;125292;42736;S2
CITIBANK - PRUDENCIAL;1000080192;b1;C;3;SAO PAULO;SP;44166;Sim;Sim;Não;97285444;NI;42736;S2
VOTORANTIM - PRUDENCIAL;1000080484;b1;C;2;SAO PAULO;SP;44166;Sim;Sim;Não;137634327;1683239;42736;S2
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;I;1;FORTALEZA;CE;44166;Sim;Sim;Não;105711799;NI;42736;S2
BNDES - PRUDENCIAL;1000081847;b4;C;1;RIO DE JANEIRO;RJ;44166;Sim;Sim;Não;863048786;NI;42736;S2
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;I;2;CURITIBA;PR;44166;Sim;Sim;Não;13520043;NI;42736;S3
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;I;2;PORTO ALEGRE;RS;44166;Sim;Sim;Não;7620230;NI;42736;S3
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;C;3;SAO PAULO;SP;44166;Sim;Sim;Não;93147023;NI;42736;S3
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;C;2;BELO HORIZONTE;MG;44166;Sim;Sim;Não;10904446;0;42736;S3
BANESTES - PRUDENCIAL;1000080147;b1;C;1;VITORIA;ES;44166;Sim;Sim;Não;27057176;NI;42736;S3
BMG - PRUDENCIAL;1000080178;b1;C;2;SAO PAULO;SP;44166;Sim;Sim;Não;27722640;181891;42736;S3
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;C;3;SAO PAULO;SP;44166;Sim;Sim;Não;24162077;NI;42736;S3
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;C;3;SAO PAULO;SP;44166;Sim;Sim;Não;62804565;5420512;42736;S3
PAN - PRUDENCIAL;1000080257;b1;C;2;SAO PAULO;SP;44166;Sim;Sim;Não;37335232;NI;42736;S3
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;C;3;SAO PAULO;SP;44166;Sim;Sim;Não;10171777;NI;42736;S3
BRB - PRUDENCIAL;1000080288;b1;C;1;BRASILIA;DF;44166;Sim;Sim;Não;29090459;NI;42736;S3
CCB - PRUDENCIAL;1000080295;b1;C;3;SAO PAULO;SP;44166;Sim;Sim;Não;15514690;755439;42736;S3
ABC-BRASIL - PRUDENCIAL;1000080312;b1;C;3;SAO PAULO;SP;44166;Sim;Sim;Não;51700075;1686146;42736;S3
JOHN DEERE - PRUDENCIAL;1000080343;b1;I;3;INDAIATUBA;SP;44166;Sim;Sim;Não;10038904;NI;43466;S3
PINE - PRUDENCIAL;1000080374;b1;C;2;SAO PAULO;SP;44166;Sim;Sim;Não;13829585;14377;42736;S3
