Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44166;46099226;293222056;484183494;616688576;-48692871;567995705;9118461;340695;181600;-366965;9273791;299880944;137615922;58700867;1896972004;181600;1896790404
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44166;16812396;510632217;294768159;624416758;-42968298;581448460;17435;241285;86242;-3701;341261;205057688;69715885;33854888;1712630953;86242;1712544711
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44166;17034021;213983886;239568674;780326480;-33766400;746560080;0;0;0;0;0;91674433;122298830;18552456;1449672382;0;1449672382
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44166;22978342;190604202;352609994;445665923;-42234166;403431757;11503;3894603;1259668;-70468;5095307;210491745;95102426;67693123;1348006896;1259668;1346747228
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44166;19599041;69698399;259087258;337929306;-23579763;314349542;7851;4602341;2140336;-33046;6717482;218710168;93538249;19601150;1001301289;2140336;999160953
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44166;465524;96655970;188505692;298574571;-18552406;280022165;0;0;0;0;0;33340560;168219708;11132356;778341975;0;778341975
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44166;1710626;51679357;78515104;47707682;-1804560;45903122;0;0;0;0;0;41810366;6261052;14929765;240809392;0;240809392
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44166;1667898;9327035;87155399;80972819;-3298630;77674188;13940;1385251;429554;-3513;1825231;16630907;17562342;6940764;218783765;429554;218354211
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44166;491415;9260156;37238013;53792865;-3781281;50011585;179;76657;3483;-350;79968;15553922;1609440;2397377;116641875;3483;116638393
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;44166;1456042;15633430;40840878;12736405;-183534;12552871;14;71961;18658;-449;90184;29307577;3810710;342453;104034145;18658;104015487
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;44166;36185;58135022;29155556;2385342;-150663;2234679;0;0;0;0;0;8117669;5917;90017;97775044;0;97775044
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;44166;1263595;6040269;32489801;34860941;-2590995;32269946;47;51819;32262;-6587;77542;7256931;11039922;1469355;91907360;32262;91875098
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;44166;126249;251028;3782444;45822;-32502;13320;0;0;0;0;0;4521167;70111025;11210356;90015589;0;90015589
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;44166;32045;28102701;17424559;6990631;-119105;6871526;0;0;0;0;0;6315799;17206085;268809;76221523;0;76221523
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;44166;36295;6450459;3278032;2249537;-49390;2200147;0;0;0;0;0;64155749;3945;26278;76150906;0;76150906
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;44166;600568;6673203;52422761;3874722;-2269;3872452;0;0;0;0;0;3298974;1015439;609789;68493187;0;68493187
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;44166;369553;4287714;15276459;14486086;-9291;14476795;0;0;0;0;0;4063367;29056827;96808;67627522;0;67627522
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44166;155045;4381163;38835807;12343059;-666241;11676818;0;0;0;0;0;5503025;1030965;234816;61817640;0;61817640
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;44166;226799;1541024;14232512;9804761;-531801;9272960;0;0;0;0;0;34710540;201875;176135;60361844;0;60361844
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;44166;49660;12746274;13993201;12921144;-104358;12816786;0;0;0;0;0;14863452;3999;155070;54628443;0;54628443
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;44166;342983;4772208;6444498;25713559;-1383179;24330380;22662;1394638;223397;-14594;1626103;11283864;318471;1050658;50169164;223397;49945767
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;;C;2;SAO PAULO;SP;44166;246394;9274061;22380916;1564552;-56782;1507770;0;0;0;0;0;15588012;799573;80845;49877570;0;49877570
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44166;334775;5908540;6906796;22666165;-1133574;21532591;0;0;0;0;0;12493148;49631;41188;47266669;0;47266669
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;44166;513293;7472639;9778476;17841726;-346519;17495208;0;0;0;0;0;6978342;362701;96491;42697151;0;42697151
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;44166;4847;1251938;2722198;27466468;-1723695;25742773;0;0;0;0;0;8013617;383701;532358;38651433;0;38651433
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;44166;106114;6224235;1500214;788031;-3692;784339;0;0;0;0;0;22474712;624;7622;31097861;0;31097861
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;44166;351288;10653524;12717841;4761085;-255854;4505231;0;9103;7282;-9;16376;943225;896317;328549;30412352;7282;30405069
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44166;89775;6073320;4016438;1717449;-2407;1715042;0;0;0;0;0;17391568;15378;31440;29332961;0;29332961
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;44166;135888;50207;8762955;13541344;-716714;12824630;0;0;0;0;0;4527701;379262;1665380;28346023;0;28346023
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;44166;99637;14880780;8974496;1061984;-827;1061157;0;0;0;0;0;2737575;133153;45617;27932416;0;27932416
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;44166;220778;2922837;3717004;15385662;-426844;14958818;0;0;0;0;0;2295049;976921;354308;25445715;0;25445715
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;44166;8268;4349558;15413564;816694;0;816694;0;0;0;0;0;3412351;73;24344;24024852;0;24024852
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;44166;287;1708550;176577;18331694;-628494;17703200;90;74658;16469;-903;90314;3549104;51257;30270;23309558;16469;23293089
