Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44166;1896790404;711440610;1749125708;1318396936;147664696;11041969;151244283;0,1451;0,2403;2906;884
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44166;1712544711;681743511;1595603928;1331332390;116940783;6337804;161924480;0,2114;0,1412;4380;743
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44166;1449672382;790181478;1388761300;1198212897;60911081;7076024;101855830;0,1762;0,1206;3374;788
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44166;1346747228;509308886;1203037229;999757427;143709998;9668195;135723674;0,1581;0,3007;3427;1359
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44166;999160953;411576249;918160451;682648096;81000503;7760625;84125976;0,1525;0,1503;2789;1854
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44166;778341975;300619138;665339458;273613617;113002516;15719772;194493120;0,4119;0,0531;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44166;240809392;50136707;214124015;166499872;26685377;2231106;26132890;0,1666;0,498;25;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44166;218354211;91491199;204676301;177299384;13677911;1112200;19210047;0,146;0,3513;120;5
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44166;116638393;59187623;106036169;85734596;10602224;611999;10610530;0,1464;0,187;8;33
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;44166;104015487;23013802;93712727;57217731;10302760;776256;10082135;0,1766;0,0179;87;8
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;44166;97775044;3880120;91826127;65537509;5948918;399929;5833266;0,1545;0,015;10;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;44166;91875098;37605804;83529177;71176504;8345921;350178;6821228;0,1581;0,0973;523;131
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;44166;90015589;45822;77409877;6880862;12605712;486962;NA;NA%;NA%;1;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;44166;76221523;12727217;74184833;66035256;2036690;69672;1995062;0,1402;0,1137;8;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;44166;76150906;4143655;73782671;10490278;2368235;31679;2183264;0,2047;0,0073;5;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;44166;68493187;3925427;64868925;38271603;3624262;141900;2478907;0,1629;0,0452;6;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;44166;67627522;14715290;66114325;60819201;1513197;51456;1737088;0,1391;0,0554;7;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44166;61817640;13180980;55645665;26481390;6171975;686683;8729534;0,131;0,0268;296;2
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;44166;60361844;19733267;55742763;25304221;4619081;102079;4945297;0,125;0,0171;7;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;44166;54628443;13766656;49075826;23122419;5552616;945938;4332118;0,1383;0,0358;10;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;44166;49945767;33180758;45519895;39163255;4425872;527553;4872419;0,1449;0,2156;50;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;;C;2;SAO PAULO;SP;44166;49877570;17185686;48439222;29860435;1438348;-135168;*;*%;*%;5;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44166;47266669;25913501;43031792;30608247;4234877;137200;5828318;0,1541;0,0035;19;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;44166;42697151;20800204;38408888;31067710;4288263;179463;5388427;0,1685;0,0049;13;0
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;44166;38651433;28907472;33333965;28357011;5317468;341119;3638177;0,1587;0,12;5;0
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;44166;31097861;4255795;30274364;10407782;823498;-166919;820553;0,1803;0,0057;4;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;44166;30405069;5143482;28691170;27663520;1713900;107085;1582733;0,1542;0,1247;110;46
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44166;29332961;3089688;28050370;10637360;1282591;12961;1263344;0,2516;0,0096;2;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;44166;28346023;14037725;24108740;20020691;4237283;221492;3149597;0,1776;0,4349;37;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;44166;27932416;1068984;24725432;12927939;3206984;333045;3168546;0,2148;0,0144;3;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;44166;25445715;16178146;23302844;19947530;2142871;268092;2006995;0,1462;0,0865;128;15
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;44166;24024852;816694;19982659;8396178;4042194;125600;4003930;0,2374;0,0061;4;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;44166;23293089;19055825;20414752;15646279;2878337;250069;3448537;0,177;0,0023;3;0
PAGSEGURO;1000084813;b1;;C;2;SAO PAULO;SP;44166;22972215;530005;13968483;5147585;9003732;789360;*;*%;*%;4;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;44166;22092937;2512355;20565050;6685038;1527887;35803;1527794;0,3555;0,0032;4;0
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;;C;2;SAO PAULO;SP;44166;22068088;1584468;16558539;1366893;5509549;146427;*;*%;*%;3;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;44166;20815709;5080777;18398911;7086242;2416797;156633;2901781;0,1159;0,0501;121;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;44166;20407691;2397;18288974;7030446;2118717;109907;2118717;0,1846;0,0063;4;0
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;44166;19794821;8805255;16458834;14359879;3335987;8917;3086869;0,3183;0,0248;21;0
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;44166;19506097;10838254;16915415;15812960;2590683;68548;2550290;0,1544;0,145;44;2
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;44166;18263974;10348377;17153696;14469244;1110277;38709;1845387;0,1531;0,0132;14;0
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;44166;16848185;7683197;14570249;13610354;2277936;-141680;1030622;0,101;0,1433;5;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;44166;16652057;13609122;13552195;12414358;3099861;116221;3084195;0,1862;0,0132;4;0
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44166;15306160;890469;14202442;5970987;1103717;17566;1042150;0,2452;0,0098;2;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;44166;13728783;3930362;12936089;9916639;792694;-64505;719043;0,1167;0,1735;4;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;44166;13563933;0;13243562;0;320371;0;235561;0,4458;0,0207;0;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;44166;13536440;12806384;11483673;10899557;2052767;72233;2045451;0,1556;0,0041;4;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;44166;12896360;8475245;9997239;7529702;2899120;207089;2785778;0,3505;0,0719;3;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;44166;12526691;2173289;10935819;6291033;1590872;-40826;1488497;0,1882;0,0095;2;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44166;12388869;11062638;9571823;1516053;2817047;178768;2049057;0,1576;0,0224;2;0
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;44166;12214513;6750725;11450186;10372849;764327;102142;935749;0,1437;0,0125;8;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;44166;12048458;11206355;10653588;10253414;1394870;93617;1390889;0,1236;0,0037;2;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;44166;11932677;0;3581932;314;8350745;135705;8260745;0,4148;0,0413;2;0
BS2 - PRUDENCIAL;1000080422;b1;S4;C;2;BELO HORIZONTE;MG;44166;11722906;650067;11187416;4350860;535489;16181;510496;0,1141;0,1827;8;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;44166;11515227;2171666;10363310;4549522;1151917;36126;1149386;0,1906;0,006;2;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;44166;10791953;6434812;9758587;8363355;1033366;79130;1034559;0,166;0,282;51;222
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44166;10586556;6327349;9101978;8806925;1484579;107204;1343334;0,2089;0,0433;131;34
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;44166;10477458;2007611;2255564;2099325;8221894;33206;949032;0,2982;0,0192;63;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;44166;10318018;9954493;9182162;2175657;1135856;101879;1135213;0,1049;0,0011;5;0
