Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;42979;120259592;51501;120311093;19791232;140102325;637757646;3314777;351604;13150730;2047008;18864119;63012661;719634427;1335503861;0,1671;0,1672;0,1947;0,0901;0,2347
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;42979;67709672;21938400;89648072;39504316;129152387;602883522;10614746;660;5307024;40720;15963150;55737907;674584579;1115421391;0,1004;0,1329;0,1915;0,0804;0,165
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;42979;75363103;5526102;80889205;25792690;106681895;547411237;3275666;125323;5619566;543704;9564259;47605162;604580658;1088996728;0,1247;0,1338;0,1765;0,0743;0,3891
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;42979;53062912;0;53062912;31673710;84736623;485079635;3401455;1740608;4231590;192490;9566143;61489448;556135226;1353105626;0,0954;0,0954;0,1524;0,0392;0,1158
BNDES - PRUDENCIAL;1000081847;b4;S2;I;1;RIO DE JANEIRO;RJ;42979;93748450;0;93748450;46874225;140622675;488948355;14614580;0;4046625;0;18661205;35384881;542994440;934716967;0,1727;0,1727;0,259;0,1003;0,0927
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;42979;56416831;4010866;60427697;4000031;64427728;329534401;6504917;0;28417308;1829114;36751338;32579126;398864866;641776185;0,1414;0,1515;0,1615;0,0942;0,1558
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;42979;12306879;4082753;16389632;2632934;19022566;54478444;6918435;3929427;30282022;10024486;51154370;4615858;110248672;123707859;0,1116;0,1487;0,1725;0,1325;0,2544
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;42979;9894124;952215;10846339;2174772;13021111;74957205;278543;0;2318270;486919;3083732;6946190;84987127;171483687;0,1164;0,1276;0,1532;0,0632;0,313
