Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;42979;1397650527;629359375;1315075233;1096171327;82575294;2876782;129152387;0,1915;0,165;4888;1301
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;42979;1293767778;467838044;1156874150;872167292;136893627;5424425;140102325;0,1947;0,2347;3371;924
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;42979;1270973120;712065394;1240664077;1070419021;30309042;2168451;84736623;0,1524;0,1158;3415;814
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;42979;1018910065;368308492;908591401;728851176;110318664;2884376;106681895;0,1765;0,3891;5018;1457
BNDES - PRUDENCIAL;1000081847;b4;S2;I;1;RIO DE JANEIRO;RJ;42979;868576125;331060858;809001239;476285490;59574886;1857470;140622675;0,259;0,0927;4;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;42979;676455296;262921345;611592496;467113581;64862799;1910583;64427728;0,1615;0,1558;2667;1173
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;42979;147959122;53943699;137970335;119919726;9988787;488596;13021111;0,1532;0,313;111;5
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;42979;113072116;13277284;94511435;48004827;18560681;726601;19022566;0,1725;0,2544;11;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;42979;98995704;46999202;90451572;65541093;8544132;151788;8807730;0,1463;0,1879;90;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;42979;74986252;17253005;66249607;43285472;8736645;4443;8523748;0,1688;0,0412;134;21
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;42979;71376722;30491997;64645821;55335987;6730901;220456;6320563;0,1654;0,0889;535;155
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;42979;52067559;10729596;48580372;16286003;3487187;168258;6229311;0,1578;0,0298;318;2
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;42979;44369637;5423268;42880731;37756229;1488906;41327;1480421;0,163;0,0993;5;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S2;C;3;SAO PAULO;SP;42979;43952028;4955435;40075395;24744403;3876633;114094;5097141;0,1787;0,0268;6;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;42979;38810216;13083685;35411672;15753293;3398544;133931;3982397;0,1616;0,0165;5;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;42979;38428068;8042397;37149366;35369860;1278702;18641;1434101;0,242;0,0828;5;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;42979;38203188;1200651;33399002;20809574;4804186;80726;4800511;0,2415;0,0237;8;1
PAN;1000080257;b1;S3;C;2;SAO PAULO;SP;42979;27249570;18527760;23727157;19011361;3522413;111269;2393343;0,122;0,1976;3;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;42979;26989310;11629801;23760873;21011622;3228437;104134;3631470;0,1705;0,0092;6;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;42979;23814013;13310853;20891068;17391406;2922945;143635;2918862;0,1585;0,2909;39;0
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;42979;23329131;2206601;22524016;4481958;805115;643;805110;0,2046;0,0022;2;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;42979;23260475;1983361;21966897;9396670;1293579;11001;1293421;0,2574;0,0026;4;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;42979;22087515;3868201;20702270;19951088;1385245;39439;1344801;0,152;0,2029;131;25
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;42979;21992953;15692946;19628663;16582887;2364291;69968;2815843;0,1465;0,0057;17;0
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;42979;20904506;1001783;19468937;8236353;1435569;21927;1416736;0,3153;0,0304;2;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;42979;20427455;1097241;18112416;11799477;2315038;56982;2315038;0,2006;0,0187;2;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;42979;19811555;1756734;18935876;3999068;875679;8464;834953;0,1325;0,0262;3;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;42979;18390507;7115655;17635203;14188594;755305;14997;1039158;0,1462;0,0707;36;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;I;1;PORTO ALEGRE;RS;42979;16834512;13948573;14312018;13668231;2522494;38627;2336863;0,1511;0,0097;3;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;42979;16287200;8390787;13640613;9473720;2646587;5456;1656105;0,1761;0,1835;32;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;42979;16194159;3217161;14229344;4653253;1964814;-6120;2640059;0,1547;0,0944;119;1
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;42979;15150046;12990129;12187872;8591385;2962175;100957;3904883;0,2913;0,0032;1;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;42979;14508158;0;13033388;4632837;1474770;15763;1474770;0,1961;0,0177;3;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;42979;14152697;1087629;11171948;5815084;2980749;57523;2675956;0,2923;0,0057;2;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;42979;14056300;8768332;12657855;10285806;1398445;74612;1391952;0,1548;0,1346;124;4
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;42979;13056141;7146323;10724082;9851833;2332059;30959;2297704;0,2322;0,1412;40;1
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;42979;12595013;256569;12233487;0;361526;0;161190;0,1386;0,0374;0;0
GMAC - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;42979;11390703;9092290;9453763;5487369;1936941;92663;1750049;0,1768;0,0516;1;0
