Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;42979;50324;0;775493;5513231;0;6339048;172404;966689;2679743;4092108;0;13502;7752042;6748128;21011622;369733;2354046;23735401;25472;3228437;26989310
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;42979;536096;0;309007;4042142;4893;4892138;1862001;527922;523854;5858531;1628623;0;8538930;2098337;17391406;14395;3391603;20797404;93664;2922945;23814013
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;42979;561;0;60006;684427;0;744994;16002;0;0;0;0;0;0;3720962;4481958;208541;17829888;22520387;3629;805115;23329131
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;42979;39311;0;253061;367020;0;659392;796803;0;0;0;0;0;0;7940475;9396670;617101;11927987;21941758;25139;1293579;23260475
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;42979;882684;2570109;55697;6593360;10962;10112812;8779265;447623;269874;0;0;0;717497;341515;19951088;0;746795;20697884;4387;1385245;22087515
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;42979;22549;0;386;206462;0;229397;739710;1540573;1045106;0;0;0;2585680;13028101;16582887;247569;2797905;19628361;302;2364291;21992953
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;42979;52213;0;10083;3134538;0;3196834;190034;0;0;0;0;0;0;4849484;8236353;549704;10681808;19467864;1073;1435569;20904506
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;42979;512707;0;539901;10125071;0;11177679;621799;0;0;0;0;0;0;0;11799477;3892619;2418594;18110690;1726;2315038;20427455
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;42979;6905;0;0;133576;0;140480;12897;0;455103;288866;0;0;743969;3101722;3999068;264023;14672057;18935147;729;875679;19811555
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;42979;90207;8075;294326;2612849;0;3005458;4128907;60850;120652;94628;55066;305;331502;6722727;14188594;94884;3327311;17610789;24414;755305;18390507
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;I;1;PORTO ALEGRE;RS;42979;0;0;0;0;0;0;0;0;0;0;0;0;0;13668231;13668231;11;637196;14305439;6579;2522494;16834512
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;42979;23224;0;20176;7787984;0;7831384;0;31313;146247;585718;310454;0;1073733;568604;9473720;628505;3538388;13640613;0;2646587;16287200
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;42979;672536;508792;22435;1325553;748124;3277440;114998;0;448139;0;0;0;448139;812676;4653253;0;9576091;14229344;0;1964814;16194159
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;42979;0;0;308731;3180237;0;3488968;0;0;0;719699;0;0;719699;4382719;8591385;20707;3461679;12073771;114101;2962175;15150046
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;42979;0;0;3201;179433;0;182634;721425;0;0;0;0;0;0;3728778;4632837;7806147;594404;13033388;0;1474770;14508158
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;42979;0;0;0;1655875;0;1655875;2287716;0;0;0;0;639727;639727;1231767;5815084;1902166;3454698;11171948;0;2980749;14152697
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;42979;689447;1675757;221756;6347603;13184;8947747;771430;285631;0;46126;0;0;331758;234871;10285806;0;2371978;12657784;71;1398445;14056300
